Orthogroup	m_conductrix_genome_proteins	a99_genome_proteins
OG0002794	PSC73438.1	scaffold8.g1396.t1
OG0002795	PSC71645.1	scaffold8.g1399.t1
OG0002796	PSC71538.1	scaffold8.g1402.t1
OG0002797	PSC72828.1	scaffold8.g1405.t1
OG0002798	PSC72738.1	scaffold8.g1407.t1
OG0002799	PSC71601.1, PSC71583.1	scaffold8.g1412.t1
OG0002800	PSC72609.1, PSC72610.1	scaffold8.g1413.t1
OG0002801	PSC72764.1	scaffold8.g1415.t1
OG0002802	PSC71527.1	scaffold8.g1420.t1
OG0002803	PSC71663.1	scaffold8.g1421.t1
OG0002804	PSC71644.1	scaffold8.g1423.t1
OG0002805	PSC71481.1	scaffold8.g1425.t1
OG0002806	PSC71648.1	scaffold8.g1430.t1
OG0002807	PSC71667.1	scaffold8.g1431.t1
OG0002808	PSC71580.1	scaffold8.g1432.t1
OG0002809	PSC71504.1	scaffold8.g1435.t1
OG0002810	PSC71498.1	scaffold8.g1438.t1
OG0002811	PSC71485.1	scaffold8.g1442.t1
OG0002812	PSC67461.1	scaffold8.g1446.t1
OG0002813	PSC67470.1	scaffold8.g1451.t1
OG0002814	PSC67471.1	scaffold8.g1454.t1
OG0002815	PSC67474.1	scaffold8.g1456.t1
OG0002816	PSC67469.1	scaffold8.g1457.t1
OG0002817	PSC67464.1	scaffold8.g1460.t1
OG0002818	PSC67465.1	scaffold8.g1461.t1
OG0002819	PSC67475.1, PSC67476.1	scaffold8.g1462.t1
OG0002820	PSC67456.1	scaffold8.g1465.t1
OG0002821	PSC67472.1	scaffold8.g1466.t1
OG0002822	PSC72807.1	scaffold8.g1468.t1
OG0002823	PSC72802.1	scaffold8.g1469.t1
OG0002824	PSC72741.1	scaffold8.g1470.t1
OG0002825	PSC71508.1	scaffold8.g1471.t1
OG0002826	PSC71524.1	scaffold8.g1472.t1
OG0002827	PSC72905.1	scaffold8.g1474.t1
OG0002828	PSC72643.1	scaffold8.g1477.t1
OG0002829	PSC72920.1	scaffold8.g1479.t1
OG0002830	PSC72673.1	scaffold8.g1480.t1
OG0002831	PSC72880.1	scaffold8.g1484.t1
OG0002832	PSC72789.1	scaffold8.g1485.t1
OG0002833	PSC72744.1	scaffold8.g1486.t1
OG0002834	PSC72936.1	scaffold8.g1489.t1
OG0002835	PSC72822.1	scaffold8.g1492.t1
OG0002836	PSC72734.1	scaffold8.g1493.t1
OG0002837	PSC72651.1	scaffold8.g1494.t1
OG0002838	PSC72886.1	scaffold8.g1497.t1
OG0002839	PSC72721.1	scaffold8.g1498.t1
OG0002840	PSC72845.1, PSC72846.1	scaffold8.g1499.t1
OG0002841	PSC72605.1	scaffold8.g1500.t1
OG0002842	PSC72638.1	scaffold8.g1501.t1
OG0002843	PSC72742.1	scaffold8.g1502.t1
OG0002844	PSC72725.1	scaffold8.g1503.t1
OG0002845	PSC72817.1	scaffold8.g1504.t1
OG0002846	PSC72694.1	scaffold8.g1506.t1
OG0002847	PSC72834.1	scaffold8.g1509.t1
OG0002848	PSC72927.1	scaffold8.g1513.t1
OG0002849	PSC72708.1	scaffold8.g1514.t1
OG0002850	PSC72674.1	scaffold8.g1515.t1
OG0002851	PSC72840.1	scaffold8.g1517.t1
OG0002852	PSC72707.1	scaffold8.g1519.t1
OG0002853	PSC72681.1	scaffold8.g1522.t1
OG0002854	PSC72837.1	scaffold8.g1523.t1
OG0002855	PSC72607.1	scaffold8.g1524.t1
OG0002856	PSC72682.1	scaffold8.g1525.t1
OG0002857	PSC72748.1	scaffold8.g1531.t1
OG0002858	PSC72768.1	scaffold8.g1533.t1
OG0002859	PSC72773.1	scaffold8.g1534.t1
OG0002860	PSC72733.1	scaffold8.g1535.t1
OG0002861	PSC72812.1	scaffold8.g1536.t1
OG0002862	PSC72919.1	scaffold8.g1537.t1
OG0002863	PSC72683.1	scaffold8.g1538.t1
OG0002864	PSC72850.1	scaffold8.g1539.t1
OG0002865	PSC72765.1	scaffold8.g1542.t1
OG0002866	PSC72925.1	scaffold8.g1543.t1
OG0002867	PSC72804.1	scaffold8.g1544.t1
OG0002868	PSC72794.1	scaffold8.g1546.t1
OG0002869	PSC72821.1	scaffold8.g1547.t1
OG0002870	PSC72606.1	scaffold8.g1548.t1
OG0002871	PSC72900.1	scaffold8.g1550.t1
OG0002872	PSC73288.1	scaffold8.g1552.t1
OG0002873	PSC72626.1	scaffold8.g1554.t1
OG0002874	PSC72811.1	scaffold8.g1555.t1
OG0002875	PSC73334.1	scaffold8.g1557.t1
OG0002876	PSC73478.1	scaffold8.g1558.t1
OG0002877	PSC69593.1	scaffold8.g1559.t1
OG0002878	PSC67209.1	scaffold8.g1560.t1
OG0002879	PSC72863.1	scaffold8.g1562.t1
OG0002880	PSC71419.1	scaffold8.g1564.t1
OG0002881	PSC71243.1	scaffold8.g1567.t1
OG0002882	PSC72355.1	scaffold8.g1573.t1
OG0002883	PSC73634.1	scaffold8.g1576.t1
OG0002884	PSC74370.1	scaffold8.g1578.t1
OG0002885	PSC73068.1	scaffold8.g1579.t1
OG0002886	PSC75396.1	scaffold8.g1585.t1
OG0002887	PSC75247.1	scaffold8.g1586.t1
OG0002888	PSC68714.1	scaffold8.g1587.t1
OG0002889	PSC74678.1	scaffold8.g1591.t1
OG0002890	PSC73319.1	scaffold8.g1595.t1
OG0002891	PSC69303.1	scaffold8.g1598.t1
OG0002892	PSC74429.1	scaffold8.g1599.t1
OG0002893	PSC74466.1	scaffold8.g1601.t1
OG0002894	PSC74733.1	scaffold8.g1602.t1
OG0002895	PSC71773.1	scaffold8.g1610.t1
OG0002896	PSC74602.1	scaffold8.g1612.t1
OG0002897	PSC76257.1	scaffold8.g1614.t1
OG0002898	PSC74684.1	scaffold8.g1616.t1
OG0002899	PSC68596.1	scaffold8.g1625.t1
OG0002900	PSC71279.1	scaffold8.g1631.t1
OG0002901	PSC74807.1	scaffold8.g1640.t1
OG0002902	PSC69325.1	scaffold8.g1643.t1
OG0002903	PSC74873.1	scaffold8.g1650.t1
OG0002904	PSC68812.1	scaffold8.g1652.t1
OG0002905	PSC68935.1	scaffold8.g1663.t1
OG0002906	PSC74787.1, PSC74786.1	scaffold8.g1665.t1
OG0002907	PSC74619.1	scaffold8.g1666.t1
OG0002908	PSC69926.1	scaffold8.g1669.t1
OG0002909	PSC72981.1	scaffold8.g1673.t1
OG0002910	PSC74655.1	scaffold8.g1682.t1
OG0002911	PSC73892.1	scaffold8.g1688.t1
OG0002912	PSC74716.1	scaffold8.g1689.t1, scaffold8.g1691.t1
OG0002913	PSC68848.1	scaffold8.g1708.t1
OG0002914	PSC69956.1	scaffold8.g1712.t1
OG0002915	PSC74501.1	scaffold8.g1718.t1
OG0002916	PSC74459.1	scaffold8.g1722.t1
OG0002917	PSC74511.1, PSC74512.1	scaffold8.g1735.t1
OG0002918	PSC76154.1	scaffold19.g1741.t1
OG0002919	PSC76348.1	scaffold19.g1742.t1
OG0002920	PSC70489.1	scaffold19.g1745.t1
OG0002921	PSC69557.1	scaffold19.g1749.t1
OG0002922	PSC69494.1	scaffold19.g1751.t1
OG0002923	PSC76592.1	scaffold19.g1758.t1
OG0002924	PSC75672.1	scaffold19.g1759.t1
OG0002925	PSC76487.1	scaffold19.g1761.t1
OG0002926	PSC68218.1	scaffold19.g1766.t1
OG0002927	PSC76061.1	scaffold19.g1767.t1
OG0002928	PSC76578.1	scaffold19.g1768.t1
OG0002929	PSC76293.1	scaffold19.g1769.t1
OG0002930	PSC69571.1	scaffold19.g1773.t1
OG0002931	PSC69540.1	scaffold19.g1774.t1
OG0002932	PSC69468.1	scaffold19.g1775.t1
OG0002933	PSC69490.1	scaffold19.g1778.t1
OG0002934	PSC73797.1	scaffold19.g1780.t1
OG0002935	PSC76972.1	scaffold19.g1781.t1
OG0002936	PSC70562.1	scaffold19.g1782.t1
OG0002937	PSC69503.1	scaffold19.g1784.t1
OG0002938	PSC76205.1	scaffold19.g1785.t1
OG0002939	PSC69528.1	scaffold19.g1789.t1
OG0002940	PSC69441.1	scaffold19.g1791.t1
OG0002941	PSC74028.1	scaffold19.g1793.t1
OG0002942	PSC69469.1	scaffold19.g1797.t1
OG0002943	PSC69448.1, PSC69505.1	scaffold19.g1798.t1
OG0002944	PSC76320.1	scaffold19.g1799.t1
OG0002945	PSC76533.1	scaffold19.g1800.t1
OG0002946	PSC69467.1	scaffold19.g1802.t1
OG0002947	PSC69563.1	scaffold19.g1803.t1
OG0002948	PSC77057.1	scaffold19.g1807.t1
OG0002949	PSC76338.1	scaffold19.g1809.t1
OG0002950	PSC76499.1	scaffold19.g1810.t1
OG0002951	PSC76033.1	scaffold19.g1811.t1
OG0002952	PSC76608.1	scaffold19.g1812.t1
OG0002953	PSC69568.1	scaffold19.g1819.t1
OG0002954	PSC69483.1	scaffold19.g1820.t1
OG0002955	PSC69444.1, PSC69445.1	scaffold19.g1821.t1
OG0002956	PSC69443.1	scaffold19.g1822.t1
OG0002957	PSC69552.1	scaffold19.g1825.t1
OG0002958	PSC69479.1	scaffold19.g1827.t1
OG0002959	PSC69497.1	scaffold19.g1832.t1
OG0002960	PSC69533.1	scaffold19.g1833.t1
OG0002961	PSC69538.1	scaffold19.g1834.t1
OG0002962	PSC69526.1	scaffold19.g1835.t1
OG0002963	PSC69531.1	scaffold19.g1840.t1
OG0002964	PSC69561.1	scaffold19.g1847.t1
OG0002965	PSC69456.1	scaffold19.g1850.t1
OG0002966	PSC69446.1	scaffold19.g1851.t1
OG0002967	PSC69478.1	scaffold19.g1852.t1
OG0002968	PSC72246.1	scaffold19.g1853.t1
OG0002969	PSC69462.1	scaffold19.g1856.t1
OG0002970	PSC74940.1	scaffold19.g1860.t1
OG0002971	PSC74989.1	scaffold19.g1861.t1
OG0002972	PSC76166.1	scaffold19.g1863.t1
OG0002973	PSC74827.1	scaffold19.g1864.t1
OG0002974	PSC75018.1	scaffold19.g1865.t1
OG0002975	PSC74810.1	scaffold19.g1869.t1
OG0002976	PSC74835.1	scaffold19.g1872.t1
OG0002977	PSC70789.1	scaffold19.g1878.t1
OG0002978	PSC70802.1	scaffold19.g1879.t1
OG0002979	PSC70807.1	scaffold19.g1880.t1
OG0002980	PSC69759.1	scaffold18.g1886.t1
OG0002981	PSC69747.1	scaffold18.g1887.t1
OG0002982	PSC69746.1	scaffold18.g1888.t1
OG0002983	PSC69791.1	scaffold18.g1889.t1
OG0002984	PSC69788.1	scaffold18.g1890.t1
OG0002986	PSC69827.1	scaffold18.g1892.t1
OG0002987	PSC69797.1	scaffold18.g1893.t1
OG0002988	PSC69751.1	scaffold18.g1894.t1
OG0002989	PSC69778.1	scaffold18.g1896.t1
OG0002990	PSC69780.1	scaffold18.g1898.t1
OG0002991	PSC69740.1	scaffold18.g1899.t1
OG0002992	PSC69792.1	scaffold18.g1900.t1
OG0002993	PSC69786.1	scaffold18.g1901.t1
OG0002994	PSC69715.1	scaffold18.g1903.t1
OG0002995	PSC69810.1, PSC69809.1	scaffold18.g1904.t1
OG0002996	PSC69824.1	scaffold18.g1905.t1
OG0002997	PSC69789.1	scaffold18.g1906.t1
OG0002998	PSC75264.1	scaffold18.g1909.t1
OG0002999	PSC75654.1	scaffold18.g1910.t1
OG0003000	PSC75683.1	scaffold18.g1911.t1
OG0003001	PSC75899.1	scaffold18.g1912.t1
OG0003002	PSC75241.1	scaffold18.g1916.t1
OG0003003	PSC75829.1	scaffold18.g1917.t1
OG0003004	PSC68950.1	scaffold18.g1918.t1
OG0003005	PSC69750.1	scaffold18.g1920.t1
OG0003006	PSC75779.1	scaffold18.g1921.t1
OG0003007	PSC75749.1	scaffold18.g1922.t1
OG0003008	PSC75943.1	scaffold18.g1923.t1
OG0003009	PSC75605.1	scaffold18.g1925.t1
OG0003010	PSC75761.1	scaffold18.g1926.t1
OG0003011	PSC75859.1	scaffold18.g1927.t1
OG0003012	PSC72390.1	scaffold18.g1928.t1
OG0003013	PSC72511.1	scaffold18.g1931.t1
OG0003014	PSC68574.1	scaffold18.g1933.t1
OG0003015	PSC73843.1	scaffold18.g1935.t1
OG0003016	PSC67280.1	scaffold18.g1937.t1
OG0003017	PSC72582.1	scaffold18.g1940.t1
OG0003018	PSC72428.1	scaffold18.g1943.t1
OG0003019	PSC72420.1	scaffold18.g1957.t1
OG0003020	PSC72563.1	scaffold18.g1958.t1
OG0003021	PSC72514.1	scaffold18.g1959.t1
OG0003022	PSC72641.1	scaffold18.g1961.t1
OG0003023	PSC72701.1	scaffold18.g1962.t1
OG0003024	PSC72906.1	scaffold18.g1963.t1
OG0003025	PSC72902.1	scaffold18.g1967.t1
OG0003026	PSC73799.1	scaffold18.g1970.t1
OG0003027	PSC71471.1	scaffold18.g1971.t1
OG0003028	PSC71537.1	scaffold18.g1974.t1
OG0003029	PSC75340.1	scaffold18.g1977.t1
OG0003030	PSC68130.1	scaffold18.g1981.t1
OG0003031	PSC75519.1	scaffold18.g1983.t1
OG0003032	PSC75680.1	scaffold18.g1984.t1
OG0003033	PSC75422.1	scaffold18.g1987.t1
OG0003034	PSC72409.1	scaffold18.g1988.t1
OG0003035	PSC72523.1	scaffold18.g1992.t1
OG0003036	PSC72709.1	scaffold18.g1993.t1
OG0003037	PSC71593.1	scaffold18.g1994.t1
OG0003038	PSC72904.1	scaffold18.g2009.t1
OG0003039	PSC71665.1	scaffold18.g2010.t1
OG0003040	PSC71587.1	scaffold18.g2011.t1
OG0003041	PSC71638.1	scaffold18.g2012.t1
OG0003042	PSC71633.1	scaffold18.g2013.t1
OG0003043	PSC71553.1	scaffold18.g2014.t1
OG0003044	PSC71466.1	scaffold18.g2015.t1
OG0003045	PSC71546.1	scaffold18.g2016.t1
OG0003046	PSC72914.1	scaffold18.g2020.t1
OG0003047	PSC72667.1	scaffold18.g2023.t1
OG0003048	PSC72797.1	scaffold18.g2024.t1
OG0003049	PSC72898.1	scaffold18.g2025.t1
OG0003050	PSC72831.1	scaffold18.g2026.t1
OG0003051	PSC72793.1	scaffold18.g2027.t1
OG0003052	PSC71522.1	scaffold18.g2029.t1
OG0003053	PSC71478.1	scaffold18.g2031.t1
OG0003054	PSC71517.1	scaffold18.g2033.t1
OG0003055	PSC71452.1	scaffold18.g2034.t1
OG0003056	PSC72790.1	scaffold18.g2035.t1
OG0003057	PSC72778.1	scaffold18.g2036.t1
OG0003058	PSC75631.1	scaffold18.g2042.t1
OG0003059	PSC71512.1	scaffold18.g2043.t1
OG0003060	PSC72499.1	scaffold18.g2053.t1
OG0003061	PSC73276.1	scaffold18.g2054.t1
OG0003062	PSC72444.1	scaffold18.g2056.t1
OG0003063	PSC72421.1	scaffold18.g2057.t1
OG0003064	PSC72564.1	scaffold18.g2060.t1
OG0003065	PSC72493.1	scaffold18.g2062.t1
OG0003066	PSC72504.1	scaffold18.g2063.t1
OG0003067	PSC72293.1	scaffold21.g2070.t1
OG0003068	PSC72106.1	scaffold21.g2071.t1
OG0003069	PSC72278.1	scaffold21.g2072.t1
OG0003070	PSC68442.1	scaffold21.g2073.t1
OG0003071	PSC72261.1	scaffold21.g2074.t1
OG0003072	PSC72264.1	scaffold21.g2075.t1
OG0003073	PSC72163.1	scaffold21.g2077.t1
OG0003074	PSC72299.1	scaffold21.g2078.t1
OG0003075	PSC72286.1	scaffold21.g2080.t1
OG0003076	PSC72220.1	scaffold21.g2081.t1
OG0003077	PSC72242.1	scaffold21.g2082.t1
OG0003078	PSC72164.1	scaffold21.g2089.t1
OG0003079	PSC72213.1	scaffold21.g2092.t1
OG0003080	PSC72178.1	scaffold21.g2093.t1
OG0003081	PSC72057.1	scaffold21.g2094.t1
OG0003082	PSC72139.1	scaffold21.g2098.t1
OG0003083	PSC72118.1	scaffold21.g2099.t1
OG0003084	PSC72302.1	scaffold21.g2100.t1
OG0003085	PSC72238.1	scaffold21.g2101.t1
OG0003086	PSC72300.1	scaffold21.g2102.t1
OG0003087	PSC72276.1	scaffold21.g2103.t1
OG0003088	PSC72309.1	scaffold21.g2104.t1
OG0003089	PSC72172.1	scaffold21.g2106.t1
OG0003090	PSC72091.1, PSC72092.1	scaffold21.g2107.t1
OG0003091	PSC72274.1, PSC72275.1	scaffold21.g2110.t1
OG0003092	PSC72235.1	scaffold21.g2111.t1
OG0003093	PSC72240.1	scaffold21.g2112.t1
OG0003094	PSC72204.1	scaffold21.g2113.t1
OG0003095	PSC72231.1	scaffold21.g2114.t1
OG0003096	PSC71160.1	scaffold21.g2116.t1
OG0003097	PSC71049.1	scaffold21.g2117.t1
OG0003098	PSC71069.1	scaffold21.g2120.t1
OG0003099	PSC72097.1	scaffold21.g2124.t1
OG0003100	PSC72194.1	scaffold21.g2125.t1
OG0003101	PSC72085.1	scaffold21.g2126.t1
OG0003102	PSC72228.1	scaffold21.g2127.t1
OG0003103	PSC72237.1	scaffold21.g2129.t1
OG0003104	PSC72291.1	scaffold21.g2130.t1
OG0003105	PSC72155.1	scaffold21.g2131.t1
OG0003106	PSC72062.1	scaffold21.g2132.t1
OG0003107	PSC72253.1	scaffold21.g2133.t1
OG0003108	PSC72094.1	scaffold21.g2134.t1
OG0003109	PSC72070.1	scaffold21.g2136.t1
OG0003110	PSC72064.1	scaffold21.g2137.t1
OG0003111	PSC72219.1	scaffold21.g2138.t1
OG0003112	PSC72144.1	scaffold21.g2140.t1, scaffold11.g4073.t1
OG0003113	PSC72065.1	scaffold21.g2141.t1
OG0003114	PSC72211.1	scaffold21.g2143.t1
OG0003117	PSC73685.1	scaffold21.g2149.t1
OG0003118	PSC68648.1	scaffold21.g2150.t1
OG0003119	PSC68189.1	scaffold21.g2152.t1
OG0003120	PSC67326.1	scaffold21.g2153.t1
OG0003121	PSC69251.1	scaffold21.g2154.t1
OG0003122	PSC67324.1	scaffold21.g2156.t1
OG0003123	PSC67330.1	scaffold21.g2157.t1
OG0003124	PSC68611.1	scaffold21.g2162.t1
OG0003125	PSC68636.1	scaffold21.g2163.t1
OG0003126	PSC73465.1	scaffold21.g2173.t1
OG0003127	PSC68593.1	scaffold21.g2179.t1
OG0003128	PSC68651.1	scaffold21.g2181.t1
OG0003129	PSC68592.1	scaffold21.g2182.t1
OG0003130	PSC72239.1	scaffold21.g2184.t1
OG0003131	PSC68607.1	scaffold21.g2185.t1
OG0003132	PSC68565.1	scaffold21.g2187.t1
OG0003133	PSC68633.1	scaffold21.g2188.t1
OG0003134	PSC72241.1	scaffold21.g2191.t1
OG0003135	PSC75279.1	scaffold21.g2193.t1
OG0003137	PSC76053.1	scaffold21.g2196.t1
OG0003139	PSC68932.1	scaffold21.g2205.t1
OG0003140	PSC68940.1	scaffold21.g2206.t1
OG0003141	PSC68981.1	scaffold21.g2208.t1
OG0003142	PSC68966.1	scaffold21.g2213.t1
OG0003143	PSC73327.1	scaffold21.g2215.t1
OG0003144	PSC68215.1	scaffold21.g2219.t1
OG0003145	PSC72131.1	scaffold21.g2220.t1
OG0003146	PSC75625.1	scaffold21.g2221.t1
OG0003147	PSC68227.1	scaffold21.g2225.t1
OG0003148	PSC68206.1	scaffold21.g2228.t1
OG0003149	PSC67612.1	scaffold10.g2230.t1
OG0003150	PSC67627.1	scaffold10.g2235.t1
OG0003151	PSC67639.1	scaffold10.g2236.t1
OG0003152	PSC67613.1	scaffold10.g2237.t1
OG0003153	PSC67617.1	scaffold10.g2239.t1
OG0003154	PSC67635.1	scaffold10.g2242.t1
OG0003155	PSC71943.1	scaffold10.g2245.t1
OG0003156	PSC71930.1	scaffold10.g2246.t1
OG0003157	PSC72029.1	scaffold10.g2247.t1
OG0003158	PSC72040.1	scaffold10.g2249.t1
OG0003159	PSC71851.1	scaffold10.g2251.t1
OG0003160	PSC72039.1	scaffold10.g2252.t1
OG0003161	PSC71863.1	scaffold10.g2253.t1
OG0003162	PSC71886.1	scaffold10.g2254.t1
OG0003163	PSC71911.1	scaffold10.g2255.t1
OG0003164	PSC67857.1	scaffold10.g2256.t1
OG0003165	PSC71906.1, PSC71907.1	scaffold10.g2258.t1
OG0003166	PSC67625.1	scaffold10.g2264.t1
OG0003167	PSC67616.1	scaffold10.g2265.t1
OG0003168	PSC75728.1	scaffold10.g2266.t1
OG0003169	PSC71056.1	scaffold10.g2267.t1
OG0003170	PSC69226.1	scaffold10.g2269.t1
OG0003171	PSC67622.1	scaffold10.g2271.t1
OG0003172	PSC71985.1	scaffold10.g2272.t1
OG0003173	PSC67611.1	scaffold10.g2274.t1
OG0003174	PSC73666.1	scaffold10.g2275.t1
OG0003175	PSC71979.1	scaffold10.g2276.t1
OG0003176	PSC69818.1	scaffold10.g2278.t1
OG0003177	PSC68237.1	scaffold10.g2284.t1
OG0003179	PSC72033.1	scaffold10.g2293.t1
OG0003180	PSC71941.1	scaffold10.g2296.t1
OG0003182	PSC71961.1	scaffold10.g2299.t1
OG0003183	PSC71995.1	scaffold10.g2302.t1
OG0003184	PSC71876.1	scaffold10.g2303.t1
OG0003185	PSC71925.1	scaffold10.g2305.t1
OG0003186	PSC72006.1	scaffold10.g2307.t1
OG0003187	PSC71853.1	scaffold10.g2308.t1
OG0003188	PSC72311.1	scaffold10.g2314.t1, scaffold7.g3449.t1
OG0003189	PSC71862.1	scaffold10.g2315.t1
OG0003190	PSC72021.1	scaffold10.g2322.t1
OG0003191	PSC71969.1	scaffold10.g2324.t1
OG0003192	PSC71996.1	scaffold10.g2325.t1
OG0003193	PSC71999.1	scaffold10.g2326.t1
OG0003194	PSC71924.1	scaffold10.g2327.t1
OG0003195	PSC72026.1	scaffold10.g2329.t1
OG0003196	PSC71978.1	scaffold10.g2332.t1
OG0003197	PSC72004.1	scaffold10.g2333.t1
OG0003198	PSC73489.1	scaffold10.g2337.t1
OG0003199	PSC71974.1	scaffold10.g2341.t1
OG0003200	PSC71879.1	scaffold10.g2342.t1
OG0003201	PSC72022.1	scaffold10.g2352.t1
OG0003202	PSC72028.1	scaffold10.g2355.t1
OG0003203	PSC72019.1	scaffold10.g2358.t1
OG0003204	PSC71971.1	scaffold10.g2359.t1
OG0003205	PSC71955.1	scaffold10.g2364.t1
OG0003206	PSC72177.1	scaffold10.g2369.t1
OG0003207	PSC71949.1	scaffold10.g2370.t1
OG0003208	PSC71905.1	scaffold10.g2371.t1
OG0003209	PSC71923.1	scaffold10.g2372.t1
OG0003210	PSC74055.1	scaffold10.g2373.t1
OG0003211	PSC71957.1	scaffold10.g2381.t1
OG0003212	PSC72025.1	scaffold10.g2384.t1
OG0003213	PSC71901.1	scaffold10.g2385.t1
OG0003214	PSC72041.1	scaffold10.g2386.t1
OG0003215	PSC71945.1	scaffold10.g2387.t1
OG0003216	PSC67592.1	scaffold10.g2393.t1
OG0003218	PSC67481.1	scaffold10.g2406.t1
OG0003219	PSC67669.1	scaffold10.g2407.t1
OG0003220	PSC67665.1, PSC67664.1	scaffold10.g2408.t1
OG0003221	PSC67642.1	scaffold10.g2409.t1
OG0003222	PSC67878.1	scaffold10.g2411.t1
OG0003223	PSC67663.1	scaffold10.g2416.t1
OG0003224	PSC67852.1	scaffold10.g2419.t1
OG0003225	PSC67831.1	scaffold10.g2420.t1
OG0003226	PSC67836.1	scaffold10.g2421.t1
OG0003227	PSC67872.1	scaffold10.g2425.t1
OG0003228	PSC67844.1	scaffold9.g3146.t1, scaffold10.g2426.t1
OG0003229	PSC67583.1	scaffold10.g2427.t1
OG0003230	PSC67853.1	scaffold10.g2428.t1
OG0003231	PSC73595.1	scaffold10.g2437.t1
OG0003232	PSC73346.1	scaffold10.g2438.t1
OG0003233	PSC67672.1	scaffold10.g2440.t1
OG0003234	PSC67686.1	scaffold10.g2441.t1
OG0003235	PSC67678.1	scaffold10.g2443.t1
OG0003236	PSC67685.1	scaffold10.g2448.t1
OG0003237	PSC73161.1	scaffold10.g2457.t1
OG0003238	PSC67646.1	scaffold10.g2458.t1
OG0003239	PSC67176.1	scaffold10.g2460.t1
OG0003240	PSC67654.1	scaffold10.g2461.t1
OG0003241	PSC67175.1	scaffold10.g2462.t1
OG0003242	PSC67648.1	scaffold10.g2463.t1
OG0003243	PSC67651.1	scaffold10.g2466.t1
OG0003244	PSC67262.1	scaffold10.g2482.t1
OG0003245	PSC67253.1	scaffold10.g2483.t1
OG0003246	PSC67263.1	scaffold10.g2486.t1
OG0003247	PSC71701.1	scaffold10.g2493.t1
OG0003248	PSC72061.1	scaffold6.g2496.t1
OG0003249	PSC70559.1	scaffold6.g2497.t1
OG0003250	PSC72248.1	scaffold6.g2498.t1
OG0003251	PSC70634.1	scaffold6.g2500.t1
OG0003252	PSC75611.1	scaffold6.g2506.t1
OG0003253	PSC74027.1	scaffold6.g2509.t1
OG0003255	PSC70510.1	scaffold6.g2512.t1
OG0003256	PSC76390.1	scaffold6.g2514.t1
OG0003258	PSC74348.1	scaffold6.g2520.t1
OG0003259	PSC74109.1	scaffold6.g2521.t1
OG0003260	PSC70621.1	scaffold6.g2522.t1
OG0003261	PSC70521.1	scaffold6.g2523.t1
OG0003262	PSC70645.1	scaffold6.g2524.t1
OG0003263	PSC70492.1	scaffold6.g2527.t1
OG0003264	PSC72426.1	scaffold6.g2530.t1
OG0003265	PSC72226.1	scaffold6.g2533.t1
OG0003266	PSC73978.1	scaffold6.g2537.t1
OG0003267	PSC74119.1	scaffold6.g2538.t1
OG0003268	PSC74042.1	scaffold6.g2539.t1
OG0003269	PSC75556.1	scaffold6.g2541.t1
OG0003270	PSC74163.1	scaffold6.g2543.t1
OG0003271	PSC70539.1	scaffold6.g2549.t1
OG0003272	PSC75398.1	scaffold6.g2553.t1
OG0003273	PSC75812.1	scaffold6.g2555.t1
OG0003274	PSC75807.1	scaffold6.g2556.t1
OG0003275	PSC75312.1	scaffold6.g2558.t1
OG0003276	PSC75822.1	scaffold6.g2559.t1
OG0003277	PSC75956.1	scaffold6.g2560.t1
OG0003278	PSC75268.1	scaffold6.g2561.t1
OG0003279	PSC75975.1	scaffold6.g2563.t1
OG0003280	PSC75988.1	scaffold6.g2564.t1
OG0003281	PSC75865.1	scaffold6.g2565.t1
OG0003282	PSC75544.1	scaffold6.g2569.t1
OG0003283	PSC75594.1	scaffold6.g2572.t1
OG0003284	PSC75607.1	scaffold6.g2573.t1
OG0003285	PSC69769.1	scaffold6.g2577.t1
OG0003286	PSC69752.1	scaffold6.g2578.t1
OG0003287	PSC69737.1	scaffold6.g2581.t1
OG0003288	PSC69727.1	scaffold6.g2583.t1
OG0003289	PSC68089.1	scaffold6.g2586.t1
OG0003290	PSC71594.1	scaffold6.g2589.t1
OG0003291	PSC71565.1	scaffold6.g2590.t1
OG0003292	PSC71547.1	scaffold6.g2593.t1
OG0003293	PSC68080.1	scaffold6.g2596.t1
OG0003294	PSC68118.1	scaffold6.g2598.t1
OG0003295	PSC68116.1	scaffold6.g2602.t1
OG0003296	PSC68085.1	scaffold6.g2605.t1
OG0003297	PSC68107.1	scaffold6.g2606.t1
OG0003298	PSC68131.1	scaffold6.g2610.t1
OG0003299	PSC69823.1	scaffold6.g2613.t1
OG0003300	PSC69739.1	scaffold6.g2615.t1
OG0003301	PSC69776.1	scaffold6.g2616.t1
OG0003302	PSC72908.1	scaffold6.g2618.t1
OG0003303	PSC72731.1	scaffold6.g2624.t1
OG0003304	PSC70289.1	scaffold6.g2630.t1
OG0003305	PSC71386.1	scaffold6.g2631.t1
OG0003306	PSC70618.1	scaffold6.g2633.t1
OG0003307	PSC72767.1	scaffold6.g2634.t1
OG0003308	PSC72619.1	scaffold6.g2640.t1
OG0003309	PSC72697.1	scaffold6.g2641.t1
OG0003310	PSC72756.1	scaffold6.g2643.t1
OG0003311	PSC71536.1	scaffold6.g2645.t1
OG0003312	PSC71543.1	scaffold6.g2647.t1
OG0003313	PSC71557.1	scaffold6.g2649.t1
OG0003314	PSC72675.1	scaffold6.g2650.t1
