Orthogroup	m_conductrix_genome_proteins	c_variabilis_genome_proteins
OG0002688	PSC75391.1	XP_005848957.1
OG0002689	PSC75752.1	XP_005848749.1
OG0002690	PSC75890.1	XP_005848955.1
OG0002691	PSC75480.1	XP_005845433.1
OG0002692	PSC75335.1	XP_005848954.1
OG0002694	PSC75419.1	XP_005848966.1
OG0002695	PSC75792.1	XP_005848756.1
OG0002696	PSC75245.1	XP_005848750.1
OG0002697	PSC75751.1	XP_005848952.1
OG0002698	PSC75684.1	XP_005848745.1
OG0002699	PSC71816.1	XP_005844793.1
OG0002700	PSC76622.1	XP_005848710.1
OG0002701	PSC72197.1	XP_005846847.1
OG0002702	PSC76930.1	XP_005848707.1
OG0002703	PSC72961.1	XP_005849135.1
OG0002704	PSC76567.1	XP_005848712.1
OG0002705	PSC76827.1, PSC76826.1	XP_005848923.1
OG0002706	PSC76940.1	XP_005848921.1
OG0002707	PSC76754.1	XP_005848925.1
OG0002708	PSC76724.1	XP_005848715.1
OG0002709	PSC74736.1, PSC74735.1	XP_005847163.1, XP_005849444.1
OG0002710	PSC73426.1	XP_005844171.1
OG0002711	PSC69915.1	XP_005847503.1
OG0002712	PSC75571.1	XP_005847401.1
OG0002713	PSC77059.1	XP_005848716.1
OG0002714	PSC75260.1	XP_005848723.1
OG0002715	PSC76607.1	XP_005848932.1
OG0002716	PSC75732.1	XP_005848931.1
OG0002718	PSC75243.1	XP_005848730.1
OG0002719	PSC75406.1	XP_005848736.1
OG0002720	PSC75354.1	XP_005848737.1
OG0002721	PSC75315.1	XP_005848943.1
OG0002722	PSC75701.1	XP_005848947.1
OG0002723	PSC75739.1	XP_005848735.1
OG0002724	PSC75538.1	XP_005848672.1
OG0002725	PSC75332.1	XP_005848671.1
OG0002726	PSC73045.1, PSC73044.1	XP_005845713.1
OG0002727	PSC75518.1	XP_005848872.1
OG0002728	PSC75821.1	XP_005848898.1
OG0002729	PSC75603.1	XP_005848743.1
OG0002730	PSC75392.1	XP_005848687.1
OG0002731	PSC72259.1	XP_005847036.1
OG0002732	PSC75289.1	XP_005848885.1
OG0002733	PSC75602.1	XP_005848679.1
OG0002734	PSC72157.1	XP_005847023.1
OG0002735	PSC75870.1	XP_005848685.1
OG0002736	PSC70689.1	XP_005848035.1
OG0002737	PSC75892.1	XP_005848667.1
OG0002738	PSC68960.1	XP_005846681.1
OG0002739	PSC75529.1	XP_005848682.1
OG0002740	PSC75458.1	XP_005848889.1
OG0002741	PSC75352.1	XP_005848888.1
OG0002742	PSC75903.1	XP_005848681.1
OG0002744	PSC76377.1	XP_005848705.1
OG0002745	PSC70941.1	XP_005847410.1
OG0002746	PSC75517.1	XP_005847399.1
OG0002747	PSC76165.1	XP_005848693.1
OG0002748	PSC68240.1	XP_005845038.1
OG0002749	PSC72260.1	XP_005846848.1
OG0002752	PSC75472.1	XP_005848851.1
OG0002753	PSC75788.1	XP_005848643.1
OG0002754	PSC75397.1	XP_005848644.1
OG0002755	PSC75524.1	XP_005848846.1
OG0002756	PSC67918.1	XP_005851833.1
OG0002757	PSC73642.1	XP_005845185.1
OG0002759	PSC68783.1	XP_005843936.1
OG0002760	PSC75879.1	XP_005848849.1
OG0002761	PSC75835.1	XP_005848641.1
OG0002764	PSC73730.1	XP_005848590.1
OG0002765	PSC73556.1	XP_005848802.1
OG0002766	PSC72125.1	XP_005846946.1
OG0002767	PSC75918.1	XP_005848848.1
OG0002769	PSC73844.1	XP_005848600.1
OG0002770	PSC73712.1	XP_005848810.1
OG0002771	PSC71573.1	XP_005850873.1
OG0002772	PSC71620.1	XP_005850588.1
OG0002773	PSC71518.1	XP_005850587.1
OG0002774	PSC71654.1	XP_005850868.1
OG0002775	PSC71469.1	XP_005850867.1
OG0002777	PSC71525.1	XP_005850581.1
OG0002778	PSC72772.1	XP_005850579.1
OG0002779	PSC72692.1	XP_005850864.1
OG0002780	PSC72888.1	XP_005850578.1
OG0002781	PSC72640.1	XP_005850557.1
OG0002782	PSC71596.1	XP_005850611.1
OG0002783	PSC71610.1	XP_005850890.1
OG0002784	PSC71630.1	XP_005850891.1
OG0002785	PSC71657.1	XP_005850610.1, XP_005850609.1
OG0002787	PSC71528.1	XP_005850612.1
OG0002788	PSC71604.1	XP_005850894.1
OG0002789	PSC71474.1	XP_005850595.1
OG0002790	PSC71484.1	XP_005850878.1
OG0002791	PSC71570.1	XP_005850875.1
OG0002792	PSC71446.1, PSC71448.1	XP_005850591.1
OG0002793	PSC71494.1	XP_005850917.1
OG0002794	PSC73438.1	XP_005844269.1
OG0002795	PSC71645.1	XP_005850633.1
OG0002796	PSC71538.1	XP_005850636.1
OG0002797	PSC72828.1	XP_005850852.1
OG0002798	PSC72738.1	XP_005850560.1
OG0002801	PSC72764.1	XP_005850576.1
OG0002802	PSC71527.1	XP_005850600.1
OG0002803	PSC71663.1	XP_005850882.1
OG0002804	PSC71644.1	XP_005850598.1
OG0002805	PSC71481.1	XP_005850880.1
OG0002806	PSC71648.1	XP_005850884.1
OG0002807	PSC71667.1	XP_005850601.1
OG0002808	PSC71580.1	XP_005850885.1
OG0002809	PSC71504.1	XP_005850602.1
OG0002810	PSC71498.1	XP_005850604.1
OG0002811	PSC71485.1	XP_005850606.1
OG0002812	PSC67461.1	XP_005850547.1
OG0002813	PSC67470.1	XP_005850548.1
OG0002814	PSC67471.1	XP_005850551.1
OG0002815	PSC67474.1	XP_005850839.1
OG0002816	PSC67469.1	XP_005850550.1
OG0002817	PSC67464.1	XP_005850549.1
OG0002818	PSC67465.1	XP_005850836.1
OG0002820	PSC67456.1	XP_005850556.1
OG0002821	PSC67472.1	XP_005850848.1
OG0002822	PSC72807.1	XP_005850683.1
OG0002823	PSC72802.1	XP_005850685.1
OG0002824	PSC72741.1	XP_005850970.1
OG0002825	PSC71508.1	XP_005850913.1
OG0002826	PSC71524.1	XP_005850916.1
OG0002827	PSC72905.1	XP_005850826.1
OG0002828	PSC72643.1	XP_005850531.1
OG0002829	PSC72920.1	XP_005850824.1
OG0002830	PSC72673.1	XP_005850526.1
OG0002832	PSC72789.1	XP_005850821.1
OG0002833	PSC72744.1	XP_005850511.1
OG0002834	PSC72936.1	XP_005850819.1
OG0002835	PSC72822.1	XP_005850522.1
OG0002836	PSC72734.1	XP_005850820.1
OG0002837	PSC72651.1	XP_005850523.1
OG0002838	PSC72886.1	XP_005850514.1
OG0002839	PSC72721.1	XP_005850812.1
OG0002841	PSC72605.1	XP_005850515.1
OG0002842	PSC72638.1	XP_005850814.1
OG0002843	PSC72742.1	XP_005850516.1
OG0002844	PSC72725.1	XP_005850815.1
OG0002845	PSC72817.1	XP_005850817.1
OG0002846	PSC72694.1	XP_005850517.1
OG0002847	PSC72834.1	XP_005850809.1
OG0002848	PSC72927.1	XP_005850806.1
OG0002849	PSC72708.1	XP_005850507.1
OG0002850	PSC72674.1	XP_005850510.1
OG0002851	PSC72840.1	XP_005850508.1
OG0002852	PSC72707.1	XP_005850805.1
OG0002853	PSC72681.1	XP_005850504.1
OG0002854	PSC72837.1	XP_005850797.1
OG0002855	PSC72607.1	XP_005850497.1
OG0002856	PSC72682.1	XP_005850798.1
OG0002857	PSC72748.1	XP_005850501.1
OG0002858	PSC72768.1	XP_005850802.1
OG0002859	PSC72773.1	XP_005850502.1
OG0002860	PSC72733.1	XP_005850803.1
OG0002862	PSC72919.1	XP_005850774.1
OG0002863	PSC72683.1	XP_005850476.1
OG0002864	PSC72850.1	XP_005850778.1
OG0002865	PSC72765.1	XP_005850477.1
OG0002866	PSC72925.1	XP_005850779.1
OG0002867	PSC72804.1	XP_005850478.1
OG0002868	PSC72794.1	XP_005850479.1
OG0002869	PSC72821.1	XP_005850780.1
OG0002870	PSC72606.1	XP_005850482.1
OG0002871	PSC72900.1	XP_005850484.1
OG0002872	PSC73288.1	XP_005846398.1
OG0002873	PSC72626.1	XP_005850784.1
OG0002874	PSC72811.1	XP_005850485.1
OG0002875	PSC73334.1	XP_005846556.1
OG0002876	PSC73478.1	XP_005846397.1
OG0002877	PSC69593.1	XP_005846387.1
OG0002878	PSC67209.1	XP_005848798.1
OG0002879	PSC72863.1	XP_005850487.1
OG0002880	PSC71419.1	XP_005850794.1
OG0002881	PSC71243.1	XP_005850493.1
OG0002882	PSC72355.1	XP_005846649.1
OG0002883	PSC73634.1	XP_005849533.1
OG0002884	PSC74370.1	XP_005843956.1
OG0002885	PSC73068.1	XP_005844461.1
OG0002886	PSC75396.1	XP_005847228.1
OG0002887	PSC75247.1	XP_005849764.1
OG0002888	PSC68714.1	XP_005846607.1
OG0002889	PSC74678.1	XP_005843893.1
OG0002890	PSC73319.1	XP_005844334.1
OG0002891	PSC69303.1	XP_005843229.1
OG0002892	PSC74429.1	XP_005843897.1
OG0002893	PSC74466.1	XP_005843859.1
OG0002894	PSC74733.1	XP_005847579.1
OG0002895	PSC71773.1	XP_005844775.1
OG0002896	PSC74602.1	XP_005843944.1
OG0002897	PSC76257.1	XP_005849905.1
OG0002898	PSC74684.1	XP_005843866.1
OG0002899	PSC68596.1	XP_005845223.1
OG0002900	PSC71279.1	XP_005846404.1
OG0002901	PSC74807.1	XP_005851830.1
OG0002902	PSC69325.1	XP_005846626.1
OG0002903	PSC74873.1	XP_005843951.1
OG0002904	PSC68812.1	XP_005843955.1
OG0002905	PSC68935.1	XP_005843911.1
OG0002906	PSC74787.1, PSC74786.1	XP_005843870.1
OG0002907	PSC74619.1	XP_005843950.1
OG0002908	PSC69926.1	XP_005847523.1
OG0002909	PSC72981.1	XP_005849365.1
OG0002910	PSC74655.1	XP_005843974.1
OG0002911	PSC73892.1	XP_005851566.1
OG0002912	PSC74716.1	XP_005843915.1
OG0002913	PSC68848.1	XP_005847930.1
OG0002915	PSC74501.1	XP_005843946.1
OG0002916	PSC74459.1	XP_005843947.1
OG0002918	PSC76154.1	XP_005848198.1
OG0002919	PSC76348.1	XP_005848197.1
OG0002920	PSC70489.1	XP_005844425.1
OG0002921	PSC69557.1	XP_005847944.1
OG0002922	PSC69494.1	XP_005848104.1
OG0002923	PSC76592.1	XP_005848192.1
OG0002924	PSC75672.1	XP_005848280.1
OG0002925	PSC76487.1	XP_005848025.1
OG0002926	PSC68218.1	XP_005845160.1
OG0002927	PSC76061.1	XP_005848021.1
OG0002928	PSC76578.1	XP_005848191.1
OG0002929	PSC76293.1	XP_005848022.1
OG0002930	PSC69571.1	XP_005847942.1
OG0002931	PSC69540.1	XP_005848103.1
OG0002932	PSC69468.1	XP_005847943.1
OG0002933	PSC69490.1	XP_005847946.1
OG0002934	PSC73797.1	XP_005845093.1
OG0002935	PSC76972.1	XP_005848193.1
OG0002936	PSC70562.1	XP_005844322.1
OG0002937	PSC69503.1	XP_005847936.1
OG0002938	PSC76205.1	XP_005848164.1
OG0002939	PSC69528.1	XP_005847922.1
OG0002940	PSC69441.1	XP_005847927.1
OG0002941	PSC74028.1	XP_005843630.1
OG0002942	PSC69469.1	XP_005848078.1
OG0002944	PSC76320.1	XP_005848135.1
OG0002945	PSC76533.1	XP_005847976.1
OG0002946	PSC69467.1	XP_005848081.1
OG0002947	PSC69563.1	XP_005848085.1
OG0002948	PSC77057.1	XP_005847977.1
OG0002949	PSC76338.1	XP_005847978.1
OG0002950	PSC76499.1	XP_005848141.1
OG0002951	PSC76033.1	XP_005847979.1
OG0002952	PSC76608.1	XP_005848142.1
OG0002953	PSC69568.1	XP_005848113.1
OG0002954	PSC69483.1	XP_005847954.1
OG0002956	PSC69443.1	XP_005848117.1
OG0002957	PSC69552.1	XP_005847964.1
OG0002958	PSC69479.1	XP_005848123.1
OG0002959	PSC69497.1	XP_005847959.1
OG0002960	PSC69533.1	XP_005848120.1
OG0002961	PSC69538.1	XP_005848118.1
OG0002962	PSC69526.1	XP_005847957.1
OG0002963	PSC69531.1	XP_005848116.1
OG0002964	PSC69561.1	XP_005848112.1
OG0002965	PSC69456.1	XP_005847935.1
OG0002966	PSC69446.1	XP_005848093.1
OG0002967	PSC69478.1	XP_005848090.1
OG0002968	PSC72246.1	XP_005847095.1
OG0002969	PSC69462.1	XP_005847929.1
OG0002970	PSC74940.1	XP_005848002.1
OG0002971	PSC74989.1	XP_005848165.1
OG0002972	PSC76166.1	XP_005848004.1
OG0002973	PSC74827.1	XP_005848173.1
OG0002974	PSC75018.1	XP_005848008.1
OG0002975	PSC74810.1	XP_005846127.1
OG0002976	PSC74835.1	XP_005848174.1
OG0002977	PSC70789.1	XP_005848038.1
OG0002978	PSC70802.1	XP_005847889.1
OG0002979	PSC70807.1	XP_005848049.1
OG0002980	PSC69759.1	XP_005850451.1
OG0002981	PSC69747.1	XP_005850196.1
OG0002982	PSC69746.1	XP_005850443.1
OG0002983	PSC69791.1	XP_005850185.1
OG0002984	PSC69788.1	XP_005850441.1
OG0002986	PSC69827.1	XP_005850188.1
OG0002987	PSC69797.1	XP_005850445.1
OG0002988	PSC69751.1	XP_005850444.1
OG0002989	PSC69778.1	XP_005850194.1
OG0002990	PSC69780.1	XP_005850454.1
OG0002991	PSC69740.1	XP_005850199.1
OG0002992	PSC69792.1	XP_005850198.1
OG0002993	PSC69786.1	XP_005850452.1
OG0002994	PSC69715.1	XP_005850456.1
OG0002995	PSC69810.1, PSC69809.1	XP_005850453.1
OG0002996	PSC69824.1	XP_005850458.1
OG0002997	PSC69789.1	XP_005850457.1
OG0002998	PSC75264.1	XP_005850463.1
OG0003000	PSC75683.1	XP_005850222.1
OG0003001	PSC75899.1	XP_005850475.1
OG0003002	PSC75241.1	XP_005850209.1
OG0003003	PSC75829.1	XP_005850467.1
OG0003004	PSC68950.1	XP_005846810.1
OG0003005	PSC69750.1	XP_005850465.1
OG0003006	PSC75779.1	XP_005850220.1
OG0003007	PSC75749.1	XP_005850219.1
OG0003008	PSC75943.1	XP_005850473.1
OG0003009	PSC75605.1	XP_005850472.1
OG0003010	PSC75761.1	XP_005850216.1
OG0003011	PSC75859.1	XP_005850215.1
OG0003012	PSC72390.1	XP_005850070.1
OG0003013	PSC72511.1	XP_005850068.1
OG0003014	PSC68574.1	XP_005845108.1
OG0003015	PSC73843.1	XP_005845067.1
OG0003016	PSC67280.1	XP_005848910.1
OG0003017	PSC72582.1	XP_005850333.1
OG0003018	PSC72428.1	XP_005850338.1
OG0003019	PSC72420.1	XP_005850329.1
OG0003020	PSC72563.1	XP_005850073.1
OG0003021	PSC72514.1	XP_005850325.1
OG0003022	PSC72641.1	XP_005850109.1
OG0003023	PSC72701.1	XP_005850110.1
OG0003024	PSC72906.1	XP_005850358.1
OG0003025	PSC72902.1	XP_005850352.1
OG0003026	PSC73799.1	XP_005845079.1
OG0003027	PSC71471.1	XP_005850140.1
OG0003028	PSC71537.1	XP_005850392.1
OG0003029	PSC75340.1	XP_005847223.1
OG0003030	PSC68130.1	XP_005850408.1
OG0003031	PSC75519.1	XP_005847220.1
OG0003032	PSC75680.1	XP_005847362.1
OG0003033	PSC75422.1	XP_005850470.1
OG0003034	PSC72409.1	XP_005850320.1
OG0003035	PSC72523.1	XP_005850314.1
OG0003036	PSC72709.1	XP_005850365.1
OG0003037	PSC71593.1	XP_005850379.1
OG0003038	PSC72904.1	XP_005850124.1
OG0003039	PSC71665.1	XP_005850125.1
OG0003040	PSC71587.1	XP_005850368.1
OG0003041	PSC71638.1	XP_005850126.1
OG0003042	PSC71633.1	XP_005850369.1
OG0003043	PSC71553.1	XP_005850128.1
OG0003044	PSC71466.1	XP_005850372.1
OG0003045	PSC71546.1	XP_005850373.1
OG0003046	PSC72914.1	XP_005850359.1
OG0003047	PSC72667.1	XP_005850362.1
OG0003048	PSC72797.1	XP_005850118.1
OG0003049	PSC72898.1	XP_005850117.1
OG0003050	PSC72831.1	XP_005850119.1
OG0003051	PSC72793.1	XP_005850363.1
OG0003052	PSC71522.1	XP_005850377.1
OG0003053	PSC71478.1	XP_005850376.1
OG0003054	PSC71517.1	XP_005850127.1
OG0003055	PSC71452.1	XP_005850375.1
OG0003056	PSC72790.1	XP_005850115.1
OG0003057	PSC72778.1	XP_005850361.1
OG0003058	PSC75631.1	XP_005847385.1
OG0003059	PSC71512.1	XP_005850381.1
OG0003060	PSC72499.1	XP_005850274.1
OG0003061	PSC73276.1	XP_005844254.1
OG0003062	PSC72444.1	XP_005850271.1
OG0003063	PSC72421.1	XP_005850020.1
OG0003064	PSC72564.1	XP_005850024.1
OG0003065	PSC72493.1	XP_005850027.1
OG0003066	PSC72504.1	XP_005850058.1
OG0003067	PSC72293.1	XP_005846943.1
OG0003068	PSC72106.1	XP_005847135.1
OG0003069	PSC72278.1	XP_005846940.1
OG0003070	PSC68442.1	XP_005851687.1
OG0003071	PSC72261.1	XP_005846838.1
OG0003072	PSC72264.1	XP_005847056.1
OG0003073	PSC72163.1	XP_005846880.1
OG0003074	PSC72299.1	XP_005847057.1
OG0003075	PSC72286.1	XP_005847015.1
OG0003076	PSC72220.1	XP_005847017.1
OG0003077	PSC72242.1	XP_005846839.1
OG0003078	PSC72164.1	XP_005847060.1
OG0003079	PSC72213.1	XP_005847061.1
OG0003080	PSC72178.1	XP_005846883.1
OG0003081	PSC72057.1	XP_005847062.1
OG0003082	PSC72139.1	XP_005847066.1
OG0003083	PSC72118.1	XP_005846886.1
OG0003084	PSC72302.1	XP_005847067.1
OG0003085	PSC72238.1	XP_005847068.1
OG0003086	PSC72300.1	XP_005846888.1
OG0003087	PSC72276.1	XP_005847069.1
OG0003088	PSC72309.1	XP_005847073.1
OG0003089	PSC72172.1	XP_005847074.1
OG0003092	PSC72235.1	XP_005846893.1
OG0003093	PSC72240.1	XP_005846890.1
OG0003094	PSC72204.1	XP_005847072.1
OG0003095	PSC72231.1	XP_005846892.1
OG0003096	PSC71160.1	XP_005846985.1
OG0003097	PSC71049.1	XP_005847195.1
OG0003098	PSC71069.1	XP_005846988.1
OG0003099	PSC72097.1	XP_005847127.1
OG0003100	PSC72194.1	XP_005847133.1
OG0003101	PSC72085.1	XP_005847130.1
OG0003102	PSC72228.1	XP_005846936.1
OG0003103	PSC72237.1	XP_005846926.1
OG0003104	PSC72291.1	XP_005847115.1
OG0003105	PSC72155.1	XP_005846927.1
OG0003106	PSC72062.1	XP_005847116.1
OG0003107	PSC72253.1	XP_005846928.1
OG0003108	PSC72094.1	XP_005847117.1
OG0003109	PSC72070.1	XP_005846929.1
OG0003110	PSC72064.1	XP_005847120.1
OG0003111	PSC72219.1	XP_005846930.1
OG0003113	PSC72065.1	XP_005846933.1
OG0003114	PSC72211.1	XP_005846934.1
OG0003117	PSC73685.1	XP_005845211.1
OG0003118	PSC68648.1	XP_005845212.1
OG0003119	PSC68189.1	XP_005845047.1
OG0003120	PSC67326.1	XP_005845137.1
OG0003121	PSC69251.1	XP_005844948.1
OG0003122	PSC67324.1	XP_005845140.1
OG0003123	PSC67330.1	XP_005845138.1
OG0003124	PSC68611.1	XP_005845239.1
OG0003125	PSC68636.1	XP_005845123.1
OG0003126	PSC73465.1	XP_005844375.1
OG0003127	PSC68593.1	XP_005845126.1
OG0003128	PSC68651.1	XP_005846836.1
OG0003129	PSC68592.1	XP_005846698.1
OG0003130	PSC72239.1	XP_005846855.1
OG0003131	PSC68607.1	XP_005846833.1
OG0003132	PSC68565.1	XP_005846694.1
OG0003133	PSC68633.1	XP_005846832.1
OG0003134	PSC72241.1	XP_005847037.1
OG0003135	PSC75279.1	XP_005844639.1
OG0003137	PSC76053.1	XP_005849661.1
OG0003139	PSC68932.1	XP_005846825.1
OG0003140	PSC68940.1	XP_005846689.1
OG0003141	PSC68981.1	XP_005846827.1
OG0003142	PSC68966.1	XP_005846673.1
OG0003143	PSC73327.1	XP_005844360.1
OG0003144	PSC68215.1	XP_005845150.1
OG0003145	PSC72131.1	XP_005846866.1
OG0003146	PSC75625.1	XP_005846706.1
OG0003147	PSC68227.1	XP_005845151.1
OG0003148	PSC68206.1	XP_005845046.1
OG0003149	PSC67612.1	XP_005845949.1
OG0003150	PSC67627.1	XP_005846084.1
OG0003151	PSC67639.1	XP_005845952.1
OG0003152	PSC67613.1	XP_005845954.1
OG0003153	PSC67617.1	XP_005845953.1
OG0003154	PSC67635.1	XP_005846083.1
OG0003155	PSC71943.1	XP_005845980.1
OG0003156	PSC71930.1	XP_005846115.1
OG0003157	PSC72029.1	XP_005845990.1
OG0003158	PSC72040.1	XP_005845991.1
OG0003159	PSC71851.1	XP_005845992.1
OG0003160	PSC72039.1	XP_005845994.1
OG0003161	PSC71863.1	XP_005846119.1
OG0003162	PSC71886.1	XP_005846177.1
OG0003163	PSC71911.1	XP_005846047.1
OG0003164	PSC67857.1	XP_005846183.1
OG0003166	PSC67625.1	XP_005845956.1
OG0003167	PSC67616.1	XP_005846089.1
OG0003168	PSC75728.1	XP_005847227.1
OG0003169	PSC71056.1	XP_005847194.1
OG0003170	PSC69226.1	XP_005845937.1
OG0003171	PSC67622.1	XP_005845957.1
OG0003172	PSC71985.1	XP_005846171.1
OG0003173	PSC67611.1	XP_005846090.1
OG0003174	PSC73666.1	XP_005845209.1
OG0003175	PSC71979.1	XP_005845958.1
OG0003176	PSC69818.1	XP_005850449.1
OG0003177	PSC68237.1	XP_005845061.1
OG0003179	PSC72033.1	XP_005845968.1
OG0003180	PSC71941.1	XP_005845973.1
OG0003182	PSC71961.1	XP_005845976.1
OG0003183	PSC71995.1	XP_005846112.1
OG0003184	PSC71876.1	XP_005845989.1
OG0003185	PSC71925.1	XP_005845979.1
OG0003186	PSC72006.1	XP_005845977.1
OG0003187	PSC71853.1	XP_005846106.1
OG0003189	PSC71862.1	XP_005846109.1
OG0003190	PSC72021.1	XP_005846142.1
OG0003191	PSC71969.1	XP_005846019.1
OG0003192	PSC71996.1	XP_005846152.1
OG0003193	PSC71999.1	XP_005846154.1
OG0003194	PSC71924.1	XP_005846014.1
OG0003195	PSC72026.1	XP_005846164.1
OG0003196	PSC71978.1	XP_005845978.1
OG0003197	PSC72004.1	XP_005845983.1
OG0003198	PSC73489.1	XP_005850775.1
OG0003199	PSC71974.1	XP_005846028.1
OG0003200	PSC71879.1	XP_005846160.1
OG0003201	PSC72022.1	XP_005846011.1
OG0003202	PSC72028.1	XP_005846128.1
OG0003203	PSC72019.1	XP_005846130.1
OG0003205	PSC71955.1	XP_005846151.1
OG0003206	PSC72177.1	XP_005846924.1
OG0003207	PSC71949.1	XP_005846145.1
OG0003208	PSC71905.1	XP_005842579.1, XP_005846155.1
OG0003209	PSC71923.1	XP_005846168.1
OG0003210	PSC74055.1	XP_005852229.1
OG0003211	PSC71957.1	XP_005846170.1
OG0003212	PSC72025.1	XP_005846169.1
OG0003213	PSC71901.1	XP_005846036.1
OG0003214	PSC72041.1	XP_005846167.1
OG0003215	PSC71945.1	XP_005846034.1
OG0003218	PSC67481.1	XP_005843860.1
OG0003219	PSC67669.1	XP_005846060.1
OG0003221	PSC67642.1	XP_005846063.1
OG0003222	PSC67878.1	XP_005846057.1
OG0003223	PSC67663.1	XP_005846207.1
OG0003224	PSC67852.1	XP_005846193.1
OG0003225	PSC67831.1	XP_005846184.1
OG0003226	PSC67836.1	XP_005846052.1
OG0003227	PSC67872.1	XP_005846053.1
OG0003229	PSC67583.1	XP_005845000.1
OG0003230	PSC67853.1	XP_005846182.1
OG0003231	PSC73595.1	XP_005844905.1
OG0003232	PSC73346.1	XP_005845004.1
OG0003233	PSC67672.1	XP_005846204.1
OG0003234	PSC67686.1	XP_005846064.1
OG0003235	PSC67678.1	XP_005846206.1
OG0003236	PSC67685.1	XP_005844920.1
OG0003237	PSC73161.1	XP_005849173.1
OG0003238	PSC67646.1	XP_005845023.1
OG0003240	PSC67654.1	XP_005846059.1
OG0003241	PSC67175.1	XP_005846200.1
OG0003242	PSC67648.1	XP_005846199.1
OG0003243	PSC67651.1	XP_005846066.1
OG0003244	PSC67262.1	XP_005845013.1
OG0003245	PSC67253.1	XP_005844917.1
OG0003246	PSC67263.1	XP_005845014.1
OG0003247	PSC71701.1	XP_005844655.1
OG0003248	PSC72061.1	XP_005847082.1
OG0003249	PSC70559.1	XP_005843618.1
OG0003250	PSC72248.1	XP_005847029.1
OG0003251	PSC70634.1	XP_005847300.1
OG0003252	PSC75611.1	XP_005847387.1
OG0003253	PSC74027.1	XP_005843636.1
OG0003255	PSC70510.1	XP_005843555.1
OG0003256	PSC76390.1	XP_005849893.1
OG0003258	PSC74348.1	XP_005843620.1
OG0003259	PSC74109.1	XP_005843570.1
OG0003260	PSC70621.1	XP_005843619.1
OG0003261	PSC70521.1	XP_005843567.1
OG0003262	PSC70645.1	XP_005843565.1
OG0003263	PSC70492.1	XP_005846027.1
OG0003264	PSC72426.1	XP_005850317.1
OG0003265	PSC72226.1	XP_005846851.1
OG0003266	PSC73978.1	XP_005843623.1
OG0003267	PSC74119.1	XP_005843577.1
OG0003268	PSC74042.1	XP_005843625.1
OG0003269	PSC75556.1	XP_005847383.1
OG0003270	PSC74163.1	XP_005843575.1
OG0003271	PSC70539.1	XP_005843611.1
OG0003272	PSC75398.1	XP_005847379.1
OG0003273	PSC75812.1	XP_005847233.1
OG0003274	PSC75807.1	XP_005847376.1
OG0003275	PSC75312.1	XP_005847375.1
OG0003276	PSC75822.1	XP_005847232.1
OG0003277	PSC75956.1	XP_005847372.1
OG0003278	PSC75268.1	XP_005847231.1
OG0003279	PSC75975.1	XP_005847366.1
OG0003280	PSC75988.1	XP_005847368.1
OG0003281	PSC75865.1	XP_005847230.1
OG0003282	PSC75544.1	XP_005847367.1
OG0003283	PSC75594.1	XP_005847364.1
OG0003284	PSC75607.1	XP_005847222.1
OG0003285	PSC69769.1	XP_005850431.1
OG0003286	PSC69752.1	XP_005850179.1
OG0003287	PSC69737.1	XP_005850432.1
OG0003288	PSC69727.1	XP_005850426.1
OG0003289	PSC68089.1	XP_005850411.1
OG0003290	PSC71594.1	XP_005850387.1
OG0003291	PSC71565.1	XP_005850141.1
OG0003292	PSC71547.1	XP_005850396.1
OG0003293	PSC68080.1	XP_005850155.1
OG0003294	PSC68118.1	XP_005850413.1
OG0003295	PSC68116.1	XP_005850163.1
OG0003296	PSC68085.1	XP_005850162.1
OG0003297	PSC68107.1	XP_005850415.1
OG0003298	PSC68131.1	XP_005850417.1
OG0003299	PSC69823.1	XP_005850421.1
OG0003300	PSC69739.1	XP_005850171.1
OG0003301	PSC69776.1	XP_005850419.1
OG0003303	PSC72731.1	XP_005850565.1
OG0003304	PSC70289.1	XP_005847840.1
OG0003305	PSC71386.1	XP_005850339.1
OG0003306	PSC70618.1	XP_005843557.1
OG0003307	PSC72767.1	XP_005850857.1
OG0003308	PSC72619.1	XP_005850850.1
OG0003309	PSC72697.1	XP_005850558.1
OG0003310	PSC72756.1	XP_005850851.1
OG0003311	PSC71536.1	XP_005850638.1
OG0003312	PSC71543.1	XP_005850635.1
OG0003313	PSC71557.1	XP_005850646.1
OG0003314	PSC72675.1	XP_005850975.1
OG0003315	PSC72642.1	XP_005850935.1
OG0003317	PSC72761.1	XP_005850654.1
OG0003318	PSC71611.1	XP_005850652.1
OG0003319	PSC71607.1	XP_005850650.1
OG0003320	PSC71572.1	XP_005850927.1
OG0003321	PSC70885.1	XP_005847270.1
OG0003322	PSC72654.1	XP_005850700.1
OG0003323	PSC72716.1	XP_005850988.1
OG0003324	PSC72652.1	XP_005850709.1
OG0003325	PSC72783.1	XP_005850987.1
OG0003326	PSC72677.1	XP_005850710.1
OG0003327	PSC72869.1	XP_005850980.1
OG0003328	PSC72887.1	XP_005850711.1
OG0003329	PSC69028.1	XP_005850757.1
OG0003330	PSC69033.1	XP_005851039.1
OG0003331	PSC72780.1	XP_005850990.1
OG0003332	PSC72137.1	XP_005847025.1
OG0003334	PSC72717.1	XP_005850713.1
OG0003335	PSC72776.1	XP_005850991.1
