Orthogroup	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins
OG0003036	PRW56687.1	XP_005850365.1
OG0003037	PRW56626.1	XP_005850379.1
OG0003038	PRW56536.1	XP_005850124.1
OG0003039	PRW56629.1	XP_005850125.1
OG0003040	PRW56570.1	XP_005850368.1
OG0003041	PRW56727.1	XP_005850126.1
OG0003042	PRW56502.1	XP_005850369.1
OG0003043	PRW56886.1	XP_005850128.1
OG0003044	PRW56619.1	XP_005850372.1
OG0003045	PRW56841.1	XP_005850373.1
OG0003046	PRW56404.1	XP_005850359.1
OG0003047	PRW56833.1	XP_005850362.1
OG0003048	PRW56519.1	XP_005850118.1
OG0003049	PRW56556.1	XP_005850117.1
OG0003050	PRW56676.1	XP_005850119.1
OG0003051	PRW56515.1	XP_005850363.1
OG0003052	PRW56786.1	XP_005850377.1
OG0003053	PRW56652.1	XP_005850376.1
OG0003054	PRW56889.1	XP_005850127.1
OG0003055	PRW56790.1	XP_005850375.1
OG0003056	PRW56396.1	XP_005850115.1
OG0003057	PRW56588.1	XP_005850361.1
OG0003058	PRW44465.1	XP_005847385.1
OG0003059	PRW56726.1	XP_005850381.1
OG0003060	PRW56504.1	XP_005850274.1
OG0003061	PRW61261.1	XP_005844254.1
OG0003062	PRW56414.1	XP_005850271.1
OG0003063	PRW56661.1	XP_005850020.1
OG0003064	PRW56494.1	XP_005850024.1
OG0003065	PRW56874.1	XP_005850027.1
OG0003066	PRW56830.1	XP_005850058.1
OG0003067	PRW57305.1	XP_005846943.1
OG0003068	PRW57415.1	XP_005847135.1
OG0003069	PRW57253.1	XP_005846940.1
OG0003070	PRW60557.1	XP_005851687.1
OG0003071	PRW57289.1	XP_005846838.1
OG0003072	PRW57265.1	XP_005847056.1
OG0003073	PRW57521.1	XP_005846880.1
OG0003074	PRW57278.1	XP_005847057.1
OG0003075	PRW57156.1	XP_005847015.1
OG0003076	PRW57117.1	XP_005847017.1
OG0003077	PRW57059.1	XP_005846839.1
OG0003078	PRW57199.1	XP_005847060.1
OG0003079	PRW57537.1	XP_005847061.1
OG0003080	PRW56899.1	XP_005846883.1
OG0003081	PRW57023.1	XP_005847062.1
OG0003082	PRW56987.1	XP_005847066.1
OG0003083	PRW56901.1	XP_005846886.1
OG0003084	PRW57123.1	XP_005847067.1
OG0003085	PRW57365.1	XP_005847068.1
OG0003086	PRW56967.1	XP_005846888.1
OG0003087	PRW56962.1	XP_005847069.1
OG0003088	PRW57443.1	XP_005847073.1
OG0003089	PRW57076.1	XP_005847074.1
OG0003092	PRW57420.1	XP_005846893.1
OG0003093	PRW57366.1	XP_005846890.1
OG0003094	PRW57475.1	XP_005847072.1
OG0003095	PRW57042.1	XP_005846892.1
OG0003096	PRW57233.1	XP_005846985.1
OG0003097	PRW57149.1	XP_005847195.1
OG0003098	PRW57290.1	XP_005846988.1
OG0003099	PRW56943.1	XP_005847127.1
OG0003100	PRW57351.1	XP_005847133.1
OG0003101	PRW57040.1	XP_005847130.1
OG0003102	PRW57502.1	XP_005846936.1
OG0003103	PRW56903.1	XP_005846926.1
OG0003104	PRW57493.1	XP_005847115.1
OG0003105	PRW57497.1	XP_005846927.1
OG0003106	PRW57178.1	XP_005847116.1
OG0003107	PRW57409.1	XP_005846928.1
OG0003108	PRW57352.1	XP_005847117.1
OG0003109	PRW56996.1	XP_005846929.1
OG0003110	PRW57229.1	XP_005847120.1
OG0003111	PRW57369.1	XP_005846930.1
OG0003113	PRW57513.1	XP_005846933.1
OG0003114	PRW57283.1	XP_005846934.1
OG0003115	PRW57370.1	XP_005847124.1, XP_005846925.1
OG0003116	PRW32972.1, PRW32971.1	XP_005850303.1
OG0003117	PRW45575.1	XP_005845211.1
OG0003119	PRW45653.1	XP_005845047.1
OG0003120	PRW45409.1	XP_005845137.1
OG0003121	PRW33311.1	XP_005844948.1
OG0003122	PRW45570.1	XP_005845140.1
OG0003123	PRW45521.1	XP_005845138.1
OG0003124	PRW45560.1	XP_005845239.1
OG0003125	PRW45412.1	XP_005845123.1
OG0003126	PRW61436.1	XP_005844375.1
OG0003127	PRW45588.1	XP_005845126.1
OG0003128	PRW45419.1	XP_005846836.1
OG0003129	PRW45428.1	XP_005846698.1
OG0003130	PRW56896.1	XP_005846855.1
OG0003131	PRW45717.1	XP_005846833.1
OG0003132	PRW45733.1	XP_005846694.1
OG0003133	PRW45544.1	XP_005846832.1
OG0003134	PRW57202.1	XP_005847037.1
OG0003135	PRW59063.1	XP_005844639.1
OG0003136	PRW32478.1, PRW61335.1	XP_005846819.1, XP_005846818.1
OG0003137	PRW58901.1	XP_005849661.1
OG0003139	PRW45557.1	XP_005846825.1
OG0003140	PRW45401.1	XP_005846689.1
OG0003141	PRW45695.1	XP_005846827.1
OG0003142	PRW45646.1	XP_005846673.1
OG0003143	PRW60993.1	XP_005844360.1
OG0003144	PRW45380.1	XP_005845150.1
OG0003145	PRW57263.1	XP_005846866.1
OG0003146	PRW32581.1	XP_005846706.1
OG0003147	PRW45462.1	XP_005845151.1
OG0003148	PRW45621.1	XP_005845046.1
OG0003149	PRW05765.1	XP_005845949.1
OG0003150	PRW05788.1	XP_005846084.1
OG0003151	PRW05779.1	XP_005845952.1
OG0003152	PRW05786.1	XP_005845954.1
OG0003153	PRW05764.1	XP_005845953.1
OG0003154	PRW05766.1	XP_005846083.1
OG0003155	PRW39074.1	XP_005845980.1
OG0003156	PRW39298.1	XP_005846115.1
OG0003157	PRW39109.1	XP_005845990.1
OG0003158	PRW39344.1	XP_005845991.1
OG0003159	PRW39256.1	XP_005845992.1
OG0003160	PRW39241.1	XP_005845994.1
OG0003161	PRW39184.1	XP_005846119.1
OG0003162	PRW39185.1	XP_005846177.1
OG0003163	PRW39220.1	XP_005846047.1
OG0003164	PRW39127.1	XP_005846183.1
OG0003166	PRW05797.1	XP_005845956.1
OG0003167	PRW05808.1	XP_005846089.1
OG0003168	PRW44615.1	XP_005847227.1
OG0003169	PRW57061.1	XP_005847194.1
OG0003170	PRW05754.1	XP_005845937.1
OG0003171	PRW05768.1	XP_005845957.1
OG0003172	PRW39355.1	XP_005846171.1
OG0003173	PRW05767.1	XP_005846090.1
OG0003174	PRW45719.1	XP_005845209.1
OG0003175	PRW05776.1	XP_005845958.1
OG0003176	PRW56711.1	XP_005850449.1
OG0003177	PRW45627.1	XP_005845061.1
OG0003179	PRW05782.1	XP_005845968.1
OG0003180	PRW05784.1	XP_005845973.1
OG0003182	PRW05758.1	XP_005845976.1
OG0003183	PRW39136.1	XP_005846112.1
OG0003184	PRW39342.1	XP_005845989.1
OG0003185	PRW39293.1	XP_005845979.1
OG0003186	PRW39238.1	XP_005845977.1
OG0003187	PRW39176.1	XP_005846106.1
OG0003189	PRW39235.1	XP_005846109.1
OG0003190	PRW39323.1	XP_005846142.1
OG0003191	PRW39212.1	XP_005846019.1
OG0003192	PRW39153.1	XP_005846152.1
OG0003193	PRW39373.1	XP_005846154.1
OG0003194	PRW39218.1	XP_005846014.1
OG0003195	PRW39325.1	XP_005846164.1
OG0003196	PRW39239.1	XP_005845978.1
OG0003197	PRW39174.1	XP_005845983.1
OG0003198	PRW60909.1	XP_005850775.1
OG0003199	PRW39372.1	XP_005846028.1
OG0003200	PRW39058.1	XP_005846160.1
OG0003201	PRW39156.1	XP_005846011.1
OG0003202	PRW39273.1	XP_005846128.1
OG0003203	PRW39320.1	XP_005846130.1
OG0003205	PRW39102.1	XP_005846151.1
OG0003206	PRW57272.1	XP_005846924.1
OG0003207	PRW39233.1	XP_005846145.1
OG0003209	PRW39159.1	XP_005846168.1
OG0003210	PRW60773.1	XP_005852229.1
OG0003211	PRW39096.1	XP_005846170.1
OG0003212	PRW39080.1	XP_005846169.1
OG0003213	PRW39244.1	XP_005846036.1
OG0003214	PRW39116.1	XP_005846167.1
OG0003215	PRW39253.1	XP_005846034.1
OG0003217	PRW39066.1, PRW39065.1	XP_005845003.1
OG0003218	PRW20728.1	XP_005843860.1
OG0003219	PRW39267.1	XP_005846060.1
OG0003221	PRW39352.1	XP_005846063.1
OG0003222	PRW39165.1	XP_005846057.1
OG0003223	PRW39057.1	XP_005846207.1
OG0003224	PRW39221.1	XP_005846193.1
OG0003225	PRW39138.1	XP_005846184.1
OG0003226	PRW39326.1	XP_005846052.1
OG0003227	PRW39396.1	XP_005846053.1
OG0003229	PRW39205.1	XP_005845000.1
OG0003230	PRW39124.1	XP_005846182.1
OG0003231	PRW39306.1	XP_005844905.1
OG0003232	PRW39263.1	XP_005845004.1
OG0003233	PRW39305.1	XP_005846204.1
OG0003234	PRW39382.1	XP_005846064.1
OG0003235	PRW39123.1	XP_005846206.1
OG0003236	PRW39092.1	XP_005844920.1
OG0003237	PRW57694.1	XP_005849173.1
OG0003238	PRW39130.1	XP_005845023.1
OG0003240	PRW39246.1	XP_005846059.1
OG0003241	PRW39188.1	XP_005846200.1
OG0003242	PRW39309.1	XP_005846199.1
OG0003243	PRW39112.1	XP_005846066.1
OG0003244	PRW39225.1	XP_005845013.1
OG0003245	PRW39251.1	XP_005844917.1
OG0003246	PRW39378.1	XP_005845014.1
OG0003247	PRW20998.1	XP_005844655.1
OG0003248	PRW57509.1	XP_005847082.1
OG0003249	PRW61211.1	XP_005843618.1
OG0003250	PRW57383.1	XP_005847029.1
OG0003251	PRW61618.1	XP_005847300.1
OG0003252	PRW44475.1	XP_005847387.1
OG0003253	PRW60984.1	XP_005843636.1
OG0003255	PRW60963.1	XP_005843555.1
OG0003256	PRW58870.1	XP_005849893.1
OG0003258	PRW61264.1	XP_005843620.1
OG0003259	PRW61052.1	XP_005843570.1
OG0003260	PRW61414.1	XP_005843619.1
OG0003261	PRW60958.1	XP_005843567.1
OG0003262	PRW61101.1	XP_005843565.1
OG0003263	PRW61122.1	XP_005846027.1
OG0003264	PRW56659.1	XP_005850317.1
OG0003265	PRW57110.1	XP_005846851.1
OG0003266	PRW61313.1	XP_005843623.1
OG0003267	PRW61001.1	XP_005843577.1
OG0003268	PRW61011.1	XP_005843625.1
OG0003269	PRW44584.1	XP_005847383.1
OG0003270	PRW61157.1	XP_005843575.1
OG0003271	PRW61073.1	XP_005843611.1
OG0003272	PRW44368.1	XP_005847379.1
OG0003273	PRW44323.1	XP_005847233.1
OG0003274	PRW44594.1	XP_005847376.1
OG0003275	PRW44450.1	XP_005847375.1
OG0003276	PRW44423.1	XP_005847232.1
OG0003277	PRW44303.1	XP_005847372.1
OG0003278	PRW44555.1	XP_005847231.1
OG0003279	PRW44267.1	XP_005847366.1
OG0003280	PRW44545.1	XP_005847368.1
OG0003281	PRW44460.1	XP_005847230.1
OG0003282	PRW44429.1	XP_005847367.1
OG0003283	PRW05810.1	XP_005847364.1
OG0003284	PRW05831.1	XP_005847222.1
OG0003285	PRW56470.1	XP_005850431.1
OG0003286	PRW56513.1	XP_005850179.1
OG0003287	PRW56563.1	XP_005850432.1
OG0003288	PRW56656.1	XP_005850426.1
OG0003289	PRW56595.1	XP_005850411.1
OG0003290	PRW56544.1	XP_005850387.1
OG0003291	PRW56747.1	XP_005850141.1
OG0003292	PRW56441.1	XP_005850396.1
OG0003293	PRW56428.1	XP_005850155.1
OG0003294	PRW56612.1	XP_005850413.1
OG0003295	PRW56847.1	XP_005850163.1
OG0003296	PRW56410.1	XP_005850162.1
OG0003297	PRW56630.1	XP_005850415.1
OG0003298	PRW56403.1	XP_005850417.1
OG0003299	PRW56845.1	XP_005850421.1
OG0003300	PRW56657.1	XP_005850171.1
OG0003301	PRW56671.1	XP_005850419.1
OG0003303	PRW56197.1	XP_005850565.1
OG0003304	PRW33760.1	XP_005847840.1
OG0003305	PRW56452.1	XP_005850339.1
OG0003306	PRW61097.1	XP_005843557.1
OG0003307	PRW56128.1	XP_005850857.1
OG0003308	PRW56204.1	XP_005850850.1
OG0003309	PRW56135.1	XP_005850558.1
OG0003310	PRW56344.1	XP_005850851.1
OG0003311	PRW55902.1	XP_005850638.1
OG0003312	PRW56178.1	XP_005850635.1
OG0003313	PRW55975.1	XP_005850646.1
OG0003314	PRW56176.1	XP_005850975.1
OG0003315	PRW56257.1	XP_005850935.1
OG0003316	PRW33510.1	XP_005850934.1
OG0003317	PRW56129.1	XP_005850654.1
OG0003318	PRW56312.1	XP_005850652.1
OG0003319	PRW56105.1	XP_005850650.1
OG0003320	PRW56114.1	XP_005850927.1
OG0003321	PRW44624.1	XP_005847270.1
OG0003322	PRW55968.1	XP_005850700.1
OG0003323	PRW56009.1	XP_005850988.1
OG0003324	PRW56118.1	XP_005850709.1
OG0003325	PRW56252.1	XP_005850987.1
OG0003326	PRW56126.1	XP_005850710.1
OG0003327	PRW56064.1	XP_005850980.1
OG0003328	PRW56086.1	XP_005850711.1
OG0003329	PRW56172.1	XP_005850757.1
OG0003330	PRW56205.1	XP_005851039.1
OG0003331	PRW56139.1	XP_005850990.1
OG0003332	PRW57360.1	XP_005847025.1
OG0003334	PRW56016.1	XP_005850713.1
OG0003335	PRW56327.1	XP_005850991.1
OG0003336	PRW56031.1	XP_005850993.1
OG0003337	PRW55953.1	XP_005850998.1
OG0003338	PRW56297.1	XP_005850720.1
OG0003339	PRW56097.1	XP_005851002.1
OG0003340	PRW56157.1	XP_005850721.1
OG0003341	PRW56115.1	XP_005850716.1
OG0003342	PRW56100.1	XP_005850745.1
OG0003343	PRW56113.1	XP_005850752.1
OG0003344	PRW55987.1	XP_005851035.1
OG0003345	PRW56309.1	XP_005850717.1
OG0003347	PRW56030.1	XP_005851026.1
OG0003348	PRW55928.1	XP_005850665.1
OG0003349	PRW56015.1	XP_005850946.1
OG0003350	PRW55925.1	XP_005850664.1
OG0003352	PRW55949.1	XP_005850949.1
OG0003353	PRW55895.1	XP_005850953.1
OG0003354	PRW56304.1	XP_005850670.1
OG0003355	PRW56036.1	XP_005850669.1
OG0003356	PRW55958.1	XP_005850952.1
OG0003357	PRW56061.1	XP_005850956.1
OG0003358	PRW56060.1	XP_005850673.1
OG0003359	PRW55930.1	XP_005850674.1
OG0003360	PRW56059.1	XP_005850960.1
OG0003361	PRW56354.1, PRW56353.1	XP_005850961.1
OG0003362	PRW56074.1	XP_005850963.1
OG0003364	PRW45440.1	XP_005845100.1
OG0003366	PRW55988.1	XP_005851012.1
OG0003367	PRW20518.1	XP_005844547.1
OG0003368	PRW56156.1	XP_005851016.1
OG0003369	PRW56222.1	XP_005850684.1
OG0003370	PRW55917.1	XP_005850968.1
OG0003372	PRW56233.1	XP_005850732.1
OG0003373	PRW60640.1	XP_005848786.1
OG0003374	PRW56111.1	XP_005851023.1
OG0003375	PRW55982.1	XP_005851022.1
OG0003376	PRW56266.1	XP_005850737.1
OG0003377	PRW56341.1	XP_005850734.1
OG0003378	PRW56026.1	XP_005851018.1
OG0003379	PRW56285.1	XP_005851017.1
OG0003380	PRW56340.1	XP_005850733.1
OG0003381	PRW55981.1	XP_005850657.1
OG0003382	PRW55997.1	XP_005850940.1
OG0003383	PRW58875.1	XP_005843478.1
OG0003384	PRW56062.1	XP_005850978.1
OG0003385	PRW55961.1	XP_005850979.1
OG0003387	PRW56333.1	XP_005850703.1
OG0003388	PRW56308.1	XP_005850986.1
OG0003389	PRW56227.1	XP_005850688.1
OG0003390	PRW55921.1	XP_005850704.1
OG0003391	PRW44431.1	XP_005847394.1
OG0003392	PRW61000.1	XP_005843608.1
OG0003393	PRW50853.1	XP_005851880.1
OG0003394	PRW45526.1	XP_005845168.1
OG0003396	PRW44434.1	XP_005847238.1
OG0003397	PRW56325.1	XP_005850901.1
OG0003398	PRW56018.1	XP_005850621.1
OG0003399	PRW55887.1	XP_005850900.1
OG0003400	PRW56101.1	XP_005850623.1
OG0003401	PRW56268.1	XP_005850624.1
OG0003402	PRW56131.1	XP_005851010.1
OG0003403	PRW56182.1	XP_005850912.1
OG0003404	PRW56167.1	XP_005850625.1
OG0003405	PRW55908.1	XP_005850626.1
OG0003406	PRW20944.1	XP_005848027.1
OG0003408	PRW56020.1	XP_005851005.1
OG0003409	PRW55986.1	XP_005850724.1
OG0003410	PRW56248.1	XP_005850727.1
OG0003411	PRW56332.1	XP_005850750.1
OG0003412	PRW56223.1	XP_005851037.1
OG0003413	PRW55984.1	XP_005850754.1
OG0003414	PRW56198.1	XP_005850764.1
OG0003415	PRW56050.1	XP_005851052.1
OG0003416	PRW56269.1	XP_005851053.1
OG0003417	PRW21028.1	XP_005844653.1
OG0003418	PRW55993.1	XP_005850767.1
OG0003419	PRW58376.1	XP_005851077.1
OG0003420	PRW56130.1	XP_005850772.1
OG0003421	PRW59838.1	XP_005842977.1
OG0003422	PRW33628.1	XP_005845858.1
OG0003423	PRW33509.1	XP_005845830.1
OG0003424	PRW33573.1	XP_005845838.1
OG0003425	PRW33637.1	XP_005845874.1
OG0003426	PRW60807.1	XP_005847283.1
OG0003427	PRW33527.1	XP_005845763.1
OG0003428	PRW33550.1	XP_005845873.1
OG0003429	PRW33694.1	XP_005845760.1
OG0003430	PRW33715.1	XP_005845871.1
OG0003431	PRW33736.1	XP_005845751.1
OG0003432	PRW33665.1	XP_005845775.1
OG0003433	PRW33703.1	XP_005845831.1
OG0003434	PRW33632.1	XP_005845897.1
OG0003435	PRW33745.1	XP_005845894.1
OG0003436	PRW33546.1	XP_005845889.1
OG0003437	PRW33551.1	XP_005845892.1
OG0003438	PRW33751.1	XP_005845898.1
OG0003440	PRW33646.1	XP_005845784.1
OG0003441	PRW33528.1	XP_005845778.1
OG0003442	PRW33535.1	XP_005845886.1
OG0003443	PRW33729.1	XP_005845766.1
OG0003444	PRW33746.1	XP_005845872.1
OG0003445	PRW33626.1	XP_005845880.1
OG0003446	PRW60783.1	XP_005851678.1
OG0003447	PRW60329.1	XP_005852007.1
OG0003448	PRW60469.1	XP_005851677.1
OG0003449	PRW60314.1	XP_005852006.1
OG0003450	PRW60191.1	XP_005852009.1
OG0003451	PRW60708.1	XP_005851680.1
OG0003452	PRW60426.1	XP_005851684.1
OG0003453	PRW60410.1	XP_005852022.1
OG0003454	PRW60325.1	XP_005851692.1
OG0003455	PRW60519.1, PRW60520.1	XP_005851665.1
OG0003456	PRW60227.1	XP_005851985.1
OG0003457	PRW59854.1	XP_005846523.1
OG0003459	PRW60623.1	XP_005852082.1
OG0003460	PRW60717.1	XP_005852026.1
OG0003461	PRW60656.1	XP_005851695.1
OG0003462	PRW60362.1	XP_005851667.1
OG0003463	PRW60472.1	XP_005851987.1
OG0003464	PRW60228.1	XP_005851666.1
OG0003465	PRW60506.1	XP_005851675.1
OG0003466	PRW60415.1	XP_005852002.1
OG0003467	PRW60452.1	XP_005851997.1
OG0003468	PRW60363.1	XP_005851674.1
OG0003469	PRW60390.1	XP_005852070.1
OG0003470	PRW60674.1	XP_005851729.1
OG0003471	PRW60416.1, PRW60417.1	XP_005851747.1
OG0003472	PRW05953.1	XP_005843199.1
OG0003473	PRW60983.1	XP_005843277.1
OG0003474	PRW60230.1	XP_005851754.1
OG0003475	PRW60418.1	XP_005851753.1
OG0003476	PRW60868.1	XP_005851750.1
OG0003477	PRW60491.1	XP_005851768.1
OG0003478	PRW60705.1	XP_005852105.1
OG0003479	PRW60645.1	XP_005852095.1
OG0003480	PRW60298.1	XP_005851763.1
OG0003481	PRW32657.1	XP_005852322.1
OG0003483	PRW60846.1	XP_005852099.1
OG0003484	PRW60435.1	XP_005852097.1
OG0003485	PRW60315.1	XP_005852108.1
OG0003486	PRW60614.1	XP_005852116.1
OG0003487	PRW60275.1	XP_005851775.1
OG0003488	PRW60726.1	XP_005852114.1
OG0003489	PRW60713.1	XP_005852115.1
OG0003490	PRW60580.1	XP_005852118.1
OG0003491	PRW60724.1	XP_005851784.1
OG0003492	PRW60349.1	XP_005852060.1
OG0003494	PRW60266.1	XP_005852059.1
OG0003495	PRW56393.1	XP_005850072.1
OG0003496	PRW57136.1	XP_005846947.1
OG0003497	PRW60564.1	XP_005851785.1
OG0003498	PRW60809.1	XP_005852144.1
OG0003499	PRW60194.1	XP_005852137.1
OG0003500	PRW60433.1	XP_005851810.1
OG0003501	PRW60279.1	XP_005851794.1
OG0003502	PRW60813.1	XP_005852142.1
OG0003503	PRW60262.1	XP_005851787.1
OG0003504	PRW60821.1	XP_005852124.1
OG0003505	PRW05785.1	XP_005846072.1
OG0003506	PRW57529.1	XP_005846863.1
OG0003508	PRW44628.1	XP_005847243.1
OG0003509	PRW60644.1	XP_005851710.1
OG0003510	PRW60657.1	XP_005851704.1
OG0003511	PRW60774.1	XP_005852042.1
OG0003512	PRW60406.1	XP_005852034.1
OG0003513	PRW60527.1	XP_005851703.1
OG0003514	PRW60269.1	XP_005852037.1
OG0003515	PRW56640.1	XP_005850455.1
OG0003516	PRW44939.1	XP_005847342.1
OG0003517	PRW60420.1	XP_005852033.1
OG0003518	PRW60533.1, PRW44625.1	XP_005851660.1
OG0003519	PRW60208.1	XP_005851688.1
OG0003520	PRW60264.1	XP_005852018.1
OG0003521	PRW60294.1	XP_005851659.1
OG0003522	PRW60369.1	XP_005851976.1
OG0003523	PRW44430.1	XP_005847236.1
OG0003525	PRW60675.1	XP_005851998.1
OG0003526	PRW60488.1	XP_005851671.1
OG0003527	PRW60318.1	XP_005851993.1
OG0003528	PRW60493.1	XP_005852088.1
OG0003529	PRW60512.1	XP_005852076.1
OG0003530	PRW60276.1	XP_005852183.1
OG0003531	PRW60676.1	XP_005852179.1
OG0003532	PRW60825.1	XP_005851732.1
OG0003533	PRW60543.1	XP_005851727.1
OG0003534	PRW60837.1	XP_005851725.1
OG0003535	PRW60636.1	XP_005852064.1
OG0003537	PRW59453.1	XP_005846446.1
OG0003538	PRW20167.1, PRW50802.1	XP_005842956.1
OG0003539	PRW60784.1	XP_005851741.1
OG0003540	PRW59746.1	XP_005846351.1
OG0003541	PRW60819.1	XP_005852084.1
OG0003542	PRW60586.1	XP_005851851.1
OG0003543	PRW33561.1	XP_005843815.1
OG0003544	PRW60316.1	XP_005852069.1
OG0003545	PRW59254.1	XP_005845068.1
OG0003546	PRW60702.1	XP_005852245.1
OG0003547	PRW60291.1	XP_005852234.1
OG0003548	PRW60607.1	XP_005851913.1
OG0003549	PRW60254.1	XP_005851918.1
OG0003550	PRW44349.1	XP_005847378.1
OG0003551	PRW60394.1	XP_005852078.1
OG0003552	PRW60740.1	XP_005851737.1
OG0003553	PRW60322.1	XP_005851735.1
OG0003554	PRW60304.1	XP_005852075.1
OG0003555	PRW60588.1	XP_005851733.1
OG0003556	PRW61083.1	XP_005844294.1
OG0003557	PRW61310.1	XP_005844298.1
OG0003558	PRW61476.1	XP_005842586.1
OG0003559	PRW60872.1	XP_005852123.1
OG0003560	PRW61271.1	XP_005844444.1
OG0003561	PRW61547.1	XP_005844428.1
OG0003562	PRW20526.1, PRW20525.1	XP_005844530.1
OG0003563	PRW61497.1	XP_005844343.1
OG0003564	PRW45501.1	XP_005845098.1
OG0003565	PRW61263.1	XP_005845048.1
OG0003566	PRW61207.1	XP_005844361.1
OG0003567	PRW61272.1	XP_005851881.1
OG0003568	PRW60927.1	XP_005843479.1
OG0003569	PRW61420.1	XP_005843509.1
OG0003570	PRW61028.1	XP_005842690.1
OG0003571	PRW61378.1	XP_005844442.1
OG0003572	PRW21040.1	XP_005844751.1
OG0003573	PRW60985.1	XP_005843516.1
OG0003574	PRW33965.1	XP_005849037.1
OG0003575	PRW61067.1	XP_005847852.1
OG0003576	PRW34048.1	XP_005849235.1
OG0003577	PRW33958.1	XP_005849018.1
OG0003578	PRW33809.1	XP_005849228.1
OG0003579	PRW33828.1	XP_005849233.1
OG0003580	PRW33889.1	XP_005849028.1
OG0003581	PRW33970.1	XP_005849022.1
OG0003582	PRW33940.1	XP_005849038.1
OG0003583	PRW45706.1	XP_005845213.1
OG0003584	PRW57863.1	XP_005849137.1
OG0003585	PRW33540.1	XP_005845720.1
OG0003586	PRW57595.1	XP_005849343.1
OG0003587	PRW57901.1	XP_005849345.1
OG0003588	PRW57743.1	XP_005849340.1
OG0003589	PRW57799.1	XP_005849136.1
OG0003590	PRW57573.1	XP_005849333.1
OG0003591	PRW57867.1	XP_005849334.1
OG0003592	PRW57770.1	XP_005849337.1
OG0003593	PRW33944.1	XP_005849295.1
OG0003594	PRW34015.1	XP_005849285.1
OG0003595	PRW56447.1	XP_005850281.1
OG0003596	PRW33848.1	XP_005849296.1
OG0003597	PRW57062.1	XP_005846860.1
OG0003598	PRW56970.1	XP_005846861.1
OG0003599	PRW34077.1	XP_005849281.1
OG0003600	PRW34094.1	XP_005849082.1
OG0003601	PRW44869.1	XP_005848572.1
OG0003602	PRW33934.1	XP_005849286.1
OG0003603	PRW45571.1	XP_005845196.1
OG0003604	PRW33797.1	XP_005849071.1
OG0003605	PRW33937.1	XP_005849275.1
OG0003606	PRW33821.1	XP_005849269.1
OG0003607	PRW33912.1	XP_005849068.1
OG0003608	PRW34101.1	XP_005849271.1
OG0003609	PRW34052.1, PRW34051.1	XP_005849270.1
OG0003610	PRW33874.1	XP_005849066.1
OG0003611	PRW33817.1	XP_005849308.1
OG0003612	PRW33903.1	XP_005849273.1
OG0003613	PRW61507.1	XP_005848694.1
OG0003614	PRW34032.1	XP_005849095.1
OG0003615	PRW57842.1	XP_005849116.1
OG0003616	PRW05855.1	XP_005850206.1
OG0003617	PRW34044.1	XP_005849276.1
OG0003618	PRW33967.1	XP_005849073.1
OG0003619	PRW33935.1	XP_005849096.1
OG0003620	PRW57886.1	XP_005849327.1
OG0003621	PRW57910.1	XP_005849126.1
OG0003622	PRW33758.1	XP_005849065.1
OG0003623	PRW34086.1	XP_005849268.1
OG0003624	PRW33925.1	XP_005849265.1
OG0003625	PRW34078.1	XP_005849266.1
OG0003626	PRW33772.1	XP_005849267.1
OG0003627	PRW33968.1	XP_005849063.1
OG0003628	PRW32636.1	XP_005846723.1
OG0003629	PRW33781.1	XP_005849263.1
OG0003630	PRW34059.1	XP_005849059.1
OG0003631	PRW34005.1	XP_005849262.1
OG0003632	PRW33969.1	XP_005849057.1
OG0003633	PRW34023.1	XP_005849056.1
OG0003634	PRW58029.1	XP_005849192.1
OG0003635	PRW57554.1	XP_005849387.1
OG0003636	PRW57767.1	XP_005849193.1
OG0003637	PRW57852.1	XP_005849331.1
OG0003639	PRW57780.1	XP_005849104.1
OG0003640	PRW57876.1	XP_005849321.1
OG0003642	PRW60445.1	XP_005851270.1
OG0003643	PRW57725.1	XP_005849114.1
OG0003644	PRW58000.1	XP_005849113.1
OG0003645	PRW58007.1	XP_005849182.1
OG0003646	PRW57839.1	XP_005849185.1
OG0003647	PRW33876.1	XP_005849254.1
OG0003648	PRW57945.1	XP_005849111.1
OG0003649	PRW57894.1	XP_005849320.1
OG0003650	PRW57735.1	XP_005849371.1
OG0003651	PRW57689.1	XP_005849372.1
OG0003652	PRW57663.1	XP_005849176.1
OG0003653	PRW20209.1	XP_005842950.1
OG0003654	PRW57825.1	XP_005849200.1
OG0003656	PRW57742.1	XP_005849386.1
OG0003657	PRW57841.1	XP_005849375.1
OG0003659	PRW57772.1	XP_005849399.1
OG0003660	PRW58032.1	XP_005849153.1
OG0003661	PRW57668.1	XP_005849196.1
OG0003662	PRW57544.1	XP_005849197.1
OG0003663	PRW57458.1	XP_005846857.1
OG0003664	PRW57883.1	XP_005849174.1
OG0003665	PRW57895.1	XP_005849373.1
OG0003666	PRW57897.1	XP_005849374.1
OG0003667	PRW57927.1	XP_005849396.1
OG0003668	PRW57549.1	XP_005849401.1
OG0003669	PRW57696.1	XP_005849162.1, XP_005849161.1
OG0003670	PRW57757.1	XP_005849356.1
OG0003672	PRW57624.1	XP_005849360.1
OG0003673	PRW34031.1	XP_005849252.1
OG0003674	PRW34060.1	XP_005849250.1
OG0003675	PRW33918.1	XP_005849249.1
OG0003676	PRW34085.1	XP_005849048.1
