Orthogroup	c_sorokiniana_genome_proteins	c_vulgaris_genome_proteins
OG0003468	PRW60363.1	KAI3429267.1
OG0003469	PRW60390.1	KAI3429397.1
OG0003470	PRW60674.1	KAI3429398.1
OG0003471	PRW60416.1, PRW60417.1	KAI3429438.1
OG0003472	PRW05953.1	KAI3427427.1
OG0003473	PRW60983.1	KAI3431838.1
OG0003474	PRW60230.1	KAI3429449.1
OG0003475	PRW60418.1	KAI3429446.1, KAI3429447.1
OG0003476	PRW60868.1	KAI3429442.1
OG0003477	PRW60491.1	KAI3429480.1
OG0003478	PRW60705.1	KAI3429478.1
OG0003479	PRW60645.1	KAI3429459.1
OG0003480	PRW60298.1	KAI3429460.1
OG0003481	PRW32657.1	KAI3423919.1
OG0003483	PRW60846.1	KAI3429464.1
OG0003484	PRW60435.1	KAI3429462.1
OG0003485	PRW60315.1	KAI3429484.1
OG0003486	PRW60614.1	KAI3429501.1
OG0003487	PRW60275.1	KAI3429496.1
OG0003488	PRW60726.1	KAI3429495.1
OG0003489	PRW60713.1	KAI3429497.1
OG0003490	PRW60580.1	KAI3429508.1
OG0003491	PRW60724.1	KAI3429509.1
OG0003492	PRW60349.1	KAI3429375.1
OG0003494	PRW60266.1	KAI3429373.1
OG0003495	PRW56393.1	KAI3428118.1
OG0003496	PRW57136.1	KAI3438075.1
OG0003497	PRW60564.1	KAI3429512.1
OG0003498	PRW60809.1	KAI3429555.1
OG0003499	PRW60194.1	KAI3429543.1
OG0003500	PRW60433.1	KAI3429552.1
OG0003501	PRW60279.1	KAI3429530.1
OG0003502	PRW60813.1	KAI3429550.1
OG0003503	PRW60262.1	KAI3429521.1
OG0003504	PRW60821.1	KAI3429519.1
OG0003505	PRW05785.1	KAI3431254.1
OG0003506	PRW57529.1	KAI3438277.1
OG0003508	PRW44628.1	KAI3428704.1
OG0003509	PRW60644.1	KAI3429358.1
OG0003510	PRW60657.1	KAI3429346.1
OG0003511	PRW60774.1	KAI3429347.1
OG0003512	PRW60406.1	KAI3429337.1
OG0003513	PRW60527.1	KAI3429342.1
OG0003514	PRW60269.1	KAI3429341.1
OG0003515	PRW56640.1	KAI3428840.1
OG0003516	PRW44939.1	KAI3428448.1
OG0003517	PRW60420.1	KAI3429336.1
OG0003518	PRW60533.1, PRW44625.1	KAI3429230.1
OG0003519	PRW60208.1	KAI3429308.1
OG0003520	PRW60264.1	KAI3429307.1
OG0003521	PRW60294.1	KAI3429227.1
OG0003522	PRW60369.1	KAI3429225.1
OG0003523	PRW44430.1	KAI3428726.1
OG0003525	PRW60675.1	KAI3429268.1
OG0003526	PRW60488.1	KAI3429259.1
OG0003527	PRW60318.1	KAI3429258.1
OG0003528	PRW60493.1	KAI3429435.1
OG0003529	PRW60512.1	KAI3429409.1
OG0003530	PRW60276.1	KAI3429574.1
OG0003531	PRW60676.1	KAI3429583.1
OG0003532	PRW60825.1	KAI3429404.1
OG0003533	PRW60543.1	KAI3429391.1
OG0003534	PRW60837.1	KAI3429388.1
OG0003535	PRW60636.1	KAI3429386.1
OG0003537	PRW59453.1	KAI3435887.1
OG0003539	PRW60784.1	KAI3429427.1
OG0003540	PRW59746.1	KAI3435708.1
OG0003541	PRW60819.1	KAI3429426.1
OG0003542	PRW60586.1	KAI3429586.1
OG0003543	PRW33561.1	KAI3438978.1
OG0003544	PRW60316.1	KAI3429396.1
OG0003545	PRW59254.1	KAI3439047.1
OG0003546	PRW60702.1	KAI3429783.1
OG0003547	PRW60291.1	KAI3429756.1
OG0003548	PRW60607.1	KAI3429775.1
OG0003549	PRW60254.1	KAI3429782.1
OG0003550	PRW44349.1	KAI3428728.1
OG0003551	PRW60394.1	KAI3429414.1
OG0003552	PRW60740.1	KAI3429417.1
OG0003553	PRW60322.1	KAI3429412.1
OG0003554	PRW60304.1	KAI3429406.1
OG0003555	PRW60588.1	KAI3429407.1
OG0003556	PRW61083.1	KAI3432383.1
OG0003557	PRW61310.1	KAI3432388.1
OG0003558	PRW61476.1	KAI3424152.1
OG0003559	PRW60872.1	KAI3429518.1
OG0003560	PRW61271.1	KAI3432414.1
OG0003561	PRW61547.1	KAI3432876.1
OG0003563	PRW61497.1	KAI3432872.1
OG0003564	PRW45501.1	KAI3424858.1
OG0003565	PRW61263.1	KAI3424747.1
OG0003566	PRW61207.1	KAI3432411.1
OG0003567	PRW61272.1	KAI3429689.1
OG0003568	PRW60927.1	KAI3432767.1
OG0003569	PRW61420.1	KAI3432773.1
OG0003570	PRW61028.1	KAI3432778.1
OG0003571	PRW61378.1	KAI3432423.1
OG0003572	PRW21040.1	KAI3430757.1
OG0003573	PRW60985.1	KAI3432766.1
OG0003574	PRW33965.1	KAI3434994.1
OG0003575	PRW61067.1	KAI3426004.1
OG0003576	PRW34048.1	KAI3435001.1
OG0003577	PRW33958.1	KAI3435029.1
OG0003578	PRW33809.1	KAI3435026.1
OG0003579	PRW33828.1	KAI3435003.1
OG0003580	PRW33889.1	KAI3435015.1
OG0003581	PRW33970.1	KAI3435023.1
OG0003582	PRW33940.1	KAI3434991.1
OG0003583	PRW45706.1	KAI3424883.1
OG0003584	PRW57863.1	KAI3434785.1
OG0003585	PRW33540.1	KAI3425380.1
OG0003586	PRW57595.1	KAI3434778.1
OG0003587	PRW57901.1	KAI3434869.1
OG0003588	PRW57743.1	KAI3434789.1
OG0003589	PRW57799.1	KAI3434788.1
OG0003590	PRW57573.1	KAI3434799.1
OG0003591	PRW57867.1	KAI3434797.1
OG0003592	PRW57770.1	KAI3434794.1
OG0003593	PRW33944.1	KAI3434876.1
OG0003594	PRW34015.1	KAI3434885.1
OG0003595	PRW56447.1	KAI3428034.1
OG0003596	PRW33848.1	KAI3434875.1
OG0003597	PRW57062.1	KAI3438283.1
OG0003598	PRW56970.1	KAI3438281.1
OG0003599	PRW34077.1	KAI3434891.1
OG0003600	PRW34094.1	KAI3434890.1
OG0003601	PRW44869.1	KAI3426478.1
OG0003602	PRW33934.1	KAI3434883.1
OG0003603	PRW45571.1	KAI3424838.1
OG0003604	PRW33797.1	KAI3434905.1
OG0003605	PRW33937.1	KAI3434904.1
OG0003606	PRW33821.1	KAI3434924.1
OG0003607	PRW33912.1	KAI3434919.1
OG0003608	PRW34101.1	KAI3434921.1
OG0003609	PRW34052.1, PRW34051.1	KAI3434923.1
OG0003610	PRW33874.1	KAI3434922.1
OG0003611	PRW33817.1	KAI3434853.1
OG0003612	PRW33903.1	KAI3434916.1
OG0003613	PRW61507.1	KAI3427065.1
OG0003614	PRW34032.1	KAI3434860.1
OG0003615	PRW57842.1	KAI3434828.1
OG0003616	PRW05855.1	KAI3428829.1
OG0003617	PRW34044.1	KAI3434908.1
OG0003618	PRW33967.1	KAI3434911.1
OG0003619	PRW33935.1	KAI3434858.1
OG0003620	PRW57886.1	KAI3434815.1
OG0003621	PRW57910.1	KAI3434810.1
OG0003622	PRW33758.1	KAI3434926.1
OG0003623	PRW34086.1	KAI3434928.1
OG0003624	PRW33925.1	KAI3434945.1
OG0003625	PRW34078.1	KAI3434943.1
OG0003626	PRW33772.1	KAI3434931.1
OG0003627	PRW33968.1	KAI3434930.1
OG0003628	PRW32636.1	KAI3423870.1
OG0003629	PRW33781.1	KAI3434948.1
OG0003630	PRW34059.1	KAI3434947.1
OG0003631	PRW34005.1	KAI3434950.1
OG0003632	PRW33969.1	KAI3434951.1
OG0003633	PRW34023.1	KAI3434954.1
OG0003634	PRW58029.1	KAI3434689.1
OG0003635	PRW57554.1	KAI3434690.1
OG0003636	PRW57767.1	KAI3434686.1
OG0003637	PRW57852.1	KAI3434803.1
OG0003638	PRW57835.1	KAI3434817.1
OG0003639	PRW57780.1	KAI3434843.1
OG0003640	PRW57876.1	KAI3434832.1
OG0003642	PRW60445.1	KAI3433445.1
OG0003643	PRW57725.1	KAI3434831.1
OG0003644	PRW58000.1	KAI3434833.1
OG0003645	PRW58007.1	KAI3434707.1
OG0003646	PRW57839.1	KAI3434697.1
OG0003647	PRW33876.1	KAI3434959.1
OG0003648	PRW57945.1	KAI3434835.1
OG0003649	PRW57894.1	KAI3434836.1
OG0003650	PRW57735.1	KAI3434720.1
OG0003651	PRW57689.1	KAI3434718.1
OG0003652	PRW57663.1	KAI3434717.1
OG0003653	PRW20209.1	KAI3430988.1
OG0003654	PRW57825.1	KAI3434664.1
OG0003656	PRW57742.1	KAI3434691.1
OG0003657	PRW57841.1	KAI3434708.1
OG0003659	PRW57772.1	KAI3434671.1
OG0003660	PRW58032.1	KAI3434761.1
OG0003661	PRW57668.1	KAI3434679.1
OG0003662	PRW57544.1	KAI3434677.1
OG0003663	PRW57458.1	KAI3438289.1
OG0003664	PRW57883.1	KAI3434721.1
OG0003665	PRW57895.1	KAI3434716.1
OG0003666	PRW57897.1	KAI3434711.1
OG0003667	PRW57927.1	KAI3434674.1
OG0003668	PRW57549.1	KAI3434669.1
OG0003670	PRW57757.1	KAI3434751.1
OG0003672	PRW57624.1	KAI3434747.1
OG0003673	PRW34031.1	KAI3434967.1
OG0003674	PRW34060.1	KAI3434970.1
OG0003675	PRW33918.1	KAI3434971.1
OG0003676	PRW34085.1	KAI3434968.1
OG0003677	PRW45506.1	KAI3425076.1
OG0003678	PRW20698.1	KAI3434469.1
OG0003679	PRW56743.1, PRW58123.1	KAI3428276.1
OG0003680	PRW57567.1	KAI3437946.1
OG0003681	PRW57969.1	KAI3434626.1
OG0003682	PRW57692.1	KAI3434633.1
OG0003683	PRW57647.1	KAI3434632.1
OG0003684	PRW57758.1	KAI3434631.1
OG0003685	PRW57699.1	KAI3434650.1
OG0003686	PRW57649.1	KAI3434652.1
OG0003687	PRW57707.1	KAI3434651.1
OG0003688	PRW57603.1	KAI3434599.1
OG0003689	PRW59232.1	KAI3439136.1
OG0003690	PRW50756.1	KAI3427068.1
OG0003691	PRW57912.1	KAI3434604.1
OG0003692	PRW58015.1	KAI3434608.1
OG0003693	PRW20746.1	KAI3434566.1
OG0003694	PRW20621.1	KAI3434567.1
OG0003695	PRW20695.1	KAI3434506.1
OG0003696	PRW60697.1	KAI3429822.1
OG0003697	PRW60855.1	KAI3429828.1
OG0003698	PRW60593.1	KAI3429788.1
OG0003699	PRW60760.1	KAI3429787.1
OG0003700	PRW60741.1	KAI3429829.1
OG0003701	PRW60422.1	KAI3429870.1
OG0003702	PRW60587.1	KAI3429869.1
OG0003703	PRW60630.1	KAI3429799.1
OG0003704	PRW60647.1	KAI3429800.1
OG0003705	PRW60867.1	KAI3429797.1
OG0003706	PRW60529.1	KAI3429865.1
OG0003707	PRW60752.1	KAI3429843.1
OG0003708	PRW60226.1	KAI3429849.1
OG0003709	PRW60577.1	KAI3429818.1
OG0003710	PRW21127.1	KAI3430865.1
OG0003711	PRW60485.1	KAI3429801.1
OG0003712	PRW60575.1	KAI3429802.1
OG0003713	PRW60933.1	KAI3432226.1
OG0003714	PRW60283.1	KAI3429890.1
OG0003715	PRW60814.1	KAI3429765.1
OG0003716	PRW60321.1	KAI3429824.1
OG0003717	PRW60335.1	KAI3429836.1
OG0003718	PRW60662.1	KAI3429835.1
OG0003719	PRW60412.1	KAI3429630.1
OG0003720	PRW60216.1	KAI3429638.1
OG0003721	PRW60758.1	KAI3429680.1
OG0003722	PRW60585.1	KAI3429606.1, KAI3429605.1
OG0003723	PRW60414.1	KAI3429600.1
OG0003724	PRW60379.1	KAI3429619.1
OG0003725	PRW60455.1	KAI3429615.1
OG0003726	PRW60615.1	KAI3429613.1
OG0003727	PRW60339.1	KAI3429657.1
OG0003728	PRW60596.1	KAI3429662.1
OG0003729	PRW60365.1	KAI3429668.1
OG0003730	PRW60277.1	KAI3429669.1
OG0003731	PRW60858.1	KAI3429699.1
OG0003732	PRW60613.1	KAI3429658.1
OG0003733	PRW60798.1	KAI3429721.1
OG0003735	PRW60775.1	KAI3429724.1
OG0003736	PRW60641.1	KAI3429723.1
OG0003737	PRW60728.1	KAI3429570.1
OG0003738	PRW60492.1	KAI3429713.1
OG0003739	PRW60199.1	KAI3429660.1
OG0003740	PRW60440.1	KAI3429675.1
OG0003741	PRW60688.1	KAI3429705.1
OG0003742	PRW60530.1	KAI3429702.1
OG0003743	PRW60195.1	KAI3429735.1
OG0003744	PRW60510.1	KAI3429736.1
OG0003745	PRW60734.1	KAI3429707.1
OG0003746	PRW60458.1	KAI3429741.1
OG0003747	PRW60476.1	KAI3429740.1
OG0003748	PRW60347.1	KAI3429730.1
OG0003749	PRW61095.1, PRW61094.1	KAI3432690.1
OG0003750	PRW60344.1	KAI3429738.1
OG0003751	PRW60747.1	KAI3429565.1
OG0003752	PRW60842.1	KAI3429564.1
OG0003753	PRW60794.1	KAI3429578.1
OG0003754	PRW60671.1	KAI3429683.1
OG0003755	PRW60721.1	KAI3429693.1
OG0003756	PRW60507.1	KAI3429711.1
OG0003757	PRW56964.1	KAI3437875.1
OG0003758	PRW20652.1	KAI3434492.1
OG0003759	PRW20627.1	KAI3434493.1
OG0003760	PRW20685.1	KAI3434466.1
OG0003761	PRW20632.1	KAI3434495.1
OG0003762	PRW20597.1	KAI3434559.1
OG0003763	PRW61018.1	KAI3424057.1
OG0003764	PRW20369.1	KAI3424300.1
OG0003765	PRW59600.1	KAI3436367.1
OG0003766	PRW58482.1	KAI3433635.1
OG0003767	PRW20713.1	KAI3434530.1
OG0003768	PRW60961.1	KAI3438928.1
OG0003769	PRW33120.1	KAI3431799.1
OG0003770	PRW20658.1	KAI3434498.1
OG0003771	PRW51045.1	KAI3427269.1
OG0003772	PRW20667.1	KAI3434486.1
OG0003773	PRW61586.1	KAI3433812.1
OG0003774	PRW20634.1	KAI3424331.1
OG0003775	PRW20602.1	KAI3434377.1
OG0003776	PRW20758.1	KAI3434395.1
OG0003777	PRW33320.1, PRW33321.1	KAI3431759.1
OG0003778	PRW20744.1	KAI3434502.1
OG0003779	PRW20674.1	KAI3434454.1
OG0003780	PRW20763.1	KAI3434443.1
OG0003781	PRW32663.1	KAI3423916.1
OG0003782	PRW57176.1	KAI3438078.1
OG0003783	PRW20757.1	KAI3434433.1
OG0003784	PRW21111.1	KAI3430748.1
OG0003785	PRW20655.1	KAI3434432.1
OG0003786	PRW33082.1	KAI3430464.1
OG0003787	PRW20637.1	KAI3434535.1
OG0003788	PRW58857.1	KAI3438470.1
OG0003790	PRW44978.1	KAI3426201.1
OG0003791	PRW45561.1	KAI3424746.1
OG0003792	PRW45089.1	KAI3426441.1
OG0003793	PRW45248.1	KAI3426440.1
OG0003794	PRW45081.1	KAI3426437.1
OG0003795	PRW44953.1, PRW44954.1	KAI3426436.1
OG0003796	PRW44507.1	KAI3428676.1
OG0003797	PRW45112.1	KAI3426454.1
OG0003798	PRW45068.1	KAI3426455.1
OG0003799	PRW44960.1	KAI3426191.1
OG0003800	PRW45019.1	KAI3426192.1
OG0003801	PRW45116.1	KAI3426150.1
OG0003802	PRW45258.1	KAI3426151.1
OG0003804	PRW45144.1	KAI3426438.1
OG0003805	PRW44982.1	KAI3426157.1
OG0003807	PRW45130.1	KAI3426401.1
OG0003808	PRW57201.1	KAI3438165.1
OG0003809	PRW32887.1	KAI3430463.1
OG0003810	PRW44264.1	KAI3428680.1
OG0003811	PRW44947.1, PRW45058.1	KAI3426133.1
OG0003812	PRW59805.1	KAI3436202.1
OG0003813	PRW44853.1	KAI3426111.1
OG0003814	PRW44877.1	KAI3426398.1
OG0003815	PRW45043.1	KAI3426123.1
OG0003816	PRW57394.1	KAI3438174.1
OG0003818	PRW44903.1	KAI3426108.1
OG0003819	PRW44966.1	KAI3426138.1
OG0003820	PRW57933.1	KAI3437757.1
OG0003821	PRW44408.1	KAI3428648.1
OG0003822	PRW45133.1	KAI3426155.1
OG0003823	PRW45154.1	KAI3426154.1
OG0003824	PRW45085.1	KAI3426212.1
OG0003825	PRW45140.1	KAI3426205.1
OG0003826	PRW44976.1	KAI3426202.1
OG0003827	PRW57483.1	KAI3438076.1
OG0003828	PRW44900.1	KAI3426196.1
OG0003829	PRW45142.1	KAI3426198.1
OG0003830	PRW44912.1	KAI3426189.1
OG0003831	PRW45131.1	KAI3426461.1
OG0003832	PRW61626.1	KAI3432588.1
OG0003833	PRW45205.1	KAI3426341.1
OG0003834	PRW45210.1	KAI3426339.1
OG0003835	PRW45157.1	KAI3426360.1
OG0003836	PRW45256.1	KAI3426337.1
OG0003837	PRW59103.1	KAI3428842.1
OG0003838	PRW45168.1	KAI3426354.1
OG0003839	PRW44958.1	KAI3426357.1
OG0003840	PRW44905.1	KAI3426356.1
OG0003841	PRW45191.1	KAI3426351.1, KAI3426352.1
OG0003842	PRW45236.1	KAI3426363.1
OG0003843	PRW44914.1	KAI3426364.1
OG0003844	PRW45259.1	KAI3426343.1
OG0003845	PRW44932.1	KAI3426346.1
OG0003846	PRW44873.1	KAI3426347.1
OG0003847	PRW44867.1	KAI3426366.1
OG0003848	PRW45211.1	KAI3426365.1
OG0003849	PRW58334.1	KAI3426000.1
OG0003850	PRW56562.1	KAI3428099.1
OG0003851	PRW44863.1	KAI3426382.1
OG0003852	PRW45088.1	KAI3426397.1
OG0003853	PRW44933.1	KAI3426385.1
OG0003854	PRW45217.1	KAI3426413.1
OG0003855	PRW45181.1	KAI3426387.1
OG0003856	PRW50915.1	KAI3426996.1
OG0003857	PRW45048.1	KAI3426392.1
OG0003858	PRW45148.1	KAI3426393.1
OG0003859	PRW44851.1	KAI3426394.1
OG0003860	PRW44893.1	KAI3426379.1
OG0003861	PRW45254.1	KAI3426407.1
OG0003863	PRW45270.1	KAI3426451.1
OG0003864	PRW44979.1	KAI3426178.1
OG0003865	PRW45196.1	KAI3426179.1
OG0003866	PRW45076.1	KAI3426446.1
OG0003867	PRW45122.1	KAI3426174.1
OG0003868	PRW45265.1	KAI3426177.1
OG0003869	PRW45066.1	KAI3426176.1
OG0003870	PRW45095.1	KAI3426167.1
OG0003871	PRW45053.1	KAI3426426.1
OG0003872	PRW44987.1	KAI3426424.1
OG0003873	PRW44921.1	KAI3426416.1
OG0003874	PRW44876.1	KAI3426432.1
OG0003875	PRW45146.1	KAI3426433.1
OG0003876	PRW32976.1	KAI3430396.1
OG0003877	PRW21029.1	KAI3430881.1
OG0003878	PRW21062.1	KAI3430880.1
OG0003879	PRW59960.1	KAI3426311.1
OG0003880	PRW20242.1	KAI3430987.1
OG0003881	PRW44298.1	KAI3428700.1
OG0003882	PRW20199.1	KAI3430672.1
OG0003883	PRW20186.1	KAI3430671.1
OG0003884	PRW20262.1	KAI3430668.1
OG0003885	PRW20999.1	KAI3430822.1
OG0003886	PRW21113.1	KAI3430801.1
OG0003887	PRW20989.1	KAI3430837.1
OG0003889	PRW33954.1	KAI3426022.1
OG0003890	PRW59010.1	KAI3439092.1
OG0003892	PRW59238.1	KAI3439029.1, KAI3439030.1
OG0003893	PRW59177.1	KAI3439036.1
OG0003894	PRW58926.1	KAI3439048.1
OG0003895	PRW58768.1	KAI3439049.1
OG0003896	PRW58837.1	KAI3439051.1
OG0003897	PRW59418.1	KAI3439054.1
OG0003898	PRW56864.1	KAI3428215.1
OG0003899	PRW59054.1	KAI3439041.1
OG0003900	PRW59367.1	KAI3439055.1
OG0003901	PRW59193.1	KAI3429793.1
OG0003902	PRW58835.1	KAI3438942.1
OG0003903	PRW58952.1	KAI3438948.1
OG0003904	PRW60886.1	KAI3432735.1
OG0003905	PRW58772.1	KAI3439129.1
OG0003906	PRW58856.1	KAI3439127.1
OG0003907	PRW59270.1	KAI3438949.1
OG0003908	PRW58969.1	KAI3439126.1
OG0003909	PRW21088.1	KAI3430786.1
OG0003910	PRW21092.1	KAI3430791.1
OG0003911	PRW20988.1	KAI3430792.1
OG0003912	PRW21104.1	KAI3430780.1
OG0003914	PRW59100.1	KAI3438604.1
OG0003915	PRW59323.1	KAI3438605.1
OG0003916	PRW59437.1	KAI3438551.1
OG0003917	PRW59314.1	KAI3438552.1
OG0003918	PRW59004.1	KAI3438553.1
OG0003919	PRW60942.1	KAI3432816.1
OG0003920	PRW58791.1	KAI3438444.1
OG0003921	PRW59335.1	KAI3438443.1
OG0003923	PRW59246.1	KAI3438465.1
OG0003924	PRW57364.1	KAI3438404.1
OG0003925	PRW57007.1	KAI3438403.1
OG0003926	PRW44444.1	KAI3428662.1
OG0003927	PRW59117.1	KAI3438494.1
OG0003928	PRW59191.1	KAI3438474.1
OG0003929	PRW59235.1	KAI3438475.1
OG0003930	PRW58948.1	KAI3438500.1
OG0003931	PRW58919.1	KAI3438503.1
OG0003932	PRW57151.1	KAI3438396.1
OG0003933	PRW57534.1	KAI3438402.1
OG0003934	PRW59262.1	KAI3438496.1
OG0003935	PRW58845.1	KAI3438487.1
OG0003936	PRW59122.1	KAI3438488.1
OG0003937	PRW59009.1	KAI3438492.1
OG0003939	PRW59220.1	KAI3438460.1
OG0003940	PRW59214.1	KAI3438458.1
OG0003941	PRW59295.1	KAI3438562.1
OG0003942	PRW59423.1, PRW59424.1	KAI3438556.1
OG0003943	PRW59317.1	KAI3438557.1
OG0003944	PRW58820.1	KAI3438561.1
OG0003945	PRW58905.1	KAI3438565.1
OG0003946	PRW58899.1	KAI3438580.1
OG0003947	PRW58918.1	KAI3437925.1, KAI3437926.1
OG0003948	PRW59040.1	KAI3438427.1
OG0003949	PRW58833.1	KAI3438429.1
OG0003950	PRW58850.1	KAI3438430.1
OG0003951	PRW45473.1	KAI3424821.1
OG0003952	PRW58988.1	KAI3438426.1
OG0003953	PRW58951.1	KAI3438423.1
OG0003954	PRW59222.1	KAI3438416.1
OG0003955	PRW58800.1	KAI3438419.1
OG0003956	PRW59023.1	KAI3438411.1
OG0003957	PRW59149.1	KAI3438410.1
OG0003958	PRW59225.1	KAI3438421.1
OG0003959	PRW59102.1	KAI3438412.1
OG0003960	PRW58914.1	KAI3438567.1
OG0003961	PRW45372.1	KAI3424826.1
OG0003962	PRW59581.1	KAI3435699.1
OG0003963	PRW59081.1	KAI3438571.1
OG0003964	PRW45426.1	KAI3424185.1
OG0003965	PRW61448.1	KAI3432615.1
OG0003966	PRW56842.1	KAI3428179.1
OG0003967	PRW61136.1	KAI3431506.1
OG0003968	PRW59343.1	KAI3438433.1
OG0003969	PRW58963.1	KAI3438434.1
OG0003970	PRW58908.1	KAI3438437.1
OG0003971	PRW57134.1	KAI3438384.1
OG0003972	PRW59003.1	KAI3438555.1
OG0003973	PRW59008.1	KAI3438554.1
OG0003974	PRW57297.1	KAI3438385.1
OG0003975	PRW59136.1	KAI3438541.1
OG0003976	PRW58725.1	KAI3438544.1
OG0003978	PRW57356.1	KAI3438389.1
OG0003979	PRW57081.1	KAI3438390.1
OG0003980	PRW58832.1	KAI3438506.1
OG0003981	PRW59333.1	KAI3438519.1
OG0003982	PRW59133.1	KAI3438522.1
OG0003983	PRW59098.1	KAI3438516.1
OG0003984	PRW58785.1	KAI3438508.1
OG0003985	PRW58871.1	KAI3438439.1
OG0003986	PRW58846.1	KAI3424449.1
OG0003987	PRW58805.1	KAI3436856.1
OG0003988	PRW58849.1	KAI3438432.1
OG0003989	PRW59208.1	KAI3438525.1
OG0003990	PRW59176.1	KAI3438960.1, KAI3423022.1
OG0003991	PRW57480.1	KAI3438341.1
OG0003992	PRW57325.1	KAI3438340.1
OG0003993	PRW57266.1	KAI3438380.1
OG0003994	PRW56240.1	KAI3436417.1
OG0003995	PRW58972.1	KAI3438531.1
OG0003996	PRW59313.1	KAI3438528.1
OG0003997	PRW56894.1	KAI3438372.1
OG0003998	PRW33539.1	KAI3425200.1
OG0003999	PRW44281.1	KAI3428643.1
OG0004000	PRW44613.1	KAI3428642.1
OG0004001	PRW45652.1	KAI3425100.1
OG0004002	PRW57180.1	KAI3438232.1
OG0004003	PRW58902.1	KAI3438851.1, KAI3428635.1
OG0004004	PRW57382.1	KAI3438263.1
OG0004005	PRW57397.1	KAI3438260.1
OG0004006	PRW57476.1	KAI3438249.1
OG0004007	PRW57153.1	KAI3438259.1
OG0004008	PRW57295.1	KAI3438247.1
OG0004009	PRW57262.1	KAI3438243.1
OG0004010	PRW44280.1	KAI3428621.1
OG0004011	PRW44528.1	KAI3428623.1
OG0004012	PRW44364.1	KAI3428625.1
OG0004013	PRW56919.1	KAI3438238.1
OG0004014	PRW44461.1	KAI3428461.1
OG0004015	PRW44379.1	KAI3428617.1
OG0004016	PRW21140.1	KAI3430745.1
OG0004017	PRW44325.1	KAI3428607.1
OG0004018	PRW58572.1, PRW58571.1	KAI3427183.1
OG0004019	PRW44359.1	KAI3428601.1
OG0004020	PRW44626.1	KAI3428593.1
OG0004021	PRW44596.1	KAI3428503.1
OG0004022	PRW44307.1	KAI3428504.1
OG0004023	PRW44509.1	KAI3428509.1
OG0004024	PRW44560.1	KAI3428457.1
OG0004025	PRW44327.1	KAI3428481.1
OG0004026	PRW44302.1	KAI3428498.1
OG0004027	PRW44301.1	KAI3428497.1
OG0004028	PRW44558.1	KAI3428452.1
OG0004029	PRW21120.1	KAI3434741.1
OG0004030	PRW44426.1	KAI3428575.1
OG0004031	PRW44395.1	KAI3428542.1
OG0004032	PRW56622.1	KAI3428236.1
OG0004033	PRW44606.1	KAI3428435.1
OG0004034	PRW44321.1	KAI3428438.1
OG0004035	PRW44440.1	KAI3428443.1
OG0004036	PRW61491.1	KAI3432625.1
OG0004037	PRW44564.1	KAI3428440.1
OG0004038	PRW44376.1	KAI3428442.1
OG0004039	PRW44322.1	KAI3428420.1
OG0004040	PRW44357.1	KAI3428425.1
OG0004041	PRW44388.1	KAI3428491.1
OG0004042	PRW44422.1	KAI3428492.1
OG0004043	PRW44543.1	KAI3428477.1
OG0004044	PRW44587.1	KAI3428565.1
OG0004045	PRW44381.1	KAI3428587.1
OG0004046	PRW44592.1	KAI3428613.1
OG0004047	PRW61368.1	KAI3438265.1
OG0004048	PRW44618.1	KAI3428619.1
OG0004049	PRW20995.1	KAI3430806.1
OG0004050	PRW45666.1	KAI3424817.1
OG0004051	PRW44537.1	KAI3428581.1
OG0004052	PRW45216.1	KAI3426106.1
OG0004053	PRW44467.1	KAI3428444.1
OG0004054	PRW44258.1	KAI3428445.1
OG0004055	PRW44428.1	KAI3428562.1
OG0004056	PRW50932.1	KAI3426975.1
OG0004057	PRW05877.1	KAI3428822.1
OG0004058	PRW56916.1	KAI3438171.1
OG0004059	PRW61433.1	KAI3431557.1
OG0004060	PRW44515.1	KAI3428556.1
OG0004061	PRW44567.1	KAI3428555.1
OG0004062	PRW44310.1	KAI3428535.1
OG0004063	PRW44504.1	KAI3428540.1
OG0004064	PRW44492.1	KAI3428529.1, KAI3428528.1
OG0004065	PRW60250.1	KAI3429468.1
OG0004066	PRW44526.1, PRW44527.1	KAI3428519.1
OG0004067	PRW44549.1	KAI3428518.1
OG0004068	PRW44393.1	KAI3428516.1
OG0004069	PRW44333.1	KAI3428517.1
OG0004070	PRW44491.1	KAI3428594.1
OG0004071	PRW45637.1	KAI3424797.1
OG0004072	PRW44402.1	KAI3428658.1
OG0004073	PRW44488.1	KAI3428433.1
OG0004074	PRW58945.1	KAI3439021.1
OG0004075	PRW58867.1	KAI3439022.1
OG0004076	PRW59126.1, PRW59127.1	KAI3439103.1
OG0004077	PRW59389.1	KAI3439095.1
OG0004078	PRW58898.1	KAI3439086.1
OG0004079	PRW58993.1	KAI3439046.1
OG0004080	PRW60054.1	KAI3436320.1
OG0004081	PRW32583.1	KAI3423891.1
OG0004082	PRW44616.1	KAI3428656.1
OG0004084	PRW56703.1	KAI3428285.1
OG0004085	PRW45374.1	KAI3424722.1
OG0004086	PRW20623.1	KAI3434464.1
OG0004087	PRW45009.1	KAI3434478.1
OG0004088	PRW20739.1	KAI3434463.1
OG0004089	PRW57312.1	KAI3438190.1
OG0004090	PRW45222.1	KAI3426207.1
OG0004091	PRW20681.1	KAI3431517.1
