Orthogroup	c_sorokiniana_genome_proteins	m_conductrix_genome_proteins
OG0002963	PRW20907.1	PSC69531.1
OG0002964	PRW20933.1	PSC69561.1
OG0002965	PRW57047.1	PSC69456.1
OG0002966	PRW57032.1	PSC69446.1
OG0002967	PRW57279.1	PSC69478.1
OG0002968	PRW57469.1	PSC72246.1
OG0002969	PRW57092.1	PSC69462.1
OG0002970	PRW20819.1	PSC74940.1
OG0002971	PRW20815.1	PSC74989.1
OG0002972	PRW20804.1	PSC76166.1
OG0002973	PRW20780.1	PSC74827.1
OG0002974	PRW20874.1	PSC75018.1
OG0002975	PRW20450.1	PSC74810.1
OG0002976	PRW20878.1	PSC74835.1
OG0002977	PRW57078.1	PSC70789.1
OG0002978	PRW57302.1	PSC70802.1
OG0002979	PRW57411.1	PSC70807.1
OG0002980	PRW56609.1	PSC69759.1
OG0002981	PRW56691.1	PSC69747.1
OG0002982	PRW56666.1	PSC69746.1
OG0002983	PRW56412.1	PSC69791.1
OG0002984	PRW56826.1	PSC69788.1
OG0002986	PRW56699.1	PSC69827.1
OG0002987	PRW56720.1	PSC69797.1
OG0002988	PRW56557.1	PSC69751.1
OG0002989	PRW56648.1	PSC69778.1
OG0002990	PRW56834.1	PSC69780.1
OG0002991	PRW56604.1	PSC69740.1
OG0002992	PRW56855.1	PSC69792.1
OG0002993	PRW56426.1	PSC69786.1
OG0002994	PRW59378.1	PSC69715.1
OG0002996	PRW05866.1	PSC69824.1
OG0002997	PRW05833.1	PSC69789.1
OG0002998	PRW05818.1	PSC75264.1
OG0002999	PRW05811.1	PSC75654.1
OG0003000	PRW05827.1	PSC75683.1
OG0003001	PRW05857.1	PSC75899.1
OG0003002	PRW05839.1	PSC75241.1
OG0003003	PRW05844.1	PSC75829.1
OG0003004	PRW33608.1, PRW45424.1	PSC68950.1
OG0003005	PRW05865.1	PSC69750.1
OG0003006	PRW05875.1	PSC75779.1
OG0003007	PRW05813.1	PSC75749.1
OG0003008	PRW05841.1	PSC75943.1
OG0003009	PRW05842.1	PSC75605.1
OG0003010	PRW05816.1	PSC75761.1
OG0003011	PRW05863.1	PSC75859.1
OG0003012	PRW56800.1	PSC72390.1
OG0003013	PRW56721.1	PSC72511.1
OG0003014	PRW45694.1	PSC68574.1
OG0003015	PRW45346.1	PSC73843.1
OG0003016	PRW61385.1	PSC67280.1
OG0003017	PRW56633.1	PSC72582.1
OG0003018	PRW56430.1	PSC72428.1
OG0003019	PRW56686.1	PSC72420.1
OG0003020	PRW56838.1	PSC72563.1
OG0003021	PRW56529.1	PSC72514.1
OG0003022	PRW56755.1	PSC72641.1
OG0003023	PRW56534.1	PSC72701.1
OG0003024	PRW56435.1	PSC72906.1
OG0003025	PRW56523.1	PSC72902.1
OG0003026	PRW45387.1	PSC73799.1
OG0003027	PRW56475.1	PSC71471.1
OG0003028	PRW56663.1	PSC71537.1
OG0003029	PRW05854.1	PSC75340.1
OG0003030	PRW56547.1	PSC68130.1
OG0003031	PRW05873.1	PSC75519.1
OG0003032	PRW05817.1	PSC75680.1
OG0003033	PRW05834.1	PSC75422.1
OG0003034	PRW56407.1	PSC72409.1
OG0003035	PRW56601.1	PSC72523.1
OG0003036	PRW56687.1	PSC72709.1
OG0003037	PRW56626.1	PSC71593.1
OG0003038	PRW56536.1	PSC72904.1
OG0003039	PRW56629.1	PSC71665.1
OG0003040	PRW56570.1	PSC71587.1
OG0003041	PRW56727.1	PSC71638.1
OG0003042	PRW56502.1	PSC71633.1
OG0003043	PRW56886.1	PSC71553.1
OG0003044	PRW56619.1	PSC71466.1
OG0003045	PRW56841.1	PSC71546.1
OG0003046	PRW56404.1	PSC72914.1
OG0003047	PRW56833.1	PSC72667.1
OG0003048	PRW56519.1	PSC72797.1
OG0003049	PRW56556.1	PSC72898.1
OG0003050	PRW56676.1	PSC72831.1
OG0003051	PRW56515.1	PSC72793.1
OG0003052	PRW56786.1	PSC71522.1
OG0003053	PRW56652.1	PSC71478.1
OG0003054	PRW56889.1	PSC71517.1
OG0003055	PRW56790.1	PSC71452.1
OG0003056	PRW56396.1	PSC72790.1
OG0003057	PRW56588.1	PSC72778.1
OG0003058	PRW44465.1	PSC75631.1
OG0003059	PRW56726.1	PSC71512.1
OG0003060	PRW56504.1	PSC72499.1
OG0003061	PRW61261.1	PSC73276.1
OG0003062	PRW56414.1	PSC72444.1
OG0003063	PRW56661.1	PSC72421.1
OG0003064	PRW56494.1	PSC72564.1
OG0003065	PRW56874.1	PSC72493.1
OG0003066	PRW56830.1	PSC72504.1
OG0003067	PRW57305.1	PSC72293.1
OG0003068	PRW57415.1	PSC72106.1
OG0003069	PRW57253.1	PSC72278.1
OG0003070	PRW60557.1	PSC68442.1
OG0003071	PRW57289.1	PSC72261.1
OG0003072	PRW57265.1	PSC72264.1
OG0003073	PRW57521.1	PSC72163.1
OG0003074	PRW57278.1	PSC72299.1
OG0003075	PRW57156.1	PSC72286.1
OG0003076	PRW57117.1	PSC72220.1
OG0003077	PRW57059.1	PSC72242.1
OG0003078	PRW57199.1	PSC72164.1
OG0003079	PRW57537.1	PSC72213.1
OG0003080	PRW56899.1	PSC72178.1
OG0003081	PRW57023.1	PSC72057.1
OG0003082	PRW56987.1	PSC72139.1
OG0003083	PRW56901.1	PSC72118.1
OG0003084	PRW57123.1	PSC72302.1
OG0003085	PRW57365.1	PSC72238.1
OG0003086	PRW56967.1	PSC72300.1
OG0003087	PRW56962.1	PSC72276.1
OG0003088	PRW57443.1	PSC72309.1
OG0003089	PRW57076.1	PSC72172.1
OG0003090	PRW57259.1	PSC72091.1, PSC72092.1
OG0003091	PRW57261.1	PSC72274.1, PSC72275.1
OG0003092	PRW57420.1	PSC72235.1
OG0003093	PRW57366.1	PSC72240.1
OG0003094	PRW57475.1	PSC72204.1
OG0003095	PRW57042.1	PSC72231.1
OG0003096	PRW57233.1	PSC71160.1
OG0003097	PRW57149.1	PSC71049.1
OG0003098	PRW57290.1	PSC71069.1
OG0003099	PRW56943.1	PSC72097.1
OG0003100	PRW57351.1	PSC72194.1
OG0003101	PRW57040.1	PSC72085.1
OG0003102	PRW57502.1	PSC72228.1
OG0003103	PRW56903.1	PSC72237.1
OG0003104	PRW57493.1	PSC72291.1
OG0003105	PRW57497.1	PSC72155.1
OG0003106	PRW57178.1	PSC72062.1
OG0003107	PRW57409.1	PSC72253.1
OG0003108	PRW57352.1	PSC72094.1
OG0003109	PRW56996.1	PSC72070.1
OG0003110	PRW57229.1	PSC72064.1
OG0003111	PRW57369.1	PSC72219.1
OG0003112	PRW57168.1	PSC72144.1
OG0003113	PRW57513.1	PSC72065.1
OG0003114	PRW57283.1	PSC72211.1
OG0003117	PRW45575.1	PSC73685.1
OG0003119	PRW45653.1	PSC68189.1
OG0003120	PRW45409.1	PSC67326.1
OG0003121	PRW33311.1	PSC69251.1
OG0003122	PRW45570.1	PSC67324.1
OG0003123	PRW45521.1	PSC67330.1
OG0003124	PRW45560.1	PSC68611.1
OG0003125	PRW45412.1	PSC68636.1
OG0003126	PRW61436.1	PSC73465.1
OG0003127	PRW45588.1	PSC68593.1
OG0003128	PRW45419.1	PSC68651.1
OG0003129	PRW45428.1	PSC68592.1
OG0003130	PRW56896.1	PSC72239.1
OG0003131	PRW45717.1	PSC68607.1
OG0003132	PRW45733.1	PSC68565.1
OG0003133	PRW45544.1	PSC68633.1
OG0003134	PRW57202.1	PSC72241.1
OG0003135	PRW59063.1	PSC75279.1
OG0003137	PRW58901.1	PSC76053.1
OG0003139	PRW45557.1	PSC68932.1
OG0003140	PRW45401.1	PSC68940.1
OG0003141	PRW45695.1	PSC68981.1
OG0003142	PRW45646.1	PSC68966.1
OG0003143	PRW60993.1	PSC73327.1
OG0003144	PRW45380.1	PSC68215.1
OG0003145	PRW57263.1	PSC72131.1
OG0003146	PRW32581.1	PSC75625.1
OG0003147	PRW45462.1	PSC68227.1
OG0003148	PRW45621.1	PSC68206.1
OG0003149	PRW05765.1	PSC67612.1
OG0003150	PRW05788.1	PSC67627.1
OG0003151	PRW05779.1	PSC67639.1
OG0003152	PRW05786.1	PSC67613.1
OG0003153	PRW05764.1	PSC67617.1
OG0003154	PRW05766.1	PSC67635.1
OG0003155	PRW39074.1	PSC71943.1
OG0003156	PRW39298.1	PSC71930.1
OG0003157	PRW39109.1	PSC72029.1
OG0003158	PRW39344.1	PSC72040.1
OG0003159	PRW39256.1	PSC71851.1
OG0003160	PRW39241.1	PSC72039.1
OG0003161	PRW39184.1	PSC71863.1
OG0003162	PRW39185.1	PSC71886.1
OG0003163	PRW39220.1	PSC71911.1
OG0003164	PRW39127.1	PSC67857.1
OG0003165	PRW39237.1	PSC71906.1, PSC71907.1
OG0003166	PRW05797.1	PSC67625.1
OG0003167	PRW05808.1	PSC67616.1
OG0003168	PRW44615.1	PSC75728.1
OG0003169	PRW57061.1	PSC71056.1
OG0003170	PRW05754.1	PSC69226.1
OG0003171	PRW05768.1	PSC67622.1
OG0003172	PRW39355.1	PSC71985.1
OG0003173	PRW05767.1	PSC67611.1
OG0003174	PRW45719.1	PSC73666.1
OG0003175	PRW05776.1	PSC71979.1
OG0003176	PRW56711.1	PSC69818.1
OG0003177	PRW45627.1	PSC68237.1
OG0003179	PRW05782.1	PSC72033.1
OG0003180	PRW05784.1	PSC71941.1
OG0003182	PRW05758.1	PSC71961.1
OG0003183	PRW39136.1	PSC71995.1
OG0003184	PRW39342.1	PSC71876.1
OG0003185	PRW39293.1	PSC71925.1
OG0003186	PRW39238.1	PSC72006.1
OG0003187	PRW39176.1	PSC71853.1
OG0003188	PRW33537.1	PSC72311.1
OG0003189	PRW39235.1	PSC71862.1
OG0003190	PRW39323.1	PSC72021.1
OG0003191	PRW39212.1	PSC71969.1
OG0003192	PRW39153.1	PSC71996.1
OG0003193	PRW39373.1	PSC71999.1
OG0003194	PRW39218.1	PSC71924.1
OG0003195	PRW39325.1	PSC72026.1
OG0003196	PRW39239.1	PSC71978.1
OG0003197	PRW39174.1	PSC72004.1
OG0003198	PRW60909.1	PSC73489.1
OG0003199	PRW39372.1	PSC71974.1
OG0003200	PRW39058.1	PSC71879.1
OG0003201	PRW39156.1	PSC72022.1
OG0003202	PRW39273.1	PSC72028.1
OG0003203	PRW39320.1	PSC72019.1
OG0003204	PRW39175.1	PSC71971.1
OG0003205	PRW39102.1	PSC71955.1
OG0003206	PRW57272.1	PSC72177.1
OG0003207	PRW39233.1	PSC71949.1
OG0003209	PRW39159.1	PSC71923.1
OG0003210	PRW60773.1	PSC74055.1
OG0003211	PRW39096.1	PSC71957.1
OG0003212	PRW39080.1	PSC72025.1
OG0003213	PRW39244.1	PSC71901.1
OG0003214	PRW39116.1	PSC72041.1
OG0003215	PRW39253.1	PSC71945.1
OG0003216	PRW39140.1	PSC67592.1
OG0003218	PRW20728.1	PSC67481.1
OG0003219	PRW39267.1	PSC67669.1
OG0003220	PRW39206.1	PSC67665.1, PSC67664.1
OG0003221	PRW39352.1	PSC67642.1
OG0003222	PRW39165.1	PSC67878.1
OG0003223	PRW39057.1	PSC67663.1
OG0003224	PRW39221.1	PSC67852.1
OG0003225	PRW39138.1	PSC67831.1
OG0003226	PRW39326.1	PSC67836.1
OG0003227	PRW39396.1	PSC67872.1
OG0003228	PRW39209.1	PSC67844.1
OG0003229	PRW39205.1	PSC67583.1
OG0003230	PRW39124.1	PSC67853.1
OG0003231	PRW39306.1	PSC73595.1
OG0003232	PRW39263.1	PSC73346.1
OG0003233	PRW39305.1	PSC67672.1
OG0003234	PRW39382.1	PSC67686.1
OG0003235	PRW39123.1	PSC67678.1
OG0003236	PRW39092.1	PSC67685.1
OG0003237	PRW57694.1	PSC73161.1
OG0003238	PRW39130.1	PSC67646.1
OG0003239	PRW39294.1	PSC67176.1
OG0003240	PRW39246.1	PSC67654.1
OG0003241	PRW39188.1	PSC67175.1
OG0003242	PRW39309.1	PSC67648.1
OG0003243	PRW39112.1	PSC67651.1
OG0003244	PRW39225.1	PSC67262.1
OG0003245	PRW39251.1	PSC67253.1
OG0003246	PRW39378.1	PSC67263.1
OG0003247	PRW20998.1	PSC71701.1
OG0003248	PRW57509.1	PSC72061.1
OG0003249	PRW61211.1	PSC70559.1
OG0003250	PRW57383.1	PSC72248.1
OG0003251	PRW61618.1	PSC70634.1
OG0003252	PRW44475.1	PSC75611.1
OG0003253	PRW60984.1	PSC74027.1
OG0003255	PRW60963.1	PSC70510.1
OG0003256	PRW58870.1	PSC76390.1
OG0003258	PRW61264.1	PSC74348.1
OG0003259	PRW61052.1	PSC74109.1
OG0003260	PRW61414.1	PSC70621.1
OG0003261	PRW60958.1	PSC70521.1
OG0003262	PRW61101.1	PSC70645.1
OG0003263	PRW61122.1	PSC70492.1
OG0003264	PRW56659.1	PSC72426.1
OG0003265	PRW57110.1	PSC72226.1
OG0003266	PRW61313.1	PSC73978.1
OG0003267	PRW61001.1	PSC74119.1
OG0003268	PRW61011.1	PSC74042.1
OG0003269	PRW44584.1	PSC75556.1
OG0003270	PRW61157.1	PSC74163.1
OG0003271	PRW61073.1	PSC70539.1
OG0003272	PRW44368.1	PSC75398.1
OG0003273	PRW44323.1	PSC75812.1
OG0003274	PRW44594.1	PSC75807.1
OG0003275	PRW44450.1	PSC75312.1
OG0003276	PRW44423.1	PSC75822.1
OG0003277	PRW44303.1	PSC75956.1
OG0003278	PRW44555.1	PSC75268.1
OG0003279	PRW44267.1	PSC75975.1
OG0003280	PRW44545.1	PSC75988.1
OG0003281	PRW44460.1	PSC75865.1
OG0003282	PRW44429.1	PSC75544.1
OG0003283	PRW05810.1	PSC75594.1
OG0003284	PRW05831.1	PSC75607.1
OG0003285	PRW56470.1	PSC69769.1
OG0003286	PRW56513.1	PSC69752.1
OG0003287	PRW56563.1	PSC69737.1
OG0003288	PRW56656.1	PSC69727.1
OG0003289	PRW56595.1	PSC68089.1
OG0003290	PRW56544.1	PSC71594.1
OG0003291	PRW56747.1	PSC71565.1
OG0003292	PRW56441.1	PSC71547.1
OG0003293	PRW56428.1	PSC68080.1
OG0003294	PRW56612.1	PSC68118.1
OG0003295	PRW56847.1	PSC68116.1
OG0003296	PRW56410.1	PSC68085.1
OG0003297	PRW56630.1	PSC68107.1
OG0003298	PRW56403.1	PSC68131.1
OG0003299	PRW56845.1	PSC69823.1
OG0003300	PRW56657.1	PSC69739.1
OG0003301	PRW56671.1	PSC69776.1
OG0003302	PRW56306.1	PSC72908.1
OG0003303	PRW56197.1	PSC72731.1
OG0003304	PRW33760.1	PSC70289.1
OG0003305	PRW56452.1	PSC71386.1
OG0003306	PRW61097.1	PSC70618.1
OG0003307	PRW56128.1	PSC72767.1
OG0003308	PRW56204.1	PSC72619.1
OG0003309	PRW56135.1	PSC72697.1
OG0003310	PRW56344.1	PSC72756.1
OG0003311	PRW55902.1	PSC71536.1
OG0003312	PRW56178.1	PSC71543.1
OG0003313	PRW55975.1	PSC71557.1
OG0003314	PRW56176.1	PSC72675.1
OG0003315	PRW56257.1	PSC72642.1
OG0003317	PRW56129.1	PSC72761.1
OG0003318	PRW56312.1	PSC71611.1
OG0003319	PRW56105.1	PSC71607.1
OG0003320	PRW56114.1	PSC71572.1
OG0003321	PRW44624.1	PSC70885.1
OG0003322	PRW55968.1	PSC72654.1
OG0003323	PRW56009.1	PSC72716.1
OG0003324	PRW56118.1	PSC72652.1
OG0003325	PRW56252.1	PSC72783.1
OG0003326	PRW56126.1	PSC72677.1
OG0003327	PRW56064.1	PSC72869.1
OG0003328	PRW56086.1	PSC72887.1
OG0003329	PRW56172.1	PSC69028.1
OG0003330	PRW56205.1	PSC69033.1
OG0003331	PRW56139.1	PSC72780.1
OG0003332	PRW57360.1	PSC72137.1
OG0003333	PRW45470.1	PSC73932.1
OG0003334	PRW56016.1	PSC72717.1
OG0003335	PRW56327.1	PSC72776.1
OG0003336	PRW56031.1	PSC72779.1
OG0003337	PRW55953.1	PSC72699.1
OG0003338	PRW56297.1	PSC72706.1
OG0003339	PRW56097.1	PSC72782.1
OG0003340	PRW56157.1	PSC72823.1
OG0003341	PRW56115.1	PSC72602.1
OG0003342	PRW56100.1	PSC69082.1
OG0003343	PRW56113.1	PSC69021.1
OG0003344	PRW55987.1	PSC69017.1
OG0003345	PRW56309.1	PSC72722.1
OG0003347	PRW56030.1	PSC69066.1
OG0003348	PRW55928.1	PSC71641.1
OG0003350	PRW55925.1	PSC71619.1
OG0003352	PRW55949.1	PSC72883.1
OG0003353	PRW55895.1	PSC72785.1
OG0003354	PRW56304.1	PSC72698.1
OG0003355	PRW56036.1	PSC72777.1
OG0003356	PRW55958.1	PSC72689.1
OG0003357	PRW56061.1	PSC72813.1
OG0003358	PRW56060.1	PSC72899.1
OG0003359	PRW55930.1	PSC72877.1
OG0003360	PRW56059.1	PSC72700.1
OG0003361	PRW56354.1, PRW56353.1	PSC72885.1
OG0003362	PRW56074.1	PSC72884.1
OG0003363	PRW58126.1	PSC70674.1, PSC76505.1
OG0003364	PRW45440.1	PSC73554.1
OG0003366	PRW55988.1	PSC69023.1
OG0003367	PRW20518.1	PSC70221.1
OG0003368	PRW56156.1	PSC69044.1
OG0003369	PRW56222.1	PSC72911.1
OG0003370	PRW55917.1	PSC72612.1
OG0003371	PRW61468.1, PRW61467.1	PSC73292.1
OG0003372	PRW56233.1	PSC69054.1
OG0003373	PRW60640.1	PSC75770.1
OG0003374	PRW56111.1	PSC69046.1
OG0003375	PRW55982.1	PSC69083.1
OG0003376	PRW56266.1	PSC69062.1
OG0003377	PRW56341.1	PSC69034.1
OG0003378	PRW56026.1	PSC68992.1
OG0003379	PRW56285.1	PSC69071.1
OG0003380	PRW56340.1	PSC69006.1
OG0003381	PRW55981.1	PSC71599.1
OG0003382	PRW55997.1	PSC71468.1
OG0003383	PRW58875.1	PSC67921.1
OG0003384	PRW56062.1	PSC72758.1
OG0003385	PRW55961.1	PSC72895.1
OG0003386	PRW05826.1	PSC75390.1
OG0003387	PRW56333.1	PSC72862.1
OG0003389	PRW56227.1	PSC72671.1
OG0003390	PRW55921.1	PSC72712.1
OG0003391	PRW44431.1	PSC75311.1
OG0003392	PRW61000.1	PSC73362.1
OG0003393	PRW50853.1	PSC68949.1
OG0003394	PRW45526.1	PSC73707.1
OG0003395	PRW18413.1	PSC76073.1
OG0003396	PRW44434.1	PSC75597.1
OG0003397	PRW56325.1	PSC71455.1
OG0003398	PRW56018.1	PSC71555.1
OG0003399	PRW55887.1	PSC71637.1
OG0003400	PRW56101.1	PSC71621.1
OG0003401	PRW56268.1	PSC71502.1
OG0003402	PRW56131.1	PSC69004.1
OG0003403	PRW56182.1	PSC71534.1
OG0003404	PRW56167.1	PSC71656.1
OG0003405	PRW55908.1	PSC71491.1
OG0003406	PRW20944.1	PSC76221.1
OG0003407	PRW56337.1	PSC75265.1, PSC69060.1, PSC69059.1
OG0003408	PRW56020.1	PSC69032.1
OG0003409	PRW55986.1	PSC69030.1
OG0003410	PRW56248.1	PSC68993.1
OG0003411	PRW56332.1	PSC69063.1
OG0003412	PRW56223.1	PSC69016.1
OG0003413	PRW55984.1	PSC69072.1
OG0003414	PRW56198.1	PSC69043.1
OG0003415	PRW56050.1	PSC69078.1
OG0003416	PRW56269.1	PSC69031.1
OG0003417	PRW21028.1	PSC71817.1
OG0003418	PRW55993.1	PSC69061.1
OG0003419	PRW58376.1	PSC68639.1
OG0003420	PRW56130.1	PSC69011.1
OG0003421	PRW59838.1	PSC68438.1
OG0003422	PRW33628.1	PSC75042.1
OG0003423	PRW33509.1	PSC74913.1
OG0003424	PRW33573.1	PSC67371.1
OG0003425	PRW33637.1	PSC75091.1
OG0003426	PRW60807.1	PSC73751.1
OG0003427	PRW33527.1	PSC75199.1
OG0003428	PRW33550.1	PSC74869.1
OG0003429	PRW33694.1	PSC67375.1
OG0003430	PRW33715.1	PSC67380.1
OG0003431	PRW33736.1	PSC67391.1
OG0003432	PRW33665.1	PSC69991.1
OG0003433	PRW33703.1	PSC74892.1
OG0003434	PRW33632.1	PSC70078.1
OG0003435	PRW33745.1	PSC70018.1
OG0003436	PRW33546.1	PSC70010.1
OG0003437	PRW33551.1	PSC70004.1
OG0003438	PRW33751.1	PSC70092.1
OG0003439	PRW33585.1	PSC69981.1, PSC70093.1
OG0003440	PRW33646.1	PSC70094.1
OG0003441	PRW33528.1	PSC70048.1
OG0003442	PRW33535.1	PSC75135.1
OG0003443	PRW33729.1	PSC75081.1
OG0003444	PRW33746.1	PSC75062.1
OG0003445	PRW33626.1	PSC75039.1
OG0003446	PRW60783.1	PSC74959.1
OG0003447	PRW60329.1	PSC75000.1
OG0003448	PRW60469.1	PSC75094.1
OG0003449	PRW60314.1	PSC74816.1
OG0003450	PRW60191.1	PSC74893.1
OG0003451	PRW60708.1	PSC74855.1
OG0003452	PRW60426.1	PSC68423.1
OG0003453	PRW60410.1	PSC68146.1
OG0003454	PRW60325.1	PSC68167.1
OG0003456	PRW60227.1	PSC67346.1
OG0003457	PRW59854.1	PSC69692.1
OG0003458	PRW57424.1	PSC72222.1
OG0003459	PRW60623.1	PSC74813.1
OG0003460	PRW60717.1	PSC68174.1
OG0003461	PRW60656.1	PSC68162.1
OG0003462	PRW60362.1	PSC67349.1
OG0003463	PRW60472.1	PSC67338.1
OG0003464	PRW60228.1	PSC67350.1
OG0003465	PRW60506.1	PSC74820.1
OG0003466	PRW60415.1	PSC75061.1
OG0003467	PRW60452.1	PSC75028.1
OG0003468	PRW60363.1	PSC75099.1
OG0003469	PRW60390.1	PSC74815.1
OG0003470	PRW60674.1	PSC74866.1
OG0003472	PRW05953.1	PSC68476.1
OG0003473	PRW60983.1	PSC67297.1
OG0003474	PRW60230.1	PSC74966.1
OG0003476	PRW60868.1	PSC74885.1
OG0003477	PRW60491.1	PSC75040.1
OG0003478	PRW60705.1	PSC75158.1
OG0003479	PRW60645.1	PSC75194.1
OG0003480	PRW60298.1	PSC75049.1
OG0003481	PRW32657.1	PSC76207.1
OG0003483	PRW60846.1	PSC75161.1
OG0003484	PRW60435.1	PSC75190.1
OG0003485	PRW60315.1	PSC74880.1
OG0003486	PRW60614.1	PSC74903.1
OG0003487	PRW60275.1	PSC75226.1
OG0003488	PRW60726.1	PSC74942.1
OG0003489	PRW60713.1	PSC74891.1
OG0003490	PRW60580.1	PSC74972.1
OG0003491	PRW60724.1	PSC74870.1
OG0003492	PRW60349.1	PSC68157.1
OG0003494	PRW60266.1	PSC68154.1
OG0003495	PRW56393.1	PSC72547.1
OG0003496	PRW57136.1	PSC72251.1
OG0003497	PRW60564.1	PSC74910.1
OG0003498	PRW60809.1	PSC75008.1
OG0003499	PRW60194.1	PSC74844.1
OG0003500	PRW60433.1	PSC75014.1
OG0003501	PRW60279.1	PSC75129.1
OG0003502	PRW60813.1	PSC74821.1
OG0003503	PRW60262.1	PSC75147.1
OG0003504	PRW60821.1	PSC74860.1
OG0003505	PRW05785.1	PSC71962.1
OG0003506	PRW57529.1	PSC72338.1
OG0003508	PRW44628.1	PSC75641.1
OG0003509	PRW60644.1	PSC68478.1
OG0003510	PRW60657.1	PSC68449.1
OG0003511	PRW60774.1	PSC68443.1
OG0003512	PRW60406.1	PSC68479.1
OG0003513	PRW60527.1	PSC68431.1
OG0003514	PRW60269.1	PSC68435.1
OG0003515	PRW56640.1	PSC69745.1
OG0003516	PRW44939.1	PSC70305.1
OG0003517	PRW60420.1	PSC68407.1
OG0003519	PRW60208.1	PSC68486.1
OG0003520	PRW60264.1	PSC68408.1
OG0003521	PRW60294.1	PSC67342.1
OG0003522	PRW60369.1	PSC67344.1
OG0003523	PRW44430.1	PSC75584.1
OG0003525	PRW60675.1	PSC74905.1
OG0003526	PRW60488.1	PSC75029.1
OG0003527	PRW60318.1	PSC74879.1
OG0003528	PRW60493.1	PSC75167.1
OG0003529	PRW60512.1	PSC74993.1
OG0003530	PRW60276.1	PSC69390.1
OG0003531	PRW60676.1	PSC69324.1
OG0003532	PRW60825.1	PSC74980.1
OG0003533	PRW60543.1	PSC68158.1
OG0003534	PRW60837.1	PSC68147.1
OG0003535	PRW60636.1	PSC68151.1
OG0003537	PRW59453.1	PSC71344.1
OG0003538	PRW20167.1	PSC70700.1
OG0003539	PRW60784.1	PSC74953.1
OG0003540	PRW59746.1	PSC69690.1
OG0003541	PRW60819.1	PSC74814.1
OG0003542	PRW60586.1	PSC69429.1
OG0003543	PRW33561.1	PSC73347.1
OG0003544	PRW60316.1	PSC68148.1
OG0003545	PRW59254.1	PSC75645.1
OG0003546	PRW60702.1	PSC74135.1
OG0003547	PRW60291.1	PSC74194.1
OG0003548	PRW60607.1	PSC73997.1
OG0003549	PRW60254.1	PSC74295.1
OG0003550	PRW44349.1	PSC75479.1
OG0003551	PRW60394.1	PSC75073.1
OG0003552	PRW60740.1	PSC74970.1
OG0003553	PRW60322.1	PSC75074.1
OG0003554	PRW60304.1	PSC74853.1
OG0003555	PRW60588.1	PSC74957.1
OG0003556	PRW61083.1	PSC73283.1
OG0003557	PRW61310.1	PSC73382.1
OG0003558	PRW61476.1	PSC75230.1
OG0003559	PRW60872.1	PSC70491.1
OG0003560	PRW61271.1	PSC73297.1
OG0003561	PRW61547.1	PSC70632.1
OG0003562	PRW20526.1, PRW20525.1	PSC70059.1
OG0003563	PRW61497.1	PSC70649.1
OG0003564	PRW45501.1	PSC73731.1
OG0003565	PRW61263.1	PSC70630.1
OG0003566	PRW61207.1	PSC73254.1
OG0003567	PRW61272.1	PSC73328.1
OG0003568	PRW60927.1	PSC74689.1
OG0003569	PRW61420.1	PSC75219.1
OG0003570	PRW61028.1	PSC75075.1
OG0003571	PRW61378.1	PSC73466.1
OG0003572	PRW21040.1	PSC71747.1
OG0003573	PRW60985.1	PSC74452.1
OG0003574	PRW33965.1	PSC67428.1
OG0003575	PRW61067.1	PSC74302.1
OG0003576	PRW34048.1	PSC76168.1
OG0003577	PRW33958.1	PSC67438.1
OG0003578	PRW33809.1	PSC67420.1
OG0003579	PRW33828.1	PSC67427.1
OG0003580	PRW33889.1	PSC67449.1
OG0003581	PRW33970.1	PSC67444.1
OG0003582	PRW33940.1	PSC76990.1
OG0003583	PRW45706.1	PSC68605.1
OG0003584	PRW57863.1	PSC72998.1
OG0003585	PRW33540.1	PSC67377.1
OG0003586	PRW57595.1	PSC73183.1
OG0003587	PRW57901.1	PSC73040.1
OG0003588	PRW57743.1	PSC73036.1
OG0003589	PRW57799.1	PSC73026.1
OG0003590	PRW57573.1	PSC73137.1
OG0003591	PRW57867.1	PSC72970.1
OG0003592	PRW57770.1	PSC73022.1
OG0003593	PRW33944.1	PSC76512.1
OG0003594	PRW34015.1	PSC76991.1
OG0003595	PRW56447.1	PSC76282.1
OG0003596	PRW33848.1	PSC76228.1
OG0003597	PRW57062.1	PSC72312.1
OG0003598	PRW56970.1	PSC72250.1
OG0003599	PRW34077.1	PSC76737.1
OG0003600	PRW34094.1	PSC76652.1
OG0003602	PRW33934.1	PSC76066.1
OG0003603	PRW45571.1	PSC73611.1
OG0003604	PRW33797.1	PSC76974.1
OG0003605	PRW33937.1	PSC76074.1
OG0003606	PRW33821.1	PSC77070.1
OG0003607	PRW33912.1	PSC77003.1
OG0003608	PRW34101.1	PSC76609.1
OG0003610	PRW33874.1	PSC76987.1
OG0003611	PRW33817.1	PSC76034.1
OG0003612	PRW33903.1	PSC76876.1
OG0003613	PRW61507.1	PSC73339.1
OG0003614	PRW34032.1	PSC76382.1
OG0003616	PRW05855.1	PSC69784.1
OG0003617	PRW34044.1	PSC76393.1
OG0003618	PRW33967.1	PSC76995.1
OG0003619	PRW33935.1	PSC76391.1
OG0003620	PRW57886.1	PSC73015.1
OG0003621	PRW57910.1	PSC73090.1
OG0003622	PRW33758.1	PSC76095.1
OG0003623	PRW34086.1	PSC76577.1
