Orthogroup	oneline_c_variabilis_genome_proteins	oneline_A99_genome_proteins
OG0002656	XP_005849544.1	scaffold5.g1011.t1
OG0002657	XP_005849805.1	scaffold5.g1012.t1
OG0002658	XP_005844928.1	scaffold5.g1013.t1
OG0002659	XP_005849542.1	scaffold5.g1015.t1
OG0002660	XP_005848985.1	scaffold14.g1016.t1
OG0002661	XP_005850078.1, XP_005852312.1	scaffold14.g1020.t1
OG0002662	XP_005848777.1	scaffold14.g1021.t1
OG0002663	XP_005848778.1	scaffold14.g1026.t1
OG0002664	XP_005847664.1	scaffold14.g1031.t1
OG0002665	XP_005849014.1	scaffold14.g1033.t1
OG0002666	XP_005849001.1	scaffold14.g1037.t1
OG0002667	XP_005849000.1	scaffold14.g1039.t1
OG0002668	XP_005848784.1	scaffold14.g1040.t1
OG0002669	XP_005848981.1	scaffold14.g1044.t1
OG0002670	XP_005848768.1	scaffold14.g1046.t1
OG0002671	XP_005846858.1	scaffold14.g1047.t1
OG0002672	XP_005849006.1	scaffold14.g1054.t1
OG0002673	XP_005849007.1	scaffold14.g1058.t1
OG0002674	XP_005848792.1	scaffold14.g1059.t1
OG0002675	XP_005848771.1	scaffold14.g1060.t1
OG0002676	XP_005848758.1	scaffold14.g1064.t1
OG0002677	XP_005848763.1	scaffold14.g1065.t1
OG0002678	XP_005848976.1	scaffold14.g1066.t1
OG0002679	XP_005849008.1	scaffold14.g1068.t1
OG0002680	XP_005848788.1	scaffold14.g1069.t1
OG0002681	XP_005848760.1	scaffold14.g1076.t1
OG0002682	XP_005848752.1	scaffold14.g1086.t1
OG0002683	XP_005848957.1	scaffold14.g1087.t1
OG0002684	XP_005848749.1	scaffold14.g1088.t1
OG0002685	XP_005848955.1	scaffold14.g1089.t1
OG0002686	XP_005845433.1	scaffold14.g1090.t1, scaffold14.g1109.t1
OG0002687	XP_005848954.1	scaffold14.g1094.t1
OG0002689	XP_005848966.1	scaffold14.g1101.t1
OG0002690	XP_005848756.1	scaffold14.g1102.t1
OG0002691	XP_005848750.1	scaffold14.g1103.t1
OG0002692	XP_005848952.1	scaffold14.g1106.t1
OG0002693	XP_005848745.1	scaffold14.g1107.t1
OG0002694	XP_005844793.1	scaffold14.g1111.t1
OG0002695	XP_005848710.1	scaffold14.g1113.t1
OG0002696	XP_005846847.1	scaffold14.g1115.t1
OG0002697	XP_005848707.1	scaffold14.g1117.t1
OG0002698	XP_005849135.1	scaffold14.g1120.t1
OG0002699	XP_005848712.1	scaffold14.g1125.t1
OG0002700	XP_005848923.1	scaffold14.g1126.t1
OG0002701	XP_005848921.1	scaffold14.g1128.t1
OG0002702	XP_005848925.1	scaffold14.g1130.t1
OG0002703	XP_005848715.1	scaffold14.g1131.t1
OG0002704	XP_005849444.1, XP_005847163.1	scaffold14.g1133.t1
OG0002705	XP_005844171.1	scaffold14.g1138.t1
OG0002706	XP_005847503.1	scaffold14.g1140.t1
OG0002707	XP_005847401.1	scaffold14.g1142.t1
OG0002708	XP_005848716.1	scaffold14.g1144.t1
OG0002709	XP_005848723.1	scaffold14.g1149.t1
OG0002710	XP_005848932.1	scaffold14.g1157.t1
OG0002711	XP_005848931.1	scaffold14.g1159.t1
OG0002713	XP_005848730.1	scaffold14.g1165.t1
OG0002714	XP_005848736.1	scaffold14.g1169.t1
OG0002715	XP_005848737.1	scaffold14.g1171.t1
OG0002716	XP_005848943.1	scaffold14.g1176.t1
OG0002717	XP_005848947.1	scaffold14.g1181.t1
OG0002718	XP_005848735.1	scaffold14.g1185.t1
OG0002719	XP_005848672.1	scaffold14.g1188.t1
OG0002720	XP_005848671.1	scaffold14.g1191.t1
OG0002721	XP_005845713.1	scaffold14.g1194.t1
OG0002722	XP_005848872.1	scaffold14.g1195.t1
OG0002723	XP_005848898.1	scaffold14.g1197.t1
OG0002724	XP_005848743.1	scaffold14.g1201.t1
OG0002725	XP_005848687.1	scaffold14.g1207.t1
OG0002726	XP_005847036.1	scaffold14.g1208.t1
OG0002727	XP_005848885.1	scaffold14.g1216.t1
OG0002728	XP_005848679.1	scaffold14.g1220.t1
OG0002729	XP_005847023.1	scaffold14.g1225.t1
OG0002730	XP_005848685.1	scaffold14.g1228.t1
OG0002731	XP_005848035.1	scaffold14.g1231.t1
OG0002732	XP_005848667.1	scaffold14.g1235.t1
OG0002733	XP_005846681.1	scaffold14.g1236.t1
OG0002734	XP_005848682.1	scaffold14.g1238.t1
OG0002735	XP_005848889.1	scaffold14.g1239.t1
OG0002736	XP_005848888.1	scaffold14.g1240.t1
OG0002737	XP_005848681.1	scaffold14.g1241.t1
OG0002739	XP_005848705.1	scaffold14.g1253.t1
OG0002740	XP_005847410.1	scaffold14.g1256.t1
OG0002741	XP_005847399.1	scaffold14.g1257.t1
OG0002742	XP_005848693.1	scaffold14.g1261.t1
OG0002743	XP_005845038.1	scaffold14.g1262.t1
OG0002744	XP_005846848.1	scaffold14.g1264.t1
OG0002746	XP_005844550.1	scaffold12.g8152.t1
OG0002747	XP_005848851.1	scaffold14.g1276.t1
OG0002748	XP_005848643.1	scaffold14.g1280.t1
OG0002749	XP_005848644.1	scaffold14.g1281.t1
OG0002750	XP_005848846.1	scaffold14.g1290.t1
OG0002751	XP_005851833.1	scaffold14.g1297.t1
OG0002752	XP_005845185.1	scaffold14.g1307.t1
OG0002753	XP_005850605.1	scaffold8.g1441.t1, scaffold14.g1308.t1
OG0002754	XP_005843936.1	scaffold14.g1313.t1
OG0002755	XP_005848849.1	scaffold14.g1319.t1
OG0002756	XP_005848641.1	scaffold14.g1321.t1
OG0002758	XP_005848590.1	scaffold14.g1326.t1
OG0002759	XP_005848802.1	scaffold14.g1333.t1
OG0002760	XP_005846946.1	scaffold14.g1338.t1
OG0002761	XP_005848848.1	scaffold14.g1340.t1
OG0002762	XP_005848817.1	scaffold14.g1343.t1
OG0002763	XP_005848600.1	scaffold14.g1350.t1
OG0002764	XP_005848810.1	scaffold14.g1351.t1
OG0002765	XP_005850873.1	scaffold8.g1355.t1
OG0002766	XP_005850588.1	scaffold8.g1358.t1
OG0002767	XP_005850587.1	scaffold8.g1360.t1
OG0002768	XP_005850868.1	scaffold8.g1361.t1
OG0002769	XP_005850867.1	scaffold8.g1363.t1
OG0002771	XP_005850581.1	scaffold8.g1368.t1
OG0002772	XP_005850579.1	scaffold8.g1372.t1
OG0002773	XP_005850864.1	scaffold8.g1373.t1
OG0002774	XP_005850578.1	scaffold8.g1374.t1
OG0002775	XP_005850557.1	scaffold8.g1376.t1
OG0002776	XP_005850611.1	scaffold8.g1379.t1
OG0002777	XP_005850890.1	scaffold8.g1381.t1
OG0002778	XP_005850891.1	scaffold8.g1382.t1
OG0002779	XP_005850610.1, XP_005850609.1	scaffold8.g1383.t1
OG0002781	XP_005850612.1	scaffold8.g1385.t1
OG0002782	XP_005850894.1	scaffold8.g1386.t1
OG0002783	XP_005850595.1	scaffold8.g1387.t1
OG0002784	XP_005850878.1	scaffold8.g1389.t1
OG0002785	XP_005850875.1	scaffold8.g1390.t1
OG0002786	XP_005850591.1	scaffold8.g1394.t1
OG0002787	XP_005850917.1	scaffold8.g1395.t1
OG0002788	XP_005844269.1	scaffold8.g1396.t1
OG0002789	XP_005850633.1	scaffold8.g1399.t1
OG0002790	XP_005850636.1	scaffold8.g1402.t1
OG0002791	XP_005850852.1	scaffold8.g1405.t1
OG0002792	XP_005850560.1	scaffold8.g1407.t1
OG0002795	XP_005850576.1	scaffold8.g1415.t1
OG0002796	XP_005850600.1	scaffold8.g1420.t1
OG0002797	XP_005850882.1	scaffold8.g1421.t1
OG0002798	XP_005850598.1	scaffold8.g1423.t1
OG0002799	XP_005850880.1	scaffold8.g1425.t1
OG0002800	XP_005850884.1	scaffold8.g1430.t1
OG0002801	XP_005850601.1	scaffold8.g1431.t1
OG0002802	XP_005850885.1	scaffold8.g1432.t1
OG0002803	XP_005850602.1	scaffold8.g1435.t1
OG0002804	XP_005850604.1	scaffold8.g1438.t1
OG0002805	XP_005850606.1	scaffold8.g1442.t1
OG0002806	XP_005850547.1	scaffold8.g1446.t1
OG0002807	XP_005850548.1	scaffold8.g1451.t1
OG0002808	XP_005850551.1	scaffold8.g1454.t1
OG0002809	XP_005850839.1	scaffold8.g1456.t1
OG0002810	XP_005850550.1	scaffold8.g1457.t1
OG0002811	XP_005850549.1	scaffold8.g1460.t1
OG0002812	XP_005850836.1	scaffold8.g1461.t1
OG0002814	XP_005850556.1	scaffold8.g1465.t1
OG0002815	XP_005850848.1	scaffold8.g1466.t1
OG0002816	XP_005850683.1	scaffold8.g1468.t1
OG0002817	XP_005850685.1	scaffold8.g1469.t1
OG0002818	XP_005850970.1	scaffold8.g1470.t1
OG0002819	XP_005850913.1	scaffold8.g1471.t1
OG0002820	XP_005850916.1	scaffold8.g1472.t1
OG0002821	XP_005850826.1	scaffold8.g1474.t1
OG0002822	XP_005850531.1	scaffold8.g1477.t1
OG0002823	XP_005850824.1	scaffold8.g1479.t1
OG0002824	XP_005850526.1	scaffold8.g1480.t1
OG0002826	XP_005850821.1	scaffold8.g1485.t1
OG0002827	XP_005850511.1	scaffold8.g1486.t1
OG0002828	XP_005850819.1	scaffold8.g1489.t1
OG0002829	XP_005850522.1	scaffold8.g1492.t1
OG0002830	XP_005850820.1	scaffold8.g1493.t1
OG0002831	XP_005850523.1	scaffold8.g1494.t1
OG0002832	XP_005850514.1	scaffold8.g1497.t1
OG0002833	XP_005850812.1	scaffold8.g1498.t1
OG0002835	XP_005850515.1	scaffold8.g1500.t1
OG0002836	XP_005850814.1	scaffold8.g1501.t1
OG0002837	XP_005850516.1	scaffold8.g1502.t1
OG0002838	XP_005850815.1	scaffold8.g1503.t1
OG0002839	XP_005850817.1	scaffold8.g1504.t1
OG0002840	XP_005850517.1	scaffold8.g1506.t1
OG0002841	XP_005850809.1	scaffold8.g1509.t1
OG0002842	XP_005850806.1	scaffold8.g1513.t1
OG0002843	XP_005850507.1	scaffold8.g1514.t1
OG0002844	XP_005850510.1	scaffold8.g1515.t1
OG0002845	XP_005850508.1	scaffold8.g1517.t1
OG0002846	XP_005850805.1	scaffold8.g1519.t1
OG0002847	XP_005850504.1	scaffold8.g1522.t1
OG0002848	XP_005850797.1	scaffold8.g1523.t1
OG0002849	XP_005850497.1	scaffold8.g1524.t1
OG0002850	XP_005850798.1	scaffold8.g1525.t1
OG0002851	XP_005850501.1	scaffold8.g1531.t1
OG0002852	XP_005850802.1	scaffold8.g1533.t1
OG0002853	XP_005850502.1	scaffold8.g1534.t1
OG0002854	XP_005850803.1	scaffold8.g1535.t1
OG0002856	XP_005850774.1	scaffold8.g1537.t1
OG0002857	XP_005850476.1	scaffold8.g1538.t1
OG0002858	XP_005850778.1	scaffold8.g1539.t1
OG0002859	XP_005850477.1	scaffold8.g1542.t1
OG0002860	XP_005850779.1	scaffold8.g1543.t1
OG0002861	XP_005850478.1	scaffold8.g1544.t1
OG0002862	XP_005850479.1	scaffold8.g1546.t1
OG0002863	XP_005850780.1	scaffold8.g1547.t1
OG0002864	XP_005850482.1	scaffold8.g1548.t1
OG0002865	XP_005850484.1	scaffold8.g1550.t1
OG0002866	XP_005846398.1	scaffold8.g1552.t1
OG0002867	XP_005850784.1	scaffold8.g1554.t1
OG0002868	XP_005850485.1	scaffold8.g1555.t1
OG0002869	XP_005846556.1	scaffold8.g1557.t1
OG0002870	XP_005846397.1	scaffold8.g1558.t1
OG0002871	XP_005846387.1	scaffold8.g1559.t1
OG0002872	XP_005848798.1	scaffold8.g1560.t1
OG0002873	XP_005850487.1	scaffold8.g1562.t1
OG0002874	XP_005850794.1	scaffold8.g1564.t1
OG0002875	XP_005850493.1	scaffold8.g1567.t1
OG0002876	XP_005846649.1	scaffold8.g1573.t1
OG0002877	XP_005849533.1	scaffold8.g1576.t1
OG0002878	XP_005843956.1	scaffold8.g1578.t1
OG0002879	XP_005844461.1	scaffold8.g1579.t1
OG0002880	XP_005847228.1	scaffold8.g1585.t1
OG0002881	XP_005849764.1	scaffold8.g1586.t1
OG0002882	XP_005846607.1	scaffold8.g1587.t1
OG0002883	XP_005843893.1	scaffold8.g1591.t1
OG0002884	XP_005844334.1	scaffold8.g1595.t1
OG0002885	XP_005843229.1	scaffold8.g1598.t1
OG0002886	XP_005843897.1	scaffold8.g1599.t1
OG0002887	XP_005843859.1	scaffold8.g1601.t1
OG0002888	XP_005847579.1	scaffold8.g1602.t1
OG0002889	XP_005844775.1	scaffold8.g1610.t1
OG0002890	XP_005843944.1	scaffold8.g1612.t1
OG0002891	XP_005849905.1	scaffold8.g1614.t1
OG0002892	XP_005843866.1	scaffold8.g1616.t1
OG0002893	XP_005845223.1	scaffold8.g1625.t1
OG0002894	XP_005846404.1	scaffold8.g1631.t1
OG0002895	XP_005851830.1	scaffold8.g1640.t1
OG0002896	XP_005846626.1	scaffold8.g1643.t1
OG0002897	XP_005843951.1	scaffold8.g1650.t1
OG0002898	XP_005843955.1	scaffold8.g1652.t1
OG0002899	XP_005843911.1	scaffold8.g1663.t1
OG0002900	XP_005843870.1	scaffold8.g1665.t1
OG0002901	XP_005843950.1	scaffold8.g1666.t1
OG0002902	XP_005847523.1	scaffold8.g1669.t1
OG0002903	XP_005849365.1	scaffold8.g1673.t1
OG0002904	XP_005843974.1	scaffold8.g1682.t1
OG0002905	XP_005851566.1	scaffold8.g1688.t1
OG0002906	XP_005843915.1	scaffold8.g1689.t1, scaffold8.g1691.t1
OG0002907	XP_005847930.1	scaffold8.g1708.t1
OG0002909	XP_005843946.1	scaffold8.g1718.t1
OG0002910	XP_005843947.1	scaffold8.g1722.t1
OG0002912	XP_005848198.1	scaffold19.g1741.t1
OG0002913	XP_005848197.1	scaffold19.g1742.t1
OG0002914	XP_005844425.1	scaffold19.g1745.t1
OG0002915	XP_005847944.1	scaffold19.g1749.t1
OG0002916	XP_005848104.1	scaffold19.g1751.t1
OG0002917	XP_005848192.1	scaffold19.g1758.t1
OG0002918	XP_005848280.1	scaffold19.g1759.t1
OG0002919	XP_005848025.1	scaffold19.g1761.t1
OG0002920	XP_005845160.1	scaffold19.g1766.t1
OG0002921	XP_005848021.1	scaffold19.g1767.t1
OG0002922	XP_005848191.1	scaffold19.g1768.t1
OG0002923	XP_005848022.1	scaffold19.g1769.t1
OG0002924	XP_005847942.1	scaffold19.g1773.t1
OG0002925	XP_005848103.1	scaffold19.g1774.t1
OG0002926	XP_005847943.1	scaffold19.g1775.t1
OG0002927	XP_005847946.1	scaffold19.g1778.t1
OG0002928	XP_005845093.1	scaffold19.g1780.t1
OG0002929	XP_005848193.1	scaffold19.g1781.t1
OG0002930	XP_005844322.1	scaffold19.g1782.t1
OG0002931	XP_005848164.1	scaffold19.g1785.t1
OG0002932	XP_005847922.1	scaffold19.g1789.t1
OG0002933	XP_005847927.1	scaffold19.g1791.t1
OG0002934	XP_005843630.1	scaffold19.g1793.t1
OG0002935	XP_005848078.1	scaffold19.g1797.t1
OG0002937	XP_005848135.1	scaffold19.g1799.t1
OG0002938	XP_005847976.1	scaffold19.g1800.t1
OG0002939	XP_005848081.1	scaffold19.g1802.t1
OG0002940	XP_005848085.1	scaffold19.g1803.t1
OG0002941	XP_005847977.1	scaffold19.g1807.t1
OG0002942	XP_005847978.1	scaffold19.g1809.t1
OG0002943	XP_005848141.1	scaffold19.g1810.t1
OG0002944	XP_005847979.1	scaffold19.g1811.t1
OG0002945	XP_005848142.1	scaffold19.g1812.t1
OG0002946	XP_005848113.1	scaffold19.g1819.t1
OG0002947	XP_005847954.1	scaffold19.g1820.t1
OG0002949	XP_005848117.1	scaffold19.g1822.t1
OG0002950	XP_005847964.1	scaffold19.g1825.t1
OG0002951	XP_005848123.1	scaffold19.g1827.t1
OG0002952	XP_005847959.1	scaffold19.g1832.t1
OG0002953	XP_005848120.1	scaffold19.g1833.t1
OG0002954	XP_005848118.1	scaffold19.g1834.t1
OG0002955	XP_005847957.1	scaffold19.g1835.t1
OG0002956	XP_005848116.1	scaffold19.g1840.t1
OG0002957	XP_005848112.1	scaffold19.g1847.t1
OG0002958	XP_005847935.1	scaffold19.g1850.t1
OG0002959	XP_005848093.1	scaffold19.g1851.t1
OG0002960	XP_005848090.1	scaffold19.g1852.t1
OG0002961	XP_005847095.1	scaffold19.g1853.t1
OG0002962	XP_005847929.1	scaffold19.g1856.t1
OG0002963	XP_005848002.1	scaffold19.g1860.t1
OG0002964	XP_005848165.1	scaffold19.g1861.t1
OG0002965	XP_005848004.1	scaffold19.g1863.t1
OG0002966	XP_005848173.1	scaffold19.g1864.t1
OG0002967	XP_005848008.1	scaffold19.g1865.t1
OG0002968	XP_005846127.1	scaffold19.g1869.t1
OG0002969	XP_005848174.1	scaffold19.g1872.t1
OG0002970	XP_005848038.1	scaffold19.g1878.t1
OG0002971	XP_005847889.1	scaffold19.g1879.t1
OG0002972	XP_005848049.1	scaffold19.g1880.t1
OG0002973	XP_005850451.1	scaffold18.g1886.t1
OG0002974	XP_005850196.1	scaffold18.g1887.t1
OG0002975	XP_005850443.1	scaffold18.g1888.t1
OG0002976	XP_005850185.1	scaffold18.g1889.t1
OG0002977	XP_005850441.1	scaffold18.g1890.t1
OG0002978	XP_005850189.1	scaffold18.g1891.t1
OG0002979	XP_005850188.1	scaffold18.g1892.t1
OG0002980	XP_005850445.1	scaffold18.g1893.t1
OG0002981	XP_005850444.1	scaffold18.g1894.t1
OG0002982	XP_005850194.1	scaffold18.g1896.t1
OG0002983	XP_005850454.1	scaffold18.g1898.t1
OG0002984	XP_005850199.1	scaffold18.g1899.t1
OG0002985	XP_005850198.1	scaffold18.g1900.t1
OG0002986	XP_005850452.1	scaffold18.g1901.t1
OG0002987	XP_005850456.1	scaffold18.g1903.t1
OG0002988	XP_005850453.1	scaffold18.g1904.t1
OG0002989	XP_005850458.1	scaffold18.g1905.t1
OG0002990	XP_005850457.1	scaffold18.g1906.t1
OG0002991	XP_005850463.1	scaffold18.g1909.t1
OG0002993	XP_005850222.1	scaffold18.g1911.t1
OG0002994	XP_005850475.1	scaffold18.g1912.t1
OG0002995	XP_005850209.1	scaffold18.g1916.t1
OG0002996	XP_005850467.1	scaffold18.g1917.t1
OG0002997	XP_005846810.1	scaffold18.g1918.t1
OG0002998	XP_005850465.1	scaffold18.g1920.t1
OG0002999	XP_005850220.1	scaffold18.g1921.t1
OG0003000	XP_005850219.1	scaffold18.g1922.t1
OG0003001	XP_005850473.1	scaffold18.g1923.t1
OG0003002	XP_005850472.1	scaffold18.g1925.t1
OG0003003	XP_005850216.1	scaffold18.g1926.t1
OG0003004	XP_005850215.1	scaffold18.g1927.t1
OG0003005	XP_005850070.1	scaffold18.g1928.t1
OG0003006	XP_005850068.1	scaffold18.g1931.t1
OG0003007	XP_005845108.1	scaffold18.g1933.t1
OG0003008	XP_005845067.1	scaffold18.g1935.t1
OG0003009	XP_005848910.1	scaffold18.g1937.t1
OG0003010	XP_005850333.1	scaffold18.g1940.t1
OG0003011	XP_005850338.1	scaffold18.g1943.t1
OG0003012	XP_005850329.1	scaffold18.g1957.t1
OG0003013	XP_005850073.1	scaffold18.g1958.t1
OG0003014	XP_005850325.1	scaffold18.g1959.t1
OG0003015	XP_005850109.1	scaffold18.g1961.t1
OG0003016	XP_005850110.1	scaffold18.g1962.t1
OG0003017	XP_005850358.1	scaffold18.g1963.t1
OG0003018	XP_005850352.1	scaffold18.g1967.t1
OG0003019	XP_005845079.1	scaffold18.g1970.t1
OG0003020	XP_005850140.1	scaffold18.g1971.t1
OG0003021	XP_005850392.1	scaffold18.g1974.t1
OG0003022	XP_005847223.1	scaffold18.g1977.t1
OG0003023	XP_005850408.1	scaffold18.g1981.t1
OG0003024	XP_005847220.1	scaffold18.g1983.t1
OG0003025	XP_005847362.1	scaffold18.g1984.t1
OG0003026	XP_005850470.1	scaffold18.g1987.t1
OG0003027	XP_005850320.1	scaffold18.g1988.t1
OG0003028	XP_005850314.1	scaffold18.g1992.t1
OG0003029	XP_005850365.1	scaffold18.g1993.t1
OG0003030	XP_005850379.1	scaffold18.g1994.t1
OG0003031	XP_005850124.1	scaffold18.g2009.t1
OG0003032	XP_005850125.1	scaffold18.g2010.t1
OG0003033	XP_005850368.1	scaffold18.g2011.t1
OG0003034	XP_005850126.1	scaffold18.g2012.t1
OG0003035	XP_005850369.1	scaffold18.g2013.t1
OG0003036	XP_005850128.1	scaffold18.g2014.t1
OG0003037	XP_005850372.1	scaffold18.g2015.t1
OG0003038	XP_005850373.1	scaffold18.g2016.t1
OG0003039	XP_005850359.1	scaffold18.g2020.t1
OG0003040	XP_005850362.1	scaffold18.g2023.t1
OG0003041	XP_005850118.1	scaffold18.g2024.t1
OG0003042	XP_005850117.1	scaffold18.g2025.t1
OG0003043	XP_005850119.1	scaffold18.g2026.t1
OG0003044	XP_005850363.1	scaffold18.g2027.t1
OG0003045	XP_005850377.1	scaffold18.g2029.t1
OG0003046	XP_005850376.1	scaffold18.g2031.t1
OG0003047	XP_005850127.1	scaffold18.g2033.t1
OG0003048	XP_005850375.1	scaffold18.g2034.t1
OG0003049	XP_005850115.1	scaffold18.g2035.t1
OG0003050	XP_005850361.1	scaffold18.g2036.t1
OG0003051	XP_005847385.1	scaffold18.g2042.t1
OG0003052	XP_005850381.1	scaffold18.g2043.t1
OG0003053	XP_005850274.1	scaffold18.g2053.t1
OG0003054	XP_005844254.1	scaffold18.g2054.t1
OG0003055	XP_005850271.1	scaffold18.g2056.t1
OG0003056	XP_005850020.1	scaffold18.g2057.t1
OG0003057	XP_005850024.1	scaffold18.g2060.t1
OG0003058	XP_005850027.1	scaffold18.g2062.t1
OG0003059	XP_005850058.1	scaffold18.g2063.t1
OG0003060	XP_005846943.1	scaffold21.g2070.t1
OG0003061	XP_005847135.1	scaffold21.g2071.t1
OG0003062	XP_005846940.1	scaffold21.g2072.t1
OG0003063	XP_005851687.1	scaffold21.g2073.t1
OG0003064	XP_005846838.1	scaffold21.g2074.t1
OG0003065	XP_005847056.1	scaffold21.g2075.t1
OG0003066	XP_005846880.1	scaffold21.g2077.t1
OG0003067	XP_005847057.1	scaffold21.g2078.t1
OG0003068	XP_005847015.1	scaffold21.g2080.t1
OG0003069	XP_005847017.1	scaffold21.g2081.t1
OG0003070	XP_005846839.1	scaffold21.g2082.t1
OG0003071	XP_005847060.1	scaffold21.g2089.t1
OG0003072	XP_005847061.1	scaffold21.g2092.t1
OG0003073	XP_005846883.1	scaffold21.g2093.t1
OG0003074	XP_005847062.1	scaffold21.g2094.t1
OG0003075	XP_005847066.1	scaffold21.g2098.t1
OG0003076	XP_005846886.1	scaffold21.g2099.t1
OG0003077	XP_005847067.1	scaffold21.g2100.t1
OG0003078	XP_005847068.1	scaffold21.g2101.t1
OG0003079	XP_005846888.1	scaffold21.g2102.t1
OG0003080	XP_005847069.1	scaffold21.g2103.t1
OG0003081	XP_005847073.1	scaffold21.g2104.t1
OG0003082	XP_005847074.1	scaffold21.g2106.t1
OG0003085	XP_005846893.1	scaffold21.g2111.t1
OG0003086	XP_005846890.1	scaffold21.g2112.t1
OG0003087	XP_005847072.1	scaffold21.g2113.t1
OG0003088	XP_005846892.1	scaffold21.g2114.t1
OG0003089	XP_005846985.1	scaffold21.g2116.t1
OG0003090	XP_005847195.1	scaffold21.g2117.t1
OG0003091	XP_005846988.1	scaffold21.g2120.t1
OG0003092	XP_005847127.1	scaffold21.g2124.t1
OG0003093	XP_005847133.1	scaffold21.g2125.t1
OG0003094	XP_005847130.1	scaffold21.g2126.t1
OG0003095	XP_005846936.1	scaffold21.g2127.t1
OG0003096	XP_005846926.1	scaffold21.g2129.t1
OG0003097	XP_005847115.1	scaffold21.g2130.t1
OG0003098	XP_005846927.1	scaffold21.g2131.t1
OG0003099	XP_005847116.1	scaffold21.g2132.t1
OG0003100	XP_005846928.1	scaffold21.g2133.t1
OG0003101	XP_005847117.1	scaffold21.g2134.t1
OG0003102	XP_005846929.1	scaffold21.g2136.t1
OG0003103	XP_005847120.1	scaffold21.g2137.t1
OG0003104	XP_005846930.1	scaffold21.g2138.t1
OG0003106	XP_005846933.1	scaffold21.g2141.t1
OG0003107	XP_005846934.1	scaffold21.g2143.t1
OG0003108	XP_005847124.1, XP_005846925.1	scaffold21.g2147.t1
OG0003109	XP_005850303.1	scaffold21.g2148.t1
OG0003110	XP_005845211.1	scaffold21.g2149.t1
OG0003111	XP_005845212.1	scaffold21.g2150.t1
OG0003112	XP_005845047.1	scaffold21.g2152.t1
OG0003113	XP_005845137.1	scaffold21.g2153.t1
OG0003114	XP_005844948.1	scaffold21.g2154.t1
OG0003115	XP_005845140.1	scaffold21.g2156.t1
OG0003116	XP_005845138.1	scaffold21.g2157.t1
OG0003117	XP_005845239.1	scaffold21.g2162.t1
OG0003118	XP_005845123.1	scaffold21.g2163.t1
OG0003119	XP_005844375.1	scaffold21.g2173.t1
OG0003120	XP_005845126.1	scaffold21.g2179.t1
OG0003121	XP_005846836.1	scaffold21.g2181.t1
OG0003122	XP_005846698.1	scaffold21.g2182.t1
OG0003123	XP_005846855.1	scaffold21.g2184.t1
OG0003124	XP_005846833.1	scaffold21.g2185.t1
OG0003125	XP_005846694.1	scaffold21.g2187.t1
OG0003126	XP_005846832.1	scaffold21.g2188.t1
OG0003127	XP_005847037.1	scaffold21.g2191.t1
OG0003128	XP_005844639.1	scaffold21.g2193.t1
OG0003129	XP_005846819.1, XP_005846818.1	scaffold21.g2194.t1
OG0003130	XP_005849661.1	scaffold21.g2196.t1
OG0003132	XP_005846825.1	scaffold21.g2205.t1
OG0003133	XP_005846689.1	scaffold21.g2206.t1
OG0003134	XP_005846827.1	scaffold21.g2208.t1
OG0003135	XP_005846673.1	scaffold21.g2213.t1
OG0003136	XP_005844360.1	scaffold21.g2215.t1
OG0003137	XP_005845150.1	scaffold21.g2219.t1
OG0003138	XP_005846866.1	scaffold21.g2220.t1
OG0003139	XP_005846706.1	scaffold21.g2221.t1
OG0003140	XP_005845151.1	scaffold21.g2225.t1
OG0003141	XP_005845046.1	scaffold21.g2228.t1
OG0003142	XP_005845949.1	scaffold10.g2230.t1
OG0003143	XP_005846084.1	scaffold10.g2235.t1
OG0003144	XP_005845952.1	scaffold10.g2236.t1
OG0003145	XP_005845954.1	scaffold10.g2237.t1
OG0003146	XP_005845953.1	scaffold10.g2239.t1
OG0003147	XP_005846083.1	scaffold10.g2242.t1
OG0003148	XP_005845980.1	scaffold10.g2245.t1
OG0003149	XP_005846115.1	scaffold10.g2246.t1
OG0003150	XP_005845990.1	scaffold10.g2247.t1
OG0003151	XP_005845991.1	scaffold10.g2249.t1
OG0003152	XP_005845992.1	scaffold10.g2251.t1
OG0003153	XP_005845994.1	scaffold10.g2252.t1
OG0003154	XP_005846119.1	scaffold10.g2253.t1
OG0003155	XP_005846177.1	scaffold10.g2254.t1
OG0003156	XP_005846047.1	scaffold10.g2255.t1
OG0003157	XP_005846183.1	scaffold10.g2256.t1
OG0003159	XP_005845956.1	scaffold10.g2264.t1
OG0003160	XP_005846089.1	scaffold10.g2265.t1
OG0003161	XP_005847227.1	scaffold10.g2266.t1
OG0003162	XP_005847194.1	scaffold10.g2267.t1
OG0003163	XP_005845937.1	scaffold10.g2269.t1
OG0003164	XP_005845957.1	scaffold10.g2271.t1
OG0003165	XP_005846171.1	scaffold10.g2272.t1
OG0003166	XP_005846090.1	scaffold10.g2274.t1
OG0003167	XP_005845209.1	scaffold10.g2275.t1
OG0003168	XP_005845958.1	scaffold10.g2276.t1
OG0003169	XP_005850449.1	scaffold10.g2278.t1
OG0003170	XP_005845061.1	scaffold10.g2284.t1
OG0003171	XP_005851196.1	scaffold1.g5427.t1, scaffold22.g6075.t1, scaffold10.g2285.t1
OG0003172	XP_005845968.1	scaffold10.g2293.t1
