Orthogroup	a99_genome_proteins	c_sorokiniana_genome_proteins
OG0003019	scaffold18.g1957.t1	PRW56686.1
OG0003020	scaffold18.g1958.t1	PRW56838.1
OG0003021	scaffold18.g1959.t1	PRW56529.1
OG0003022	scaffold18.g1961.t1	PRW56755.1
OG0003023	scaffold18.g1962.t1	PRW56534.1
OG0003024	scaffold18.g1963.t1	PRW56435.1
OG0003025	scaffold18.g1967.t1	PRW56523.1
OG0003026	scaffold18.g1970.t1	PRW45387.1
OG0003027	scaffold18.g1971.t1	PRW56475.1
OG0003028	scaffold18.g1974.t1	PRW56663.1
OG0003029	scaffold18.g1977.t1	PRW05854.1
OG0003030	scaffold18.g1981.t1	PRW56547.1
OG0003031	scaffold18.g1983.t1	PRW05873.1
OG0003032	scaffold18.g1984.t1	PRW05817.1
OG0003033	scaffold18.g1987.t1	PRW05834.1
OG0003034	scaffold18.g1988.t1	PRW56407.1
OG0003035	scaffold18.g1992.t1	PRW56601.1
OG0003036	scaffold18.g1993.t1	PRW56687.1
OG0003037	scaffold18.g1994.t1	PRW56626.1
OG0003038	scaffold18.g2009.t1	PRW56536.1
OG0003039	scaffold18.g2010.t1	PRW56629.1
OG0003040	scaffold18.g2011.t1	PRW56570.1
OG0003041	scaffold18.g2012.t1	PRW56727.1
OG0003042	scaffold18.g2013.t1	PRW56502.1
OG0003043	scaffold18.g2014.t1	PRW56886.1
OG0003044	scaffold18.g2015.t1	PRW56619.1
OG0003045	scaffold18.g2016.t1	PRW56841.1
OG0003046	scaffold18.g2020.t1	PRW56404.1
OG0003047	scaffold18.g2023.t1	PRW56833.1
OG0003048	scaffold18.g2024.t1	PRW56519.1
OG0003049	scaffold18.g2025.t1	PRW56556.1
OG0003050	scaffold18.g2026.t1	PRW56676.1
OG0003051	scaffold18.g2027.t1	PRW56515.1
OG0003052	scaffold18.g2029.t1	PRW56786.1
OG0003053	scaffold18.g2031.t1	PRW56652.1
OG0003054	scaffold18.g2033.t1	PRW56889.1
OG0003055	scaffold18.g2034.t1	PRW56790.1
OG0003056	scaffold18.g2035.t1	PRW56396.1
OG0003057	scaffold18.g2036.t1	PRW56588.1
OG0003058	scaffold18.g2042.t1	PRW44465.1
OG0003059	scaffold18.g2043.t1	PRW56726.1
OG0003060	scaffold18.g2053.t1	PRW56504.1
OG0003061	scaffold18.g2054.t1	PRW61261.1
OG0003062	scaffold18.g2056.t1	PRW56414.1
OG0003063	scaffold18.g2057.t1	PRW56661.1
OG0003064	scaffold18.g2060.t1	PRW56494.1
OG0003065	scaffold18.g2062.t1	PRW56874.1
OG0003066	scaffold18.g2063.t1	PRW56830.1
OG0003067	scaffold21.g2070.t1	PRW57305.1
OG0003068	scaffold21.g2071.t1	PRW57415.1
OG0003069	scaffold21.g2072.t1	PRW57253.1
OG0003070	scaffold21.g2073.t1	PRW60557.1
OG0003071	scaffold21.g2074.t1	PRW57289.1
OG0003072	scaffold21.g2075.t1	PRW57265.1
OG0003073	scaffold21.g2077.t1	PRW57521.1
OG0003074	scaffold21.g2078.t1	PRW57278.1
OG0003075	scaffold21.g2080.t1	PRW57156.1
OG0003076	scaffold21.g2081.t1	PRW57117.1
OG0003077	scaffold21.g2082.t1	PRW57059.1
OG0003078	scaffold21.g2089.t1	PRW57199.1
OG0003079	scaffold21.g2092.t1	PRW57537.1
OG0003080	scaffold21.g2093.t1	PRW56899.1
OG0003081	scaffold21.g2094.t1	PRW57023.1
OG0003082	scaffold21.g2098.t1	PRW56987.1
OG0003083	scaffold21.g2099.t1	PRW56901.1
OG0003084	scaffold21.g2100.t1	PRW57123.1
OG0003085	scaffold21.g2101.t1	PRW57365.1
OG0003086	scaffold21.g2102.t1	PRW56967.1
OG0003087	scaffold21.g2103.t1	PRW56962.1
OG0003088	scaffold21.g2104.t1	PRW57443.1
OG0003089	scaffold21.g2106.t1	PRW57076.1
OG0003090	scaffold21.g2107.t1	PRW57259.1
OG0003091	scaffold21.g2110.t1	PRW57261.1
OG0003092	scaffold21.g2111.t1	PRW57420.1
OG0003093	scaffold21.g2112.t1	PRW57366.1
OG0003094	scaffold21.g2113.t1	PRW57475.1
OG0003095	scaffold21.g2114.t1	PRW57042.1
OG0003096	scaffold21.g2116.t1	PRW57233.1
OG0003097	scaffold21.g2117.t1	PRW57149.1
OG0003098	scaffold21.g2120.t1	PRW57290.1
OG0003099	scaffold21.g2124.t1	PRW56943.1
OG0003100	scaffold21.g2125.t1	PRW57351.1
OG0003101	scaffold21.g2126.t1	PRW57040.1
OG0003102	scaffold21.g2127.t1	PRW57502.1
OG0003103	scaffold21.g2129.t1	PRW56903.1
OG0003104	scaffold21.g2130.t1	PRW57493.1
OG0003105	scaffold21.g2131.t1	PRW57497.1
OG0003106	scaffold21.g2132.t1	PRW57178.1
OG0003107	scaffold21.g2133.t1	PRW57409.1
OG0003108	scaffold21.g2134.t1	PRW57352.1
OG0003109	scaffold21.g2136.t1	PRW56996.1
OG0003110	scaffold21.g2137.t1	PRW57229.1
OG0003111	scaffold21.g2138.t1	PRW57369.1
OG0003112	scaffold21.g2140.t1, scaffold11.g4073.t1	PRW57168.1
OG0003113	scaffold21.g2141.t1	PRW57513.1
OG0003114	scaffold21.g2143.t1	PRW57283.1
OG0003115	scaffold21.g2147.t1	PRW57370.1
OG0003116	scaffold21.g2148.t1	PRW32972.1, PRW32971.1
OG0003117	scaffold21.g2149.t1	PRW45575.1
OG0003119	scaffold21.g2152.t1	PRW45653.1
OG0003120	scaffold21.g2153.t1	PRW45409.1
OG0003121	scaffold21.g2154.t1	PRW33311.1
OG0003122	scaffold21.g2156.t1	PRW45570.1
OG0003123	scaffold21.g2157.t1	PRW45521.1
OG0003124	scaffold21.g2162.t1	PRW45560.1
OG0003125	scaffold21.g2163.t1	PRW45412.1
OG0003126	scaffold21.g2173.t1	PRW61436.1
OG0003127	scaffold21.g2179.t1	PRW45588.1
OG0003128	scaffold21.g2181.t1	PRW45419.1
OG0003129	scaffold21.g2182.t1	PRW45428.1
OG0003130	scaffold21.g2184.t1	PRW56896.1
OG0003131	scaffold21.g2185.t1	PRW45717.1
OG0003132	scaffold21.g2187.t1	PRW45733.1
OG0003133	scaffold21.g2188.t1	PRW45544.1
OG0003134	scaffold21.g2191.t1	PRW57202.1
OG0003135	scaffold21.g2193.t1	PRW59063.1
OG0003136	scaffold21.g2194.t1	PRW32478.1, PRW61335.1
OG0003137	scaffold21.g2196.t1	PRW58901.1
OG0003138	scaffold2.g7101.t1, scaffold21.g2210.t1, scaffold21.g2201.t1	PRW60710.1
OG0003139	scaffold21.g2205.t1	PRW45557.1
OG0003140	scaffold21.g2206.t1	PRW45401.1
OG0003141	scaffold21.g2208.t1	PRW45695.1
OG0003142	scaffold21.g2213.t1	PRW45646.1
OG0003143	scaffold21.g2215.t1	PRW60993.1
OG0003144	scaffold21.g2219.t1	PRW45380.1
OG0003145	scaffold21.g2220.t1	PRW57263.1
OG0003146	scaffold21.g2221.t1	PRW32581.1
OG0003147	scaffold21.g2225.t1	PRW45462.1
OG0003148	scaffold21.g2228.t1	PRW45621.1
OG0003149	scaffold10.g2230.t1	PRW05765.1
OG0003150	scaffold10.g2235.t1	PRW05788.1
OG0003151	scaffold10.g2236.t1	PRW05779.1
OG0003152	scaffold10.g2237.t1	PRW05786.1
OG0003153	scaffold10.g2239.t1	PRW05764.1
OG0003154	scaffold10.g2242.t1	PRW05766.1
OG0003155	scaffold10.g2245.t1	PRW39074.1
OG0003156	scaffold10.g2246.t1	PRW39298.1
OG0003157	scaffold10.g2247.t1	PRW39109.1
OG0003158	scaffold10.g2249.t1	PRW39344.1
OG0003159	scaffold10.g2251.t1	PRW39256.1
OG0003160	scaffold10.g2252.t1	PRW39241.1
OG0003161	scaffold10.g2253.t1	PRW39184.1
OG0003162	scaffold10.g2254.t1	PRW39185.1
OG0003163	scaffold10.g2255.t1	PRW39220.1
OG0003164	scaffold10.g2256.t1	PRW39127.1
OG0003165	scaffold10.g2258.t1	PRW39237.1
OG0003166	scaffold10.g2264.t1	PRW05797.1
OG0003167	scaffold10.g2265.t1	PRW05808.1
OG0003168	scaffold10.g2266.t1	PRW44615.1
OG0003169	scaffold10.g2267.t1	PRW57061.1
OG0003170	scaffold10.g2269.t1	PRW05754.1
OG0003171	scaffold10.g2271.t1	PRW05768.1
OG0003172	scaffold10.g2272.t1	PRW39355.1
OG0003173	scaffold10.g2274.t1	PRW05767.1
OG0003174	scaffold10.g2275.t1	PRW45719.1
OG0003175	scaffold10.g2276.t1	PRW05776.1
OG0003176	scaffold10.g2278.t1	PRW56711.1
OG0003177	scaffold10.g2284.t1	PRW45627.1
OG0003179	scaffold10.g2293.t1	PRW05782.1
OG0003180	scaffold10.g2296.t1	PRW05784.1
OG0003181	scaffold10.g2298.t1	PRW56802.1, PRW56801.1, PRW56688.1
OG0003182	scaffold10.g2299.t1	PRW05758.1
OG0003183	scaffold10.g2302.t1	PRW39136.1
OG0003184	scaffold10.g2303.t1	PRW39342.1
OG0003185	scaffold10.g2305.t1	PRW39293.1
OG0003186	scaffold10.g2307.t1	PRW39238.1
OG0003187	scaffold10.g2308.t1	PRW39176.1
OG0003188	scaffold10.g2314.t1, scaffold7.g3449.t1	PRW33537.1
OG0003189	scaffold10.g2315.t1	PRW39235.1
OG0003190	scaffold10.g2322.t1	PRW39323.1
OG0003191	scaffold10.g2324.t1	PRW39212.1
OG0003192	scaffold10.g2325.t1	PRW39153.1
OG0003193	scaffold10.g2326.t1	PRW39373.1
OG0003194	scaffold10.g2327.t1	PRW39218.1
OG0003195	scaffold10.g2329.t1	PRW39325.1
OG0003196	scaffold10.g2332.t1	PRW39239.1
OG0003197	scaffold10.g2333.t1	PRW39174.1
OG0003198	scaffold10.g2337.t1	PRW60909.1
OG0003199	scaffold10.g2341.t1	PRW39372.1
OG0003200	scaffold10.g2342.t1	PRW39058.1
OG0003201	scaffold10.g2352.t1	PRW39156.1
OG0003202	scaffold10.g2355.t1	PRW39273.1
OG0003203	scaffold10.g2358.t1	PRW39320.1
OG0003204	scaffold10.g2359.t1	PRW39175.1
OG0003205	scaffold10.g2364.t1	PRW39102.1
OG0003206	scaffold10.g2369.t1	PRW57272.1
OG0003207	scaffold10.g2370.t1	PRW39233.1
OG0003209	scaffold10.g2372.t1	PRW39159.1
OG0003210	scaffold10.g2373.t1	PRW60773.1
OG0003211	scaffold10.g2381.t1	PRW39096.1
OG0003212	scaffold10.g2384.t1	PRW39080.1
OG0003213	scaffold10.g2385.t1	PRW39244.1
OG0003214	scaffold10.g2386.t1	PRW39116.1
OG0003215	scaffold10.g2387.t1	PRW39253.1
OG0003216	scaffold10.g2393.t1	PRW39140.1, PRW60737.1
OG0003217	scaffold10.g2396.t1	PRW39066.1, PRW39065.1
OG0003218	scaffold10.g2406.t1	PRW20728.1
OG0003219	scaffold10.g2407.t1	PRW39267.1
OG0003220	scaffold10.g2408.t1	PRW39206.1
OG0003221	scaffold10.g2409.t1	PRW39352.1
OG0003222	scaffold10.g2411.t1	PRW39165.1
OG0003223	scaffold10.g2416.t1	PRW39057.1
OG0003224	scaffold10.g2419.t1	PRW39221.1
OG0003225	scaffold10.g2420.t1	PRW39138.1
OG0003226	scaffold10.g2421.t1	PRW39326.1
OG0003227	scaffold10.g2425.t1	PRW39396.1
OG0003228	scaffold9.g3146.t1, scaffold10.g2426.t1	PRW39209.1
OG0003229	scaffold10.g2427.t1	PRW39205.1
OG0003230	scaffold10.g2428.t1	PRW39124.1
OG0003231	scaffold10.g2437.t1	PRW39306.1
OG0003232	scaffold10.g2438.t1	PRW39263.1
OG0003233	scaffold10.g2440.t1	PRW39305.1
OG0003234	scaffold10.g2441.t1	PRW39382.1
OG0003235	scaffold10.g2443.t1	PRW39123.1
OG0003236	scaffold10.g2448.t1	PRW39092.1
OG0003237	scaffold10.g2457.t1	PRW57694.1
OG0003238	scaffold10.g2458.t1	PRW39130.1
OG0003239	scaffold10.g2460.t1	PRW39294.1
OG0003240	scaffold10.g2461.t1	PRW39246.1
OG0003241	scaffold10.g2462.t1	PRW39188.1
OG0003242	scaffold10.g2463.t1	PRW39309.1
OG0003243	scaffold10.g2466.t1	PRW39112.1
OG0003244	scaffold10.g2482.t1	PRW39225.1
OG0003245	scaffold10.g2483.t1	PRW39251.1
OG0003246	scaffold10.g2486.t1	PRW39378.1
OG0003247	scaffold10.g2493.t1	PRW20998.1
OG0003248	scaffold6.g2496.t1	PRW57509.1
OG0003249	scaffold6.g2497.t1	PRW61211.1
OG0003250	scaffold6.g2498.t1	PRW57383.1
OG0003251	scaffold6.g2500.t1	PRW61618.1
OG0003252	scaffold6.g2506.t1	PRW44475.1
OG0003253	scaffold6.g2509.t1	PRW60984.1
OG0003254	scaffold6.g2511.t1	PRW60073.1
OG0003254	scaffold1.g5699.t1	PRW20342.1, PRW20341.1
OG0003255	scaffold6.g2512.t1	PRW60963.1
OG0003256	scaffold6.g2514.t1	PRW58870.1
OG0003258	scaffold6.g2520.t1	PRW61264.1
OG0003259	scaffold6.g2521.t1	PRW61052.1
OG0003260	scaffold6.g2522.t1	PRW61414.1
OG0003261	scaffold6.g2523.t1	PRW60958.1
OG0003262	scaffold6.g2524.t1	PRW61101.1
OG0003263	scaffold6.g2527.t1	PRW61122.1
OG0003264	scaffold6.g2530.t1	PRW56659.1
OG0003265	scaffold6.g2533.t1	PRW57110.1
OG0003266	scaffold6.g2537.t1	PRW61313.1
OG0003267	scaffold6.g2538.t1	PRW61001.1
OG0003268	scaffold6.g2539.t1	PRW61011.1
OG0003269	scaffold6.g2541.t1	PRW44584.1
OG0003270	scaffold6.g2543.t1	PRW61157.1
OG0003271	scaffold6.g2549.t1	PRW61073.1
OG0003272	scaffold6.g2553.t1	PRW44368.1
OG0003273	scaffold6.g2555.t1	PRW44323.1
OG0003274	scaffold6.g2556.t1	PRW44594.1
OG0003275	scaffold6.g2558.t1	PRW44450.1
OG0003276	scaffold6.g2559.t1	PRW44423.1
OG0003277	scaffold6.g2560.t1	PRW44303.1
OG0003278	scaffold6.g2561.t1	PRW44555.1
OG0003279	scaffold6.g2563.t1	PRW44267.1
OG0003280	scaffold6.g2564.t1	PRW44545.1
OG0003281	scaffold6.g2565.t1	PRW44460.1
OG0003282	scaffold6.g2569.t1	PRW44429.1
OG0003283	scaffold6.g2572.t1	PRW05810.1
OG0003284	scaffold6.g2573.t1	PRW05831.1
OG0003285	scaffold6.g2577.t1	PRW56470.1
OG0003286	scaffold6.g2578.t1	PRW56513.1
OG0003287	scaffold6.g2581.t1	PRW56563.1
OG0003288	scaffold6.g2583.t1	PRW56656.1
OG0003289	scaffold6.g2586.t1	PRW56595.1
OG0003290	scaffold6.g2589.t1	PRW56544.1
OG0003291	scaffold6.g2590.t1	PRW56747.1
OG0003292	scaffold6.g2593.t1	PRW56441.1
OG0003293	scaffold6.g2596.t1	PRW56428.1
OG0003294	scaffold6.g2598.t1	PRW56612.1
OG0003295	scaffold6.g2602.t1	PRW56847.1
OG0003296	scaffold6.g2605.t1	PRW56410.1
OG0003297	scaffold6.g2606.t1	PRW56630.1
OG0003298	scaffold6.g2610.t1	PRW56403.1
OG0003299	scaffold6.g2613.t1	PRW56845.1
OG0003300	scaffold6.g2615.t1	PRW56657.1
OG0003301	scaffold6.g2616.t1	PRW56671.1
OG0003302	scaffold6.g2618.t1	PRW56306.1
OG0003303	scaffold6.g2624.t1	PRW56197.1
OG0003304	scaffold6.g2630.t1	PRW33760.1
OG0003305	scaffold6.g2631.t1	PRW56452.1
OG0003306	scaffold6.g2633.t1	PRW61097.1
OG0003307	scaffold6.g2634.t1	PRW56128.1
OG0003308	scaffold6.g2640.t1	PRW56204.1
OG0003309	scaffold6.g2641.t1	PRW56135.1
OG0003310	scaffold6.g2643.t1	PRW56344.1
OG0003311	scaffold6.g2645.t1	PRW55902.1
OG0003312	scaffold6.g2647.t1	PRW56178.1
OG0003313	scaffold6.g2649.t1	PRW55975.1
OG0003314	scaffold6.g2650.t1	PRW56176.1
OG0003315	scaffold6.g2657.t1	PRW56257.1
OG0003316	scaffold3.g6509.t1, scaffold6.g2659.t1	PRW33510.1
OG0003317	scaffold6.g2660.t1	PRW56129.1
OG0003318	scaffold6.g2662.t1	PRW56312.1
OG0003319	scaffold6.g2664.t1	PRW56105.1
OG0003320	scaffold6.g2665.t1	PRW56114.1
OG0003321	scaffold6.g2670.t1	PRW44624.1
OG0003322	scaffold6.g2672.t1	PRW55968.1
OG0003323	scaffold6.g2675.t1	PRW56009.1
OG0003324	scaffold6.g2676.t1	PRW56118.1
OG0003325	scaffold6.g2678.t1	PRW56252.1
OG0003326	scaffold6.g2680.t1	PRW56126.1
OG0003327	scaffold6.g2684.t1	PRW56064.1
OG0003328	scaffold6.g2685.t1	PRW56086.1
OG0003329	scaffold6.g2688.t1	PRW56172.1
OG0003330	scaffold6.g2689.t1	PRW56205.1
OG0003331	scaffold6.g2690.t1	PRW56139.1
OG0003332	scaffold6.g2693.t1	PRW57360.1
OG0003333	scaffold2.g7003.t1, scaffold6.g2694.t1	PRW45470.1
OG0003334	scaffold6.g2695.t1	PRW56016.1
OG0003335	scaffold6.g2696.t1	PRW56327.1
OG0003336	scaffold6.g2697.t1	PRW56031.1
OG0003337	scaffold6.g2704.t1	PRW55953.1
OG0003338	scaffold6.g2707.t1	PRW56297.1
OG0003339	scaffold6.g2709.t1	PRW56097.1
OG0003340	scaffold6.g2710.t1	PRW56157.1
OG0003341	scaffold6.g2712.t1	PRW56115.1
OG0003342	scaffold6.g2715.t1	PRW56100.1
OG0003343	scaffold6.g2722.t1	PRW56113.1
OG0003344	scaffold6.g2723.t1	PRW55987.1
OG0003345	scaffold6.g2724.t1	PRW56309.1
OG0003347	scaffold6.g2729.t1	PRW56030.1
OG0003348	scaffold6.g2730.t1	PRW55928.1
OG0003349	scaffold6.g2732.t1	PRW56015.1
OG0003350	scaffold6.g2733.t1	PRW55925.1
OG0003352	scaffold6.g2739.t1	PRW55949.1
OG0003353	scaffold6.g2744.t1	PRW55895.1
OG0003354	scaffold6.g2745.t1	PRW56304.1
OG0003355	scaffold6.g2747.t1	PRW56036.1
OG0003356	scaffold6.g2748.t1	PRW55958.1
OG0003357	scaffold6.g2751.t1	PRW56061.1
OG0003358	scaffold6.g2757.t1	PRW56060.1
OG0003359	scaffold6.g2759.t1	PRW55930.1
OG0003360	scaffold6.g2760.t1	PRW56059.1
OG0003361	scaffold6.g2762.t1	PRW56354.1, PRW56353.1
OG0003362	scaffold6.g2765.t1	PRW56074.1
OG0003363	scaffold6.g2768.t1	PRW58126.1
OG0003364	scaffold6.g2774.t1	PRW45440.1
OG0003366	scaffold6.g2776.t1	PRW55988.1
OG0003367	scaffold6.g2779.t1	PRW20518.1
OG0003368	scaffold6.g2780.t1	PRW56156.1
OG0003369	scaffold6.g2785.t1	PRW56222.1
OG0003370	scaffold6.g2786.t1	PRW55917.1
OG0003371	scaffold6.g2789.t1	PRW61468.1, PRW61467.1
OG0003372	scaffold6.g2792.t1	PRW56233.1
OG0003373	scaffold6.g2794.t1	PRW60640.1
OG0003374	scaffold6.g2797.t1	PRW56111.1
OG0003375	scaffold6.g2800.t1	PRW55982.1
OG0003376	scaffold6.g2801.t1	PRW56266.1
OG0003377	scaffold6.g2802.t1	PRW56341.1
OG0003378	scaffold6.g2803.t1	PRW56026.1
OG0003379	scaffold6.g2804.t1	PRW56285.1
OG0003380	scaffold6.g2805.t1	PRW56340.1
OG0003381	scaffold6.g2813.t1	PRW55981.1
OG0003382	scaffold6.g2814.t1	PRW55997.1
OG0003383	scaffold6.g2816.t1	PRW58875.1
OG0003384	scaffold6.g2822.t1	PRW56062.1
OG0003385	scaffold6.g2824.t1	PRW55961.1
OG0003386	scaffold6.g2828.t1	PRW05826.1
OG0003387	scaffold6.g2830.t1	PRW56333.1
OG0003388	scaffold6.g2831.t1, scaffold4.g4771.t1	PRW56308.1
OG0003389	scaffold6.g2835.t1	PRW56227.1
OG0003390	scaffold6.g2840.t1	PRW55921.1
OG0003391	scaffold6.g2842.t1	PRW44431.1
OG0003392	scaffold6.g2845.t1	PRW61000.1
OG0003393	scaffold6.g2846.t1	PRW50853.1
OG0003394	scaffold6.g2848.t1	PRW45526.1
OG0003395	scaffold6.g2853.t1	PRW18413.1
OG0003396	scaffold6.g2855.t1	PRW44434.1
OG0003397	scaffold6.g2857.t1	PRW56325.1
OG0003398	scaffold6.g2858.t1	PRW56018.1
OG0003399	scaffold6.g2859.t1	PRW55887.1
OG0003400	scaffold6.g2862.t1	PRW56101.1
OG0003401	scaffold6.g2863.t1	PRW56268.1
OG0003402	scaffold6.g2868.t1	PRW56131.1
OG0003403	scaffold6.g2875.t1	PRW56182.1
OG0003404	scaffold6.g2877.t1	PRW56167.1
OG0003405	scaffold6.g2879.t1	PRW55908.1
OG0003406	scaffold6.g2882.t1	PRW20944.1
OG0003407	scaffold6.g2886.t1	PRW56337.1
OG0003408	scaffold6.g2887.t1	PRW56020.1
OG0003409	scaffold6.g2888.t1	PRW55986.1
OG0003410	scaffold6.g2889.t1	PRW56248.1
OG0003411	scaffold6.g2890.t1	PRW56332.1
OG0003412	scaffold6.g2899.t1	PRW56223.1
OG0003413	scaffold6.g2900.t1	PRW55984.1
OG0003414	scaffold6.g2906.t1	PRW56198.1
OG0003415	scaffold6.g2907.t1	PRW56050.1
OG0003416	scaffold6.g2910.t1	PRW56269.1
OG0003417	scaffold6.g2912.t1	PRW21028.1
OG0003418	scaffold6.g2914.t1	PRW55993.1
OG0003419	scaffold6.g2915.t1	PRW58376.1
OG0003420	scaffold6.g2917.t1	PRW56130.1
OG0003421	scaffold24.g2925.t1	PRW59838.1
OG0003422	scaffold24.g2930.t1	PRW33628.1
OG0003423	scaffold24.g2933.t1	PRW33509.1
OG0003424	scaffold24.g2936.t1	PRW33573.1
OG0003425	scaffold24.g2938.t1	PRW33637.1
OG0003426	scaffold24.g2939.t1	PRW60807.1
OG0003427	scaffold24.g2940.t1	PRW33527.1
OG0003428	scaffold24.g2941.t1	PRW33550.1
OG0003429	scaffold24.g2942.t1	PRW33694.1
OG0003430	scaffold24.g2943.t1	PRW33715.1
OG0003431	scaffold24.g2948.t1	PRW33736.1
OG0003432	scaffold24.g2951.t1	PRW33665.1
OG0003433	scaffold24.g2952.t1	PRW33703.1
OG0003434	scaffold24.g2956.t1	PRW33632.1
OG0003435	scaffold24.g2958.t1	PRW33745.1
OG0003436	scaffold24.g2961.t1	PRW33546.1
OG0003437	scaffold24.g2964.t1	PRW33551.1
OG0003438	scaffold24.g2965.t1	PRW33751.1
OG0003439	scaffold24.g2970.t1	PRW33585.1
OG0003440	scaffold24.g2971.t1	PRW33646.1
OG0003441	scaffold24.g2972.t1	PRW33528.1
OG0003442	scaffold24.g2982.t1	PRW33535.1
OG0003443	scaffold24.g2987.t1	PRW33729.1
OG0003444	scaffold24.g2989.t1	PRW33746.1
OG0003445	scaffold24.g2992.t1	PRW33626.1
OG0003446	scaffold9.g2997.t1	PRW60783.1
OG0003447	scaffold9.g2998.t1	PRW60329.1
OG0003448	scaffold9.g2999.t1	PRW60469.1
OG0003449	scaffold9.g3000.t1	PRW60314.1
OG0003450	scaffold9.g3002.t1	PRW60191.1
OG0003451	scaffold9.g3003.t1	PRW60708.1
OG0003452	scaffold9.g3008.t1	PRW60426.1
OG0003453	scaffold9.g3013.t1	PRW60410.1
OG0003454	scaffold9.g3014.t1	PRW60325.1
OG0003455	scaffold9.g3018.t1	PRW60519.1, PRW60520.1
OG0003456	scaffold9.g3019.t1	PRW60227.1
OG0003457	scaffold9.g3020.t1	PRW59854.1
OG0003458	scaffold9.g3022.t1, scaffold2.g7118.t1	PRW57424.1
OG0003459	scaffold9.g3028.t1	PRW60623.1
OG0003460	scaffold9.g3032.t1	PRW60717.1
OG0003461	scaffold9.g3036.t1	PRW60656.1
OG0003462	scaffold9.g3037.t1	PRW60362.1
OG0003463	scaffold9.g3038.t1	PRW60472.1
OG0003464	scaffold9.g3042.t1	PRW60228.1
OG0003465	scaffold9.g3044.t1	PRW60506.1
OG0003466	scaffold9.g3045.t1	PRW60415.1
OG0003467	scaffold9.g3046.t1	PRW60452.1
OG0003468	scaffold9.g3047.t1	PRW60363.1
OG0003469	scaffold9.g3048.t1	PRW60390.1
OG0003470	scaffold9.g3049.t1	PRW60674.1
OG0003471	scaffold9.g3051.t1	PRW60416.1, PRW60417.1
OG0003472	scaffold9.g3057.t1	PRW05953.1
OG0003473	scaffold9.g3063.t1	PRW60983.1
OG0003474	scaffold9.g3064.t1	PRW60230.1
OG0003475	scaffold9.g3065.t1	PRW60418.1
OG0003476	scaffold9.g3070.t1	PRW60868.1
OG0003477	scaffold9.g3072.t1	PRW60491.1
OG0003478	scaffold9.g3074.t1	PRW60705.1
OG0003479	scaffold9.g3076.t1	PRW60645.1
OG0003480	scaffold9.g3081.t1	PRW60298.1
OG0003481	scaffold9.g3086.t1	PRW32657.1
OG0003483	scaffold9.g3089.t1	PRW60846.1
OG0003484	scaffold9.g3091.t1	PRW60435.1
OG0003485	scaffold9.g3095.t1	PRW60315.1
OG0003486	scaffold9.g3101.t1	PRW60614.1
OG0003487	scaffold9.g3103.t1	PRW60275.1
OG0003488	scaffold9.g3104.t1	PRW60726.1
OG0003489	scaffold9.g3107.t1	PRW60713.1
OG0003490	scaffold9.g3112.t1	PRW60580.1
OG0003491	scaffold9.g3113.t1	PRW60724.1
OG0003492	scaffold9.g3119.t1	PRW60349.1
OG0003494	scaffold9.g3122.t1	PRW60266.1
OG0003495	scaffold9.g3133.t1	PRW56393.1
OG0003496	scaffold9.g3135.t1	PRW57136.1
OG0003497	scaffold9.g3137.t1	PRW60564.1
OG0003498	scaffold9.g3140.t1	PRW60809.1
OG0003499	scaffold9.g3147.t1	PRW60194.1
OG0003500	scaffold9.g3148.t1	PRW60433.1
OG0003501	scaffold9.g3151.t1	PRW60279.1
OG0003502	scaffold9.g3153.t1	PRW60813.1
OG0003503	scaffold9.g3166.t1	PRW60262.1
OG0003504	scaffold9.g3169.t1	PRW60821.1
OG0003505	scaffold9.g3170.t1	PRW05785.1
OG0003506	scaffold9.g3172.t1	PRW57529.1
OG0003508	scaffold9.g3175.t1	PRW44628.1
OG0003509	scaffold9.g3184.t1	PRW60644.1
OG0003510	scaffold9.g3190.t1	PRW60657.1
OG0003511	scaffold9.g3193.t1	PRW60774.1
OG0003512	scaffold9.g3196.t1	PRW60406.1
OG0003513	scaffold9.g3198.t1	PRW60527.1
OG0003514	scaffold9.g3199.t1	PRW60269.1
OG0003515	scaffold9.g3200.t1	PRW56640.1
OG0003516	scaffold9.g3208.t1	PRW44939.1
OG0003517	scaffold9.g3209.t1	PRW60420.1
OG0003518	scaffold9.g3216.t1	PRW60533.1, PRW44625.1
OG0003519	scaffold9.g3217.t1	PRW60208.1
OG0003520	scaffold9.g3218.t1	PRW60264.1
OG0003521	scaffold9.g3219.t1	PRW60294.1
OG0003522	scaffold9.g3221.t1	PRW60369.1
OG0003523	scaffold9.g3225.t1	PRW44430.1
OG0003525	scaffold9.g3238.t1	PRW60675.1
OG0003526	scaffold9.g3239.t1	PRW60488.1
OG0003527	scaffold9.g3240.t1	PRW60318.1
OG0003528	scaffold9.g3245.t1	PRW60493.1
OG0003529	scaffold9.g3246.t1	PRW60512.1
OG0003530	scaffold9.g3248.t1	PRW60276.1
OG0003531	scaffold9.g3250.t1	PRW60676.1
OG0003532	scaffold9.g3251.t1	PRW60825.1
OG0003533	scaffold9.g3252.t1	PRW60543.1
OG0003534	scaffold9.g3254.t1	PRW60837.1
OG0003535	scaffold9.g3255.t1	PRW60636.1
OG0003537	scaffold9.g3262.t1	PRW59453.1
OG0003538	scaffold9.g3265.t1	PRW20167.1, PRW50802.1
