Orthogroup	a99_genome_proteins	c_variabilis_genome_proteins
OG0002931	scaffold19.g1774.t1	XP_005848103.1
OG0002932	scaffold19.g1775.t1	XP_005847943.1
OG0002933	scaffold19.g1778.t1	XP_005847946.1
OG0002934	scaffold19.g1780.t1	XP_005845093.1
OG0002935	scaffold19.g1781.t1	XP_005848193.1
OG0002936	scaffold19.g1782.t1	XP_005844322.1
OG0002937	scaffold19.g1784.t1	XP_005847936.1
OG0002938	scaffold19.g1785.t1	XP_005848164.1
OG0002939	scaffold19.g1789.t1	XP_005847922.1
OG0002940	scaffold19.g1791.t1	XP_005847927.1
OG0002941	scaffold19.g1793.t1	XP_005843630.1
OG0002942	scaffold19.g1797.t1	XP_005848078.1
OG0002944	scaffold19.g1799.t1	XP_005848135.1
OG0002945	scaffold19.g1800.t1	XP_005847976.1
OG0002946	scaffold19.g1802.t1	XP_005848081.1
OG0002947	scaffold19.g1803.t1	XP_005848085.1
OG0002948	scaffold19.g1807.t1	XP_005847977.1
OG0002949	scaffold19.g1809.t1	XP_005847978.1
OG0002950	scaffold19.g1810.t1	XP_005848141.1
OG0002951	scaffold19.g1811.t1	XP_005847979.1
OG0002952	scaffold19.g1812.t1	XP_005848142.1
OG0002953	scaffold19.g1819.t1	XP_005848113.1
OG0002954	scaffold19.g1820.t1	XP_005847954.1
OG0002956	scaffold19.g1822.t1	XP_005848117.1
OG0002957	scaffold19.g1825.t1	XP_005847964.1
OG0002958	scaffold19.g1827.t1	XP_005848123.1
OG0002959	scaffold19.g1832.t1	XP_005847959.1
OG0002960	scaffold19.g1833.t1	XP_005848120.1
OG0002961	scaffold19.g1834.t1	XP_005848118.1
OG0002962	scaffold19.g1835.t1	XP_005847957.1
OG0002963	scaffold19.g1840.t1	XP_005848116.1
OG0002964	scaffold19.g1847.t1	XP_005848112.1
OG0002965	scaffold19.g1850.t1	XP_005847935.1
OG0002966	scaffold19.g1851.t1	XP_005848093.1
OG0002967	scaffold19.g1852.t1	XP_005848090.1
OG0002968	scaffold19.g1853.t1	XP_005847095.1
OG0002969	scaffold19.g1856.t1	XP_005847929.1
OG0002970	scaffold19.g1860.t1	XP_005848002.1
OG0002971	scaffold19.g1861.t1	XP_005848165.1
OG0002972	scaffold19.g1863.t1	XP_005848004.1
OG0002973	scaffold19.g1864.t1	XP_005848173.1
OG0002974	scaffold19.g1865.t1	XP_005848008.1
OG0002975	scaffold19.g1869.t1	XP_005846127.1
OG0002976	scaffold19.g1872.t1	XP_005848174.1
OG0002977	scaffold19.g1878.t1	XP_005848038.1
OG0002978	scaffold19.g1879.t1	XP_005847889.1
OG0002979	scaffold19.g1880.t1	XP_005848049.1
OG0002980	scaffold18.g1886.t1	XP_005850451.1
OG0002981	scaffold18.g1887.t1	XP_005850196.1
OG0002982	scaffold18.g1888.t1	XP_005850443.1
OG0002983	scaffold18.g1889.t1	XP_005850185.1
OG0002984	scaffold18.g1890.t1	XP_005850441.1
OG0002985	scaffold18.g1891.t1	XP_005850189.1
OG0002986	scaffold18.g1892.t1	XP_005850188.1
OG0002987	scaffold18.g1893.t1	XP_005850445.1
OG0002988	scaffold18.g1894.t1	XP_005850444.1
OG0002989	scaffold18.g1896.t1	XP_005850194.1
OG0002990	scaffold18.g1898.t1	XP_005850454.1
OG0002991	scaffold18.g1899.t1	XP_005850199.1
OG0002992	scaffold18.g1900.t1	XP_005850198.1
OG0002993	scaffold18.g1901.t1	XP_005850452.1
OG0002994	scaffold18.g1903.t1	XP_005850456.1
OG0002995	scaffold18.g1904.t1	XP_005850453.1
OG0002996	scaffold18.g1905.t1	XP_005850458.1
OG0002997	scaffold18.g1906.t1	XP_005850457.1
OG0002998	scaffold18.g1909.t1	XP_005850463.1
OG0003000	scaffold18.g1911.t1	XP_005850222.1
OG0003001	scaffold18.g1912.t1	XP_005850475.1
OG0003002	scaffold18.g1916.t1	XP_005850209.1
OG0003003	scaffold18.g1917.t1	XP_005850467.1
OG0003004	scaffold18.g1918.t1	XP_005846810.1
OG0003005	scaffold18.g1920.t1	XP_005850465.1
OG0003006	scaffold18.g1921.t1	XP_005850220.1
OG0003007	scaffold18.g1922.t1	XP_005850219.1
OG0003008	scaffold18.g1923.t1	XP_005850473.1
OG0003009	scaffold18.g1925.t1	XP_005850472.1
OG0003010	scaffold18.g1926.t1	XP_005850216.1
OG0003011	scaffold18.g1927.t1	XP_005850215.1
OG0003012	scaffold18.g1928.t1	XP_005850070.1
OG0003013	scaffold18.g1931.t1	XP_005850068.1
OG0003014	scaffold18.g1933.t1	XP_005845108.1
OG0003015	scaffold18.g1935.t1	XP_005845067.1
OG0003016	scaffold18.g1937.t1	XP_005848910.1
OG0003017	scaffold18.g1940.t1	XP_005850333.1
OG0003018	scaffold18.g1943.t1	XP_005850338.1
OG0003019	scaffold18.g1957.t1	XP_005850329.1
OG0003020	scaffold18.g1958.t1	XP_005850073.1
OG0003021	scaffold18.g1959.t1	XP_005850325.1
OG0003022	scaffold18.g1961.t1	XP_005850109.1
OG0003023	scaffold18.g1962.t1	XP_005850110.1
OG0003024	scaffold18.g1963.t1	XP_005850358.1
OG0003025	scaffold18.g1967.t1	XP_005850352.1
OG0003026	scaffold18.g1970.t1	XP_005845079.1
OG0003027	scaffold18.g1971.t1	XP_005850140.1
OG0003028	scaffold18.g1974.t1	XP_005850392.1
OG0003029	scaffold18.g1977.t1	XP_005847223.1
OG0003030	scaffold18.g1981.t1	XP_005850408.1
OG0003031	scaffold18.g1983.t1	XP_005847220.1
OG0003032	scaffold18.g1984.t1	XP_005847362.1
OG0003033	scaffold18.g1987.t1	XP_005850470.1
OG0003034	scaffold18.g1988.t1	XP_005850320.1
OG0003035	scaffold18.g1992.t1	XP_005850314.1
OG0003036	scaffold18.g1993.t1	XP_005850365.1
OG0003037	scaffold18.g1994.t1	XP_005850379.1
OG0003038	scaffold18.g2009.t1	XP_005850124.1
OG0003039	scaffold18.g2010.t1	XP_005850125.1
OG0003040	scaffold18.g2011.t1	XP_005850368.1
OG0003041	scaffold18.g2012.t1	XP_005850126.1
OG0003042	scaffold18.g2013.t1	XP_005850369.1
OG0003043	scaffold18.g2014.t1	XP_005850128.1
OG0003044	scaffold18.g2015.t1	XP_005850372.1
OG0003045	scaffold18.g2016.t1	XP_005850373.1
OG0003046	scaffold18.g2020.t1	XP_005850359.1
OG0003047	scaffold18.g2023.t1	XP_005850362.1
OG0003048	scaffold18.g2024.t1	XP_005850118.1
OG0003049	scaffold18.g2025.t1	XP_005850117.1
OG0003050	scaffold18.g2026.t1	XP_005850119.1
OG0003051	scaffold18.g2027.t1	XP_005850363.1
OG0003052	scaffold18.g2029.t1	XP_005850377.1
OG0003053	scaffold18.g2031.t1	XP_005850376.1
OG0003054	scaffold18.g2033.t1	XP_005850127.1
OG0003055	scaffold18.g2034.t1	XP_005850375.1
OG0003056	scaffold18.g2035.t1	XP_005850115.1
OG0003057	scaffold18.g2036.t1	XP_005850361.1
OG0003058	scaffold18.g2042.t1	XP_005847385.1
OG0003059	scaffold18.g2043.t1	XP_005850381.1
OG0003060	scaffold18.g2053.t1	XP_005850274.1
OG0003061	scaffold18.g2054.t1	XP_005844254.1
OG0003062	scaffold18.g2056.t1	XP_005850271.1
OG0003063	scaffold18.g2057.t1	XP_005850020.1
OG0003064	scaffold18.g2060.t1	XP_005850024.1
OG0003065	scaffold18.g2062.t1	XP_005850027.1
OG0003066	scaffold18.g2063.t1	XP_005850058.1
OG0003067	scaffold21.g2070.t1	XP_005846943.1
OG0003068	scaffold21.g2071.t1	XP_005847135.1
OG0003069	scaffold21.g2072.t1	XP_005846940.1
OG0003070	scaffold21.g2073.t1	XP_005851687.1
OG0003071	scaffold21.g2074.t1	XP_005846838.1
OG0003072	scaffold21.g2075.t1	XP_005847056.1
OG0003073	scaffold21.g2077.t1	XP_005846880.1
OG0003074	scaffold21.g2078.t1	XP_005847057.1
OG0003075	scaffold21.g2080.t1	XP_005847015.1
OG0003076	scaffold21.g2081.t1	XP_005847017.1
OG0003077	scaffold21.g2082.t1	XP_005846839.1
OG0003078	scaffold21.g2089.t1	XP_005847060.1
OG0003079	scaffold21.g2092.t1	XP_005847061.1
OG0003080	scaffold21.g2093.t1	XP_005846883.1
OG0003081	scaffold21.g2094.t1	XP_005847062.1
OG0003082	scaffold21.g2098.t1	XP_005847066.1
OG0003083	scaffold21.g2099.t1	XP_005846886.1
OG0003084	scaffold21.g2100.t1	XP_005847067.1
OG0003085	scaffold21.g2101.t1	XP_005847068.1
OG0003086	scaffold21.g2102.t1	XP_005846888.1
OG0003087	scaffold21.g2103.t1	XP_005847069.1
OG0003088	scaffold21.g2104.t1	XP_005847073.1
OG0003089	scaffold21.g2106.t1	XP_005847074.1
OG0003092	scaffold21.g2111.t1	XP_005846893.1
OG0003093	scaffold21.g2112.t1	XP_005846890.1
OG0003094	scaffold21.g2113.t1	XP_005847072.1
OG0003095	scaffold21.g2114.t1	XP_005846892.1
OG0003096	scaffold21.g2116.t1	XP_005846985.1
OG0003097	scaffold21.g2117.t1	XP_005847195.1
OG0003098	scaffold21.g2120.t1	XP_005846988.1
OG0003099	scaffold21.g2124.t1	XP_005847127.1
OG0003100	scaffold21.g2125.t1	XP_005847133.1
OG0003101	scaffold21.g2126.t1	XP_005847130.1
OG0003102	scaffold21.g2127.t1	XP_005846936.1
OG0003103	scaffold21.g2129.t1	XP_005846926.1
OG0003104	scaffold21.g2130.t1	XP_005847115.1
OG0003105	scaffold21.g2131.t1	XP_005846927.1
OG0003106	scaffold21.g2132.t1	XP_005847116.1
OG0003107	scaffold21.g2133.t1	XP_005846928.1
OG0003108	scaffold21.g2134.t1	XP_005847117.1
OG0003109	scaffold21.g2136.t1	XP_005846929.1
OG0003110	scaffold21.g2137.t1	XP_005847120.1
OG0003111	scaffold21.g2138.t1	XP_005846930.1
OG0003113	scaffold21.g2141.t1	XP_005846933.1
OG0003114	scaffold21.g2143.t1	XP_005846934.1
OG0003115	scaffold21.g2147.t1	XP_005847124.1, XP_005846925.1
OG0003116	scaffold21.g2148.t1	XP_005850303.1
OG0003117	scaffold21.g2149.t1	XP_005845211.1
OG0003118	scaffold21.g2150.t1	XP_005845212.1
OG0003119	scaffold21.g2152.t1	XP_005845047.1
OG0003120	scaffold21.g2153.t1	XP_005845137.1
OG0003121	scaffold21.g2154.t1	XP_005844948.1
OG0003122	scaffold21.g2156.t1	XP_005845140.1
OG0003123	scaffold21.g2157.t1	XP_005845138.1
OG0003124	scaffold21.g2162.t1	XP_005845239.1
OG0003125	scaffold21.g2163.t1	XP_005845123.1
OG0003126	scaffold21.g2173.t1	XP_005844375.1
OG0003127	scaffold21.g2179.t1	XP_005845126.1
OG0003128	scaffold21.g2181.t1	XP_005846836.1
OG0003129	scaffold21.g2182.t1	XP_005846698.1
OG0003130	scaffold21.g2184.t1	XP_005846855.1
OG0003131	scaffold21.g2185.t1	XP_005846833.1
OG0003132	scaffold21.g2187.t1	XP_005846694.1
OG0003133	scaffold21.g2188.t1	XP_005846832.1
OG0003134	scaffold21.g2191.t1	XP_005847037.1
OG0003135	scaffold21.g2193.t1	XP_005844639.1
OG0003136	scaffold21.g2194.t1	XP_005846819.1, XP_005846818.1
OG0003137	scaffold21.g2196.t1	XP_005849661.1
OG0003139	scaffold21.g2205.t1	XP_005846825.1
OG0003140	scaffold21.g2206.t1	XP_005846689.1
OG0003141	scaffold21.g2208.t1	XP_005846827.1
OG0003142	scaffold21.g2213.t1	XP_005846673.1
OG0003143	scaffold21.g2215.t1	XP_005844360.1
OG0003144	scaffold21.g2219.t1	XP_005845150.1
OG0003145	scaffold21.g2220.t1	XP_005846866.1
OG0003146	scaffold21.g2221.t1	XP_005846706.1
OG0003147	scaffold21.g2225.t1	XP_005845151.1
OG0003148	scaffold21.g2228.t1	XP_005845046.1
OG0003149	scaffold10.g2230.t1	XP_005845949.1
OG0003150	scaffold10.g2235.t1	XP_005846084.1
OG0003151	scaffold10.g2236.t1	XP_005845952.1
OG0003152	scaffold10.g2237.t1	XP_005845954.1
OG0003153	scaffold10.g2239.t1	XP_005845953.1
OG0003154	scaffold10.g2242.t1	XP_005846083.1
OG0003155	scaffold10.g2245.t1	XP_005845980.1
OG0003156	scaffold10.g2246.t1	XP_005846115.1
OG0003157	scaffold10.g2247.t1	XP_005845990.1
OG0003158	scaffold10.g2249.t1	XP_005845991.1
OG0003159	scaffold10.g2251.t1	XP_005845992.1
OG0003160	scaffold10.g2252.t1	XP_005845994.1
OG0003161	scaffold10.g2253.t1	XP_005846119.1
OG0003162	scaffold10.g2254.t1	XP_005846177.1
OG0003163	scaffold10.g2255.t1	XP_005846047.1
OG0003164	scaffold10.g2256.t1	XP_005846183.1
OG0003166	scaffold10.g2264.t1	XP_005845956.1
OG0003167	scaffold10.g2265.t1	XP_005846089.1
OG0003168	scaffold10.g2266.t1	XP_005847227.1
OG0003169	scaffold10.g2267.t1	XP_005847194.1
OG0003170	scaffold10.g2269.t1	XP_005845937.1
OG0003171	scaffold10.g2271.t1	XP_005845957.1
OG0003172	scaffold10.g2272.t1	XP_005846171.1
OG0003173	scaffold10.g2274.t1	XP_005846090.1
OG0003174	scaffold10.g2275.t1	XP_005845209.1
OG0003175	scaffold10.g2276.t1	XP_005845958.1
OG0003176	scaffold10.g2278.t1	XP_005850449.1
OG0003177	scaffold10.g2284.t1	XP_005845061.1
OG0003178	scaffold10.g2285.t1, scaffold22.g6075.t1, scaffold1.g5427.t1	XP_005851196.1
OG0003179	scaffold10.g2293.t1	XP_005845968.1
OG0003180	scaffold10.g2296.t1	XP_005845973.1
OG0003182	scaffold10.g2299.t1	XP_005845976.1
OG0003183	scaffold10.g2302.t1	XP_005846112.1
OG0003184	scaffold10.g2303.t1	XP_005845989.1
OG0003185	scaffold10.g2305.t1	XP_005845979.1
OG0003186	scaffold10.g2307.t1	XP_005845977.1
OG0003187	scaffold10.g2308.t1	XP_005846106.1
OG0003189	scaffold10.g2315.t1	XP_005846109.1
OG0003190	scaffold10.g2322.t1	XP_005846142.1
OG0003191	scaffold10.g2324.t1	XP_005846019.1
OG0003192	scaffold10.g2325.t1	XP_005846152.1
OG0003193	scaffold10.g2326.t1	XP_005846154.1
OG0003194	scaffold10.g2327.t1	XP_005846014.1
OG0003195	scaffold10.g2329.t1	XP_005846164.1
OG0003196	scaffold10.g2332.t1	XP_005845978.1
OG0003197	scaffold10.g2333.t1	XP_005845983.1
OG0003198	scaffold10.g2337.t1	XP_005850775.1
OG0003199	scaffold10.g2341.t1	XP_005846028.1
OG0003200	scaffold10.g2342.t1	XP_005846160.1
OG0003201	scaffold10.g2352.t1	XP_005846011.1
OG0003202	scaffold10.g2355.t1	XP_005846128.1
OG0003203	scaffold10.g2358.t1	XP_005846130.1
OG0003205	scaffold10.g2364.t1	XP_005846151.1
OG0003206	scaffold10.g2369.t1	XP_005846924.1
OG0003207	scaffold10.g2370.t1	XP_005846145.1
OG0003208	scaffold10.g2371.t1	XP_005842579.1, XP_005846155.1
OG0003209	scaffold10.g2372.t1	XP_005846168.1
OG0003210	scaffold10.g2373.t1	XP_005852229.1
OG0003211	scaffold10.g2381.t1	XP_005846170.1
OG0003212	scaffold10.g2384.t1	XP_005846169.1
OG0003213	scaffold10.g2385.t1	XP_005846036.1
OG0003214	scaffold10.g2386.t1	XP_005846167.1
OG0003215	scaffold10.g2387.t1	XP_005846034.1
OG0003217	scaffold10.g2396.t1	XP_005845003.1
OG0003218	scaffold10.g2406.t1	XP_005843860.1
OG0003219	scaffold10.g2407.t1	XP_005846060.1
OG0003221	scaffold10.g2409.t1	XP_005846063.1
OG0003222	scaffold10.g2411.t1	XP_005846057.1
OG0003223	scaffold10.g2416.t1	XP_005846207.1
OG0003224	scaffold10.g2419.t1	XP_005846193.1
OG0003225	scaffold10.g2420.t1	XP_005846184.1
OG0003226	scaffold10.g2421.t1	XP_005846052.1
OG0003227	scaffold10.g2425.t1	XP_005846053.1
OG0003229	scaffold10.g2427.t1	XP_005845000.1
OG0003230	scaffold10.g2428.t1	XP_005846182.1
OG0003231	scaffold10.g2437.t1	XP_005844905.1
OG0003232	scaffold10.g2438.t1	XP_005845004.1
OG0003233	scaffold10.g2440.t1	XP_005846204.1
OG0003234	scaffold10.g2441.t1	XP_005846064.1
OG0003235	scaffold10.g2443.t1	XP_005846206.1
OG0003236	scaffold10.g2448.t1	XP_005844920.1
OG0003237	scaffold10.g2457.t1	XP_005849173.1
OG0003238	scaffold10.g2458.t1	XP_005845023.1
OG0003240	scaffold10.g2461.t1	XP_005846059.1
OG0003241	scaffold10.g2462.t1	XP_005846200.1
OG0003242	scaffold10.g2463.t1	XP_005846199.1
OG0003243	scaffold10.g2466.t1	XP_005846066.1
OG0003244	scaffold10.g2482.t1	XP_005845013.1
OG0003245	scaffold10.g2483.t1	XP_005844917.1
OG0003246	scaffold10.g2486.t1	XP_005845014.1
OG0003247	scaffold10.g2493.t1	XP_005844655.1
OG0003248	scaffold6.g2496.t1	XP_005847082.1
OG0003249	scaffold6.g2497.t1	XP_005843618.1
OG0003250	scaffold6.g2498.t1	XP_005847029.1
OG0003251	scaffold6.g2500.t1	XP_005847300.1
OG0003252	scaffold6.g2506.t1	XP_005847387.1
OG0003253	scaffold6.g2509.t1	XP_005843636.1
OG0003255	scaffold6.g2512.t1	XP_005843555.1
OG0003256	scaffold6.g2514.t1	XP_005849893.1
OG0003257	scaffold6.g2516.t1	XP_005846571.1, XP_005851719.1, XP_005846569.1
OG0003258	scaffold6.g2520.t1	XP_005843620.1
OG0003259	scaffold6.g2521.t1	XP_005843570.1
OG0003260	scaffold6.g2522.t1	XP_005843619.1
OG0003261	scaffold6.g2523.t1	XP_005843567.1
OG0003262	scaffold6.g2524.t1	XP_005843565.1
OG0003263	scaffold6.g2527.t1	XP_005846027.1
OG0003264	scaffold6.g2530.t1	XP_005850317.1
OG0003265	scaffold6.g2533.t1	XP_005846851.1
OG0003266	scaffold6.g2537.t1	XP_005843623.1
OG0003267	scaffold6.g2538.t1	XP_005843577.1
OG0003268	scaffold6.g2539.t1	XP_005843625.1
OG0003269	scaffold6.g2541.t1	XP_005847383.1
OG0003270	scaffold6.g2543.t1	XP_005843575.1
OG0003271	scaffold6.g2549.t1	XP_005843611.1
OG0003272	scaffold6.g2553.t1	XP_005847379.1
OG0003273	scaffold6.g2555.t1	XP_005847233.1
OG0003274	scaffold6.g2556.t1	XP_005847376.1
OG0003275	scaffold6.g2558.t1	XP_005847375.1
OG0003276	scaffold6.g2559.t1	XP_005847232.1
OG0003277	scaffold6.g2560.t1	XP_005847372.1
OG0003278	scaffold6.g2561.t1	XP_005847231.1
OG0003279	scaffold6.g2563.t1	XP_005847366.1
OG0003280	scaffold6.g2564.t1	XP_005847368.1
OG0003281	scaffold6.g2565.t1	XP_005847230.1
OG0003282	scaffold6.g2569.t1	XP_005847367.1
OG0003283	scaffold6.g2572.t1	XP_005847364.1
OG0003284	scaffold6.g2573.t1	XP_005847222.1
OG0003285	scaffold6.g2577.t1	XP_005850431.1
OG0003286	scaffold6.g2578.t1	XP_005850179.1
OG0003287	scaffold6.g2581.t1	XP_005850432.1
OG0003288	scaffold6.g2583.t1	XP_005850426.1
OG0003289	scaffold6.g2586.t1	XP_005850411.1
OG0003290	scaffold6.g2589.t1	XP_005850387.1
OG0003291	scaffold6.g2590.t1	XP_005850141.1
OG0003292	scaffold6.g2593.t1	XP_005850396.1
OG0003293	scaffold6.g2596.t1	XP_005850155.1
OG0003294	scaffold6.g2598.t1	XP_005850413.1
OG0003295	scaffold6.g2602.t1	XP_005850163.1
OG0003296	scaffold6.g2605.t1	XP_005850162.1
OG0003297	scaffold6.g2606.t1	XP_005850415.1
OG0003298	scaffold6.g2610.t1	XP_005850417.1
OG0003299	scaffold6.g2613.t1	XP_005850421.1
OG0003300	scaffold6.g2615.t1	XP_005850171.1
OG0003301	scaffold6.g2616.t1	XP_005850419.1
OG0003303	scaffold6.g2624.t1	XP_005850565.1
OG0003304	scaffold6.g2630.t1	XP_005847840.1
OG0003305	scaffold6.g2631.t1	XP_005850339.1
OG0003306	scaffold6.g2633.t1	XP_005843557.1
OG0003307	scaffold6.g2634.t1	XP_005850857.1
OG0003308	scaffold6.g2640.t1	XP_005850850.1
OG0003309	scaffold6.g2641.t1	XP_005850558.1
OG0003310	scaffold6.g2643.t1	XP_005850851.1
OG0003311	scaffold6.g2645.t1	XP_005850638.1
OG0003312	scaffold6.g2647.t1	XP_005850635.1
OG0003313	scaffold6.g2649.t1	XP_005850646.1
OG0003314	scaffold6.g2650.t1	XP_005850975.1
OG0003315	scaffold6.g2657.t1	XP_005850935.1
OG0003316	scaffold3.g6509.t1, scaffold6.g2659.t1	XP_005850934.1
OG0003317	scaffold6.g2660.t1	XP_005850654.1
OG0003318	scaffold6.g2662.t1	XP_005850652.1
OG0003319	scaffold6.g2664.t1	XP_005850650.1
OG0003320	scaffold6.g2665.t1	XP_005850927.1
OG0003321	scaffold6.g2670.t1	XP_005847270.1
OG0003322	scaffold6.g2672.t1	XP_005850700.1
OG0003323	scaffold6.g2675.t1	XP_005850988.1
OG0003324	scaffold6.g2676.t1	XP_005850709.1
OG0003325	scaffold6.g2678.t1	XP_005850987.1
OG0003326	scaffold6.g2680.t1	XP_005850710.1
OG0003327	scaffold6.g2684.t1	XP_005850980.1
OG0003328	scaffold6.g2685.t1	XP_005850711.1
OG0003329	scaffold6.g2688.t1	XP_005850757.1
OG0003330	scaffold6.g2689.t1	XP_005851039.1
OG0003331	scaffold6.g2690.t1	XP_005850990.1
OG0003332	scaffold6.g2693.t1	XP_005847025.1
OG0003334	scaffold6.g2695.t1	XP_005850713.1
OG0003335	scaffold6.g2696.t1	XP_005850991.1
OG0003336	scaffold6.g2697.t1	XP_005850993.1
OG0003337	scaffold6.g2704.t1	XP_005850998.1
OG0003338	scaffold6.g2707.t1	XP_005850720.1
OG0003339	scaffold6.g2709.t1	XP_005851002.1
OG0003340	scaffold6.g2710.t1	XP_005850721.1
OG0003341	scaffold6.g2712.t1	XP_005850716.1
OG0003342	scaffold6.g2715.t1	XP_005850745.1
OG0003343	scaffold6.g2722.t1	XP_005850752.1
OG0003344	scaffold6.g2723.t1	XP_005851035.1
OG0003345	scaffold6.g2724.t1	XP_005850717.1
OG0003347	scaffold6.g2729.t1	XP_005851026.1
OG0003348	scaffold6.g2730.t1	XP_005850665.1
OG0003349	scaffold6.g2732.t1	XP_005850946.1
OG0003350	scaffold6.g2733.t1	XP_005850664.1
OG0003351	scaffold6.g2738.t1	XP_005850666.1
OG0003352	scaffold6.g2739.t1	XP_005850949.1
OG0003353	scaffold6.g2744.t1	XP_005850953.1
OG0003354	scaffold6.g2745.t1	XP_005850670.1
OG0003355	scaffold6.g2747.t1	XP_005850669.1
OG0003356	scaffold6.g2748.t1	XP_005850952.1
OG0003357	scaffold6.g2751.t1	XP_005850956.1
OG0003358	scaffold6.g2757.t1	XP_005850673.1
OG0003359	scaffold6.g2759.t1	XP_005850674.1
OG0003360	scaffold6.g2760.t1	XP_005850960.1
OG0003361	scaffold6.g2762.t1	XP_005850961.1
OG0003362	scaffold6.g2765.t1	XP_005850963.1
OG0003364	scaffold6.g2774.t1	XP_005845100.1
OG0003365	scaffold6.g2775.t1	XP_005852017.1
OG0003366	scaffold6.g2776.t1	XP_005851012.1
OG0003367	scaffold6.g2779.t1	XP_005844547.1
OG0003368	scaffold6.g2780.t1	XP_005851016.1
OG0003369	scaffold6.g2785.t1	XP_005850684.1
OG0003370	scaffold6.g2786.t1	XP_005850968.1
OG0003372	scaffold6.g2792.t1	XP_005850732.1
OG0003373	scaffold6.g2794.t1	XP_005848786.1
OG0003374	scaffold6.g2797.t1	XP_005851023.1
OG0003375	scaffold6.g2800.t1	XP_005851022.1
OG0003376	scaffold6.g2801.t1	XP_005850737.1
OG0003377	scaffold6.g2802.t1	XP_005850734.1
OG0003378	scaffold6.g2803.t1	XP_005851018.1
OG0003379	scaffold6.g2804.t1	XP_005851017.1
OG0003380	scaffold6.g2805.t1	XP_005850733.1
OG0003381	scaffold6.g2813.t1	XP_005850657.1
OG0003382	scaffold6.g2814.t1	XP_005850940.1
OG0003383	scaffold6.g2816.t1	XP_005843478.1
OG0003384	scaffold6.g2822.t1	XP_005850978.1
OG0003385	scaffold6.g2824.t1	XP_005850979.1
OG0003387	scaffold6.g2830.t1	XP_005850703.1
OG0003388	scaffold6.g2831.t1, scaffold4.g4771.t1	XP_005850986.1
OG0003389	scaffold6.g2835.t1	XP_005850688.1
OG0003390	scaffold6.g2840.t1	XP_005850704.1
OG0003391	scaffold6.g2842.t1	XP_005847394.1
OG0003392	scaffold6.g2845.t1	XP_005843608.1
OG0003393	scaffold6.g2846.t1	XP_005851880.1
OG0003394	scaffold6.g2848.t1	XP_005845168.1
OG0003396	scaffold6.g2855.t1	XP_005847238.1
OG0003397	scaffold6.g2857.t1	XP_005850901.1
OG0003398	scaffold6.g2858.t1	XP_005850621.1
OG0003399	scaffold6.g2859.t1	XP_005850900.1
OG0003400	scaffold6.g2862.t1	XP_005850623.1
OG0003401	scaffold6.g2863.t1	XP_005850624.1
OG0003402	scaffold6.g2868.t1	XP_005851010.1
OG0003403	scaffold6.g2875.t1	XP_005850912.1
OG0003404	scaffold6.g2877.t1	XP_005850625.1
OG0003405	scaffold6.g2879.t1	XP_005850626.1
OG0003406	scaffold6.g2882.t1	XP_005848027.1
OG0003408	scaffold6.g2887.t1	XP_005851005.1
OG0003409	scaffold6.g2888.t1	XP_005850724.1
OG0003410	scaffold6.g2889.t1	XP_005850727.1
OG0003411	scaffold6.g2890.t1	XP_005850750.1
OG0003412	scaffold6.g2899.t1	XP_005851037.1
OG0003413	scaffold6.g2900.t1	XP_005850754.1
OG0003414	scaffold6.g2906.t1	XP_005850764.1
OG0003415	scaffold6.g2907.t1	XP_005851052.1
OG0003416	scaffold6.g2910.t1	XP_005851053.1
OG0003417	scaffold6.g2912.t1	XP_005844653.1
OG0003418	scaffold6.g2914.t1	XP_005850767.1
OG0003419	scaffold6.g2915.t1	XP_005851077.1
OG0003420	scaffold6.g2917.t1	XP_005850772.1
OG0003421	scaffold24.g2925.t1	XP_005842977.1
OG0003422	scaffold24.g2930.t1	XP_005845858.1
OG0003423	scaffold24.g2933.t1	XP_005845830.1
OG0003424	scaffold24.g2936.t1	XP_005845838.1
OG0003425	scaffold24.g2938.t1	XP_005845874.1
OG0003426	scaffold24.g2939.t1	XP_005847283.1
OG0003427	scaffold24.g2940.t1	XP_005845763.1
OG0003428	scaffold24.g2941.t1	XP_005845873.1
OG0003429	scaffold24.g2942.t1	XP_005845760.1
OG0003430	scaffold24.g2943.t1	XP_005845871.1
OG0003431	scaffold24.g2948.t1	XP_005845751.1
OG0003432	scaffold24.g2951.t1	XP_005845775.1
OG0003433	scaffold24.g2952.t1	XP_005845831.1
OG0003434	scaffold24.g2956.t1	XP_005845897.1
OG0003435	scaffold24.g2958.t1	XP_005845894.1
OG0003436	scaffold24.g2961.t1	XP_005845889.1
OG0003437	scaffold24.g2964.t1	XP_005845892.1
OG0003438	scaffold24.g2965.t1	XP_005845898.1
OG0003440	scaffold24.g2971.t1	XP_005845784.1
OG0003441	scaffold24.g2972.t1	XP_005845778.1
OG0003442	scaffold24.g2982.t1	XP_005845886.1
OG0003443	scaffold24.g2987.t1	XP_005845766.1
OG0003444	scaffold24.g2989.t1	XP_005845872.1
OG0003445	scaffold24.g2992.t1	XP_005845880.1
OG0003446	scaffold9.g2997.t1	XP_005851678.1
OG0003447	scaffold9.g2998.t1	XP_005852007.1
OG0003448	scaffold9.g2999.t1	XP_005851677.1
OG0003449	scaffold9.g3000.t1	XP_005852006.1
OG0003450	scaffold9.g3002.t1	XP_005852009.1
