Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0003122	PSC68592.1	PRW45428.1
OG0003123	PSC72239.1	PRW56896.1
OG0003124	PSC68607.1	PRW45717.1
OG0003125	PSC68565.1	PRW45733.1
OG0003126	PSC68633.1	PRW45544.1
OG0003127	PSC72241.1	PRW57202.1
OG0003128	PSC75279.1	PRW59063.1
OG0003130	PSC76053.1	PRW58901.1
OG0003132	PSC68932.1	PRW45557.1
OG0003133	PSC68940.1	PRW45401.1
OG0003134	PSC68981.1	PRW45695.1
OG0003135	PSC68966.1	PRW45646.1
OG0003136	PSC73327.1	PRW60993.1
OG0003137	PSC68215.1	PRW45380.1
OG0003138	PSC72131.1	PRW57263.1
OG0003139	PSC75625.1	PRW32581.1
OG0003140	PSC68227.1	PRW45462.1
OG0003141	PSC68206.1	PRW45621.1
OG0003142	PSC67612.1	PRW05765.1
OG0003143	PSC67627.1	PRW05788.1
OG0003144	PSC67639.1	PRW05779.1
OG0003145	PSC67613.1	PRW05786.1
OG0003146	PSC67617.1	PRW05764.1
OG0003147	PSC67635.1	PRW05766.1
OG0003148	PSC71943.1	PRW39074.1
OG0003149	PSC71930.1	PRW39298.1
OG0003150	PSC72029.1	PRW39109.1
OG0003151	PSC72040.1	PRW39344.1
OG0003152	PSC71851.1	PRW39256.1
OG0003153	PSC72039.1	PRW39241.1
OG0003154	PSC71863.1	PRW39184.1
OG0003155	PSC71886.1	PRW39185.1
OG0003156	PSC71911.1	PRW39220.1
OG0003157	PSC67857.1	PRW39127.1
OG0003158	PSC71906.1, PSC71907.1	PRW39237.1
OG0003159	PSC67625.1	PRW05797.1
OG0003160	PSC67616.1	PRW05808.1
OG0003161	PSC75728.1	PRW44615.1
OG0003162	PSC71056.1	PRW57061.1
OG0003163	PSC69226.1	PRW05754.1
OG0003164	PSC67622.1	PRW05768.1
OG0003165	PSC71985.1	PRW39355.1
OG0003166	PSC67611.1	PRW05767.1
OG0003167	PSC73666.1	PRW45719.1
OG0003168	PSC71979.1	PRW05776.1
OG0003169	PSC69818.1	PRW56711.1
OG0003170	PSC68237.1	PRW45627.1
OG0003172	PSC72033.1	PRW05782.1
OG0003173	PSC71941.1	PRW05784.1
OG0003175	PSC71961.1	PRW05758.1
OG0003176	PSC71995.1	PRW39136.1
OG0003177	PSC71876.1	PRW39342.1
OG0003178	PSC71925.1	PRW39293.1
OG0003179	PSC72006.1	PRW39238.1
OG0003180	PSC71853.1	PRW39176.1
OG0003181	PSC72311.1	PRW33537.1
OG0003182	PSC71862.1	PRW39235.1
OG0003183	PSC72021.1	PRW39323.1
OG0003184	PSC71969.1	PRW39212.1
OG0003185	PSC71996.1	PRW39153.1
OG0003186	PSC71999.1	PRW39373.1
OG0003187	PSC71924.1	PRW39218.1
OG0003188	PSC72026.1	PRW39325.1
OG0003189	PSC71978.1	PRW39239.1
OG0003190	PSC72004.1	PRW39174.1
OG0003191	PSC73489.1	PRW60909.1
OG0003192	PSC71974.1	PRW39372.1
OG0003193	PSC71879.1	PRW39058.1
OG0003194	PSC72022.1	PRW39156.1
OG0003195	PSC72028.1	PRW39273.1
OG0003196	PSC72019.1	PRW39320.1
OG0003197	PSC71971.1	PRW39175.1
OG0003198	PSC71955.1	PRW39102.1
OG0003199	PSC72177.1	PRW57272.1
OG0003200	PSC71949.1	PRW39233.1
OG0003202	PSC71923.1	PRW39159.1
OG0003203	PSC74055.1	PRW60773.1
OG0003204	PSC71957.1	PRW39096.1
OG0003205	PSC72025.1	PRW39080.1
OG0003206	PSC71901.1	PRW39244.1
OG0003207	PSC72041.1	PRW39116.1
OG0003208	PSC71945.1	PRW39253.1
OG0003209	PSC67592.1	PRW39140.1
OG0003211	PSC67481.1	PRW20728.1
OG0003212	PSC67669.1	PRW39267.1
OG0003213	PSC67664.1, PSC67665.1	PRW39206.1
OG0003214	PSC67642.1	PRW39352.1
OG0003215	PSC67878.1	PRW39165.1
OG0003216	PSC67663.1	PRW39057.1
OG0003217	PSC67852.1	PRW39221.1
OG0003218	PSC67831.1	PRW39138.1
OG0003219	PSC67836.1	PRW39326.1
OG0003220	PSC67872.1	PRW39396.1
OG0003221	PSC67844.1	PRW39209.1
OG0003222	PSC67583.1	PRW39205.1
OG0003223	PSC67853.1	PRW39124.1
OG0003224	PSC73595.1	PRW39306.1
OG0003225	PSC73346.1	PRW39263.1
OG0003226	PSC67672.1	PRW39305.1
OG0003227	PSC67686.1	PRW39382.1
OG0003228	PSC67678.1	PRW39123.1
OG0003229	PSC67685.1	PRW39092.1
OG0003230	PSC73161.1	PRW57694.1
OG0003231	PSC67646.1	PRW39130.1
OG0003232	PSC67176.1	PRW39294.1
OG0003233	PSC67654.1	PRW39246.1
OG0003234	PSC67175.1	PRW39188.1
OG0003235	PSC67648.1	PRW39309.1
OG0003236	PSC67651.1	PRW39112.1
OG0003237	PSC67262.1	PRW39225.1
OG0003238	PSC67253.1	PRW39251.1
OG0003239	PSC67263.1	PRW39378.1
OG0003240	PSC71701.1	PRW20998.1
OG0003241	PSC72061.1	PRW57509.1
OG0003242	PSC70559.1	PRW61211.1
OG0003243	PSC72248.1	PRW57383.1
OG0003244	PSC70634.1	PRW61618.1
OG0003245	PSC75611.1	PRW44475.1
OG0003246	PSC74027.1	PRW60984.1
OG0003248	PSC70510.1	PRW60963.1
OG0003249	PSC76390.1	PRW58870.1
OG0003251	PSC74348.1	PRW61264.1
OG0003252	PSC74109.1	PRW61052.1
OG0003253	PSC70621.1	PRW61414.1
OG0003254	PSC70521.1	PRW60958.1
OG0003255	PSC70645.1	PRW61101.1
OG0003256	PSC70492.1	PRW61122.1
OG0003257	PSC72426.1	PRW56659.1
OG0003258	PSC72226.1	PRW57110.1
OG0003259	PSC73978.1	PRW61313.1
OG0003260	PSC74119.1	PRW61001.1
OG0003261	PSC74042.1	PRW61011.1
OG0003262	PSC75556.1	PRW44584.1
OG0003263	PSC74163.1	PRW61157.1
OG0003264	PSC70539.1	PRW61073.1
OG0003265	PSC75398.1	PRW44368.1
OG0003266	PSC75812.1	PRW44323.1
OG0003267	PSC75807.1	PRW44594.1
OG0003268	PSC75312.1	PRW44450.1
OG0003269	PSC75822.1	PRW44423.1
OG0003270	PSC75956.1	PRW44303.1
OG0003271	PSC75268.1	PRW44555.1
OG0003272	PSC75975.1	PRW44267.1
OG0003273	PSC75988.1	PRW44545.1
OG0003274	PSC75865.1	PRW44460.1
OG0003275	PSC75544.1	PRW44429.1
OG0003276	PSC75594.1	PRW05810.1
OG0003277	PSC75607.1	PRW05831.1
OG0003278	PSC69769.1	PRW56470.1
OG0003279	PSC69752.1	PRW56513.1
OG0003280	PSC69737.1	PRW56563.1
OG0003281	PSC69727.1	PRW56656.1
OG0003282	PSC68089.1	PRW56595.1
OG0003283	PSC71594.1	PRW56544.1
OG0003284	PSC71565.1	PRW56747.1
OG0003285	PSC71547.1	PRW56441.1
OG0003286	PSC68080.1	PRW56428.1
OG0003287	PSC68118.1	PRW56612.1
OG0003288	PSC68116.1	PRW56847.1
OG0003289	PSC68085.1	PRW56410.1
OG0003290	PSC68107.1	PRW56630.1
OG0003291	PSC68131.1	PRW56403.1
OG0003292	PSC69823.1	PRW56845.1
OG0003293	PSC69739.1	PRW56657.1
OG0003294	PSC69776.1	PRW56671.1
OG0003295	PSC72908.1	PRW56306.1
OG0003296	PSC72731.1	PRW56197.1
OG0003297	PSC70289.1	PRW33760.1
OG0003298	PSC71386.1	PRW56452.1
OG0003299	PSC70618.1	PRW61097.1
OG0003300	PSC72767.1	PRW56128.1
OG0003301	PSC72619.1	PRW56204.1
OG0003302	PSC72697.1	PRW56135.1
OG0003303	PSC72756.1	PRW56344.1
OG0003304	PSC71536.1	PRW55902.1
OG0003305	PSC71543.1	PRW56178.1
OG0003306	PSC71557.1	PRW55975.1
OG0003307	PSC72675.1	PRW56176.1
OG0003308	PSC72642.1	PRW56257.1
OG0003310	PSC72761.1	PRW56129.1
OG0003311	PSC71611.1	PRW56312.1
OG0003312	PSC71607.1	PRW56105.1
OG0003313	PSC71572.1	PRW56114.1
OG0003314	PSC70885.1	PRW44624.1
OG0003315	PSC72654.1	PRW55968.1
OG0003316	PSC72716.1	PRW56009.1
OG0003317	PSC72652.1	PRW56118.1
OG0003318	PSC72783.1	PRW56252.1
OG0003319	PSC72677.1	PRW56126.1
OG0003320	PSC72869.1	PRW56064.1
OG0003321	PSC72887.1	PRW56086.1
OG0003322	PSC69028.1	PRW56172.1
OG0003323	PSC69033.1	PRW56205.1
OG0003324	PSC72780.1	PRW56139.1
OG0003325	PSC72137.1	PRW57360.1
OG0003326	PSC73932.1	PRW45470.1
OG0003327	PSC72717.1	PRW56016.1
OG0003328	PSC72776.1	PRW56327.1
OG0003329	PSC72779.1	PRW56031.1
OG0003330	PSC72699.1	PRW55953.1
OG0003331	PSC72706.1	PRW56297.1
OG0003332	PSC72782.1	PRW56097.1
OG0003333	PSC72823.1	PRW56157.1
OG0003334	PSC72602.1	PRW56115.1
OG0003335	PSC69082.1	PRW56100.1
OG0003336	PSC69021.1	PRW56113.1
OG0003337	PSC69017.1	PRW55987.1
OG0003338	PSC72722.1	PRW56309.1
OG0003340	PSC69066.1	PRW56030.1
OG0003341	PSC71641.1	PRW55928.1
OG0003343	PSC71619.1	PRW55925.1
OG0003345	PSC72883.1	PRW55949.1
OG0003346	PSC72785.1	PRW55895.1
OG0003347	PSC72698.1	PRW56304.1
OG0003348	PSC72777.1	PRW56036.1
OG0003349	PSC72689.1	PRW55958.1
OG0003350	PSC72813.1	PRW56061.1
OG0003351	PSC72899.1	PRW56060.1
OG0003352	PSC72877.1	PRW55930.1
OG0003353	PSC72700.1	PRW56059.1
OG0003354	PSC72885.1	PRW56354.1, PRW56353.1
OG0003355	PSC72884.1	PRW56074.1
OG0003356	PSC76505.1, PSC70674.1	PRW58126.1
OG0003357	PSC73554.1	PRW45440.1
OG0003359	PSC69023.1	PRW55988.1
OG0003360	PSC70221.1	PRW20518.1
OG0003361	PSC69044.1	PRW56156.1
OG0003362	PSC72911.1	PRW56222.1
OG0003363	PSC72612.1	PRW55917.1
OG0003364	PSC73292.1	PRW61467.1, PRW61468.1
OG0003365	PSC69054.1	PRW56233.1
OG0003366	PSC75770.1	PRW60640.1
OG0003367	PSC69046.1	PRW56111.1
OG0003368	PSC69083.1	PRW55982.1
OG0003369	PSC69062.1	PRW56266.1
OG0003370	PSC69034.1	PRW56341.1
OG0003371	PSC68992.1	PRW56026.1
OG0003372	PSC69071.1	PRW56285.1
OG0003373	PSC69006.1	PRW56340.1
OG0003374	PSC71599.1	PRW55981.1
OG0003375	PSC71468.1	PRW55997.1
OG0003376	PSC67921.1	PRW58875.1
OG0003377	PSC72758.1	PRW56062.1
OG0003378	PSC72895.1	PRW55961.1
OG0003379	PSC75390.1	PRW05826.1
OG0003380	PSC72862.1	PRW56333.1
OG0003382	PSC72671.1	PRW56227.1
OG0003383	PSC72712.1	PRW55921.1
OG0003384	PSC75311.1	PRW44431.1
OG0003385	PSC73362.1	PRW61000.1
OG0003386	PSC68949.1	PRW50853.1
OG0003387	PSC73707.1	PRW45526.1
OG0003388	PSC76073.1	PRW18413.1
OG0003389	PSC75597.1	PRW44434.1
OG0003390	PSC71455.1	PRW56325.1
OG0003391	PSC71555.1	PRW56018.1
OG0003392	PSC71637.1	PRW55887.1
OG0003393	PSC71621.1	PRW56101.1
OG0003394	PSC71502.1	PRW56268.1
OG0003395	PSC69004.1	PRW56131.1
OG0003396	PSC71534.1	PRW56182.1
OG0003397	PSC71656.1	PRW56167.1
OG0003398	PSC71491.1	PRW55908.1
OG0003399	PSC76221.1	PRW20944.1
OG0003400	PSC75265.1, PSC69060.1, PSC69059.1	PRW56337.1
OG0003401	PSC69032.1	PRW56020.1
OG0003402	PSC69030.1	PRW55986.1
OG0003403	PSC68993.1	PRW56248.1
OG0003404	PSC69063.1	PRW56332.1
OG0003405	PSC69016.1	PRW56223.1
OG0003406	PSC69072.1	PRW55984.1
OG0003407	PSC69043.1	PRW56198.1
OG0003408	PSC69078.1	PRW56050.1
OG0003409	PSC69031.1	PRW56269.1
OG0003410	PSC71817.1	PRW21028.1
OG0003411	PSC69061.1	PRW55993.1
OG0003412	PSC68639.1	PRW58376.1
OG0003413	PSC69011.1	PRW56130.1
OG0003414	PSC68438.1	PRW59838.1
OG0003415	PSC75042.1	PRW33628.1
OG0003416	PSC74913.1	PRW33509.1
OG0003417	PSC67371.1	PRW33573.1
OG0003418	PSC75091.1	PRW33637.1
OG0003419	PSC73751.1	PRW60807.1
OG0003420	PSC75199.1	PRW33527.1
OG0003421	PSC74869.1	PRW33550.1
OG0003422	PSC67375.1	PRW33694.1
OG0003423	PSC67380.1	PRW33715.1
OG0003424	PSC67391.1	PRW33736.1
OG0003425	PSC69991.1	PRW33665.1
OG0003426	PSC74892.1	PRW33703.1
OG0003427	PSC70078.1	PRW33632.1
OG0003428	PSC70018.1	PRW33745.1
OG0003429	PSC70010.1	PRW33546.1
OG0003430	PSC70004.1	PRW33551.1
OG0003431	PSC70092.1	PRW33751.1
OG0003432	PSC70093.1, PSC69981.1	PRW33585.1
OG0003433	PSC70094.1	PRW33646.1
OG0003434	PSC70048.1	PRW33528.1
OG0003435	PSC75135.1	PRW33535.1
OG0003436	PSC75081.1	PRW33729.1
OG0003437	PSC75062.1	PRW33746.1
OG0003438	PSC75039.1	PRW33626.1
OG0003439	PSC74959.1	PRW60783.1
OG0003440	PSC75000.1	PRW60329.1
OG0003441	PSC75094.1	PRW60469.1
OG0003442	PSC74816.1	PRW60314.1
OG0003443	PSC74893.1	PRW60191.1
OG0003444	PSC74855.1	PRW60708.1
OG0003445	PSC68423.1	PRW60426.1
OG0003446	PSC68146.1	PRW60410.1
OG0003447	PSC68167.1	PRW60325.1
OG0003449	PSC67346.1	PRW60227.1
OG0003450	PSC69692.1	PRW59854.1
OG0003451	PSC72222.1	PRW57424.1
OG0003452	PSC74813.1	PRW60623.1
OG0003453	PSC68174.1	PRW60717.1
OG0003454	PSC68162.1	PRW60656.1
OG0003455	PSC67349.1	PRW60362.1
OG0003456	PSC67338.1	PRW60472.1
OG0003457	PSC67350.1	PRW60228.1
OG0003458	PSC74820.1	PRW60506.1
OG0003459	PSC75061.1	PRW60415.1
OG0003460	PSC75028.1	PRW60452.1
OG0003461	PSC75099.1	PRW60363.1
OG0003462	PSC74815.1	PRW60390.1
OG0003463	PSC74866.1	PRW60674.1
OG0003465	PSC68476.1	PRW05953.1
OG0003466	PSC67297.1	PRW60983.1
OG0003467	PSC74966.1	PRW60230.1
OG0003469	PSC74885.1	PRW60868.1
OG0003470	PSC75040.1	PRW60491.1
OG0003471	PSC75158.1	PRW60705.1
OG0003472	PSC75194.1	PRW60645.1
OG0003473	PSC75049.1	PRW60298.1
OG0003474	PSC76207.1	PRW32657.1
OG0003476	PSC75161.1	PRW60846.1
OG0003477	PSC75190.1	PRW60435.1
OG0003478	PSC74880.1	PRW60315.1
OG0003479	PSC74903.1	PRW60614.1
OG0003480	PSC75226.1	PRW60275.1
OG0003481	PSC74942.1	PRW60726.1
OG0003482	PSC74891.1	PRW60713.1
OG0003483	PSC74972.1	PRW60580.1
OG0003484	PSC74870.1	PRW60724.1
OG0003485	PSC68157.1	PRW60349.1
OG0003487	PSC68154.1	PRW60266.1
OG0003488	PSC72547.1	PRW56393.1
OG0003489	PSC72251.1	PRW57136.1
OG0003490	PSC74910.1	PRW60564.1
OG0003491	PSC75008.1	PRW60809.1
OG0003492	PSC74844.1	PRW60194.1
OG0003493	PSC75014.1	PRW60433.1
OG0003494	PSC75129.1	PRW60279.1
OG0003495	PSC74821.1	PRW60813.1
OG0003496	PSC75147.1	PRW60262.1
OG0003497	PSC74860.1	PRW60821.1
OG0003498	PSC71962.1	PRW05785.1
OG0003499	PSC72338.1	PRW57529.1
OG0003501	PSC75641.1	PRW44628.1
OG0003502	PSC68478.1	PRW60644.1
OG0003503	PSC68449.1	PRW60657.1
OG0003504	PSC68443.1	PRW60774.1
OG0003505	PSC68479.1	PRW60406.1
OG0003506	PSC68431.1	PRW60527.1
OG0003507	PSC68435.1	PRW60269.1
OG0003508	PSC69745.1	PRW56640.1
OG0003509	PSC70305.1	PRW44939.1
OG0003510	PSC68407.1	PRW60420.1
OG0003512	PSC68486.1	PRW60208.1
OG0003513	PSC68408.1	PRW60264.1
OG0003514	PSC67342.1	PRW60294.1
OG0003515	PSC67344.1	PRW60369.1
OG0003516	PSC75584.1	PRW44430.1
OG0003518	PSC74905.1	PRW60675.1
OG0003519	PSC75029.1	PRW60488.1
OG0003520	PSC74879.1	PRW60318.1
OG0003521	PSC75167.1	PRW60493.1
OG0003522	PSC74993.1	PRW60512.1
OG0003523	PSC69390.1	PRW60276.1
OG0003524	PSC69324.1	PRW60676.1
OG0003525	PSC74980.1	PRW60825.1
OG0003526	PSC68158.1	PRW60543.1
OG0003527	PSC68147.1	PRW60837.1
OG0003528	PSC68151.1	PRW60636.1
OG0003530	PSC71344.1	PRW59453.1
OG0003531	PSC70700.1	PRW20167.1
OG0003532	PSC74953.1	PRW60784.1
OG0003533	PSC69690.1	PRW59746.1
OG0003534	PSC74814.1	PRW60819.1
OG0003535	PSC69429.1	PRW60586.1
OG0003536	PSC73347.1	PRW33561.1
OG0003537	PSC68148.1	PRW60316.1
OG0003538	PSC75645.1	PRW59254.1
OG0003539	PSC74135.1	PRW60702.1
OG0003540	PSC74194.1	PRW60291.1
OG0003541	PSC73997.1	PRW60607.1
OG0003542	PSC74295.1	PRW60254.1
OG0003543	PSC75479.1	PRW44349.1
OG0003544	PSC75073.1	PRW60394.1
OG0003545	PSC74970.1	PRW60740.1
OG0003546	PSC75074.1	PRW60322.1
OG0003547	PSC74853.1	PRW60304.1
OG0003548	PSC74957.1	PRW60588.1
OG0003549	PSC73283.1	PRW61083.1
OG0003550	PSC73382.1	PRW61310.1
OG0003551	PSC75230.1	PRW61476.1
OG0003552	PSC70491.1	PRW60872.1
OG0003553	PSC73297.1	PRW61271.1
OG0003554	PSC70632.1	PRW61547.1
OG0003555	PSC70059.1	PRW20526.1, PRW20525.1
OG0003556	PSC70649.1	PRW61497.1
OG0003557	PSC73731.1	PRW45501.1
OG0003558	PSC70630.1	PRW61263.1
OG0003559	PSC73254.1	PRW61207.1
OG0003560	PSC73328.1	PRW61272.1
OG0003561	PSC74689.1	PRW60927.1
OG0003562	PSC75219.1	PRW61420.1
OG0003563	PSC75075.1	PRW61028.1
OG0003564	PSC73466.1	PRW61378.1
OG0003565	PSC71747.1	PRW21040.1
OG0003566	PSC74452.1	PRW60985.1
OG0003567	PSC67428.1	PRW33965.1
OG0003568	PSC74302.1	PRW61067.1
OG0003569	PSC76168.1	PRW34048.1
OG0003570	PSC67438.1	PRW33958.1
OG0003571	PSC67420.1	PRW33809.1
OG0003572	PSC67427.1	PRW33828.1
OG0003573	PSC67449.1	PRW33889.1
OG0003574	PSC67421.1	PRW34061.1
OG0003575	PSC67444.1	PRW33970.1
OG0003576	PSC76990.1	PRW33940.1
OG0003577	PSC68605.1	PRW45706.1
OG0003578	PSC72998.1	PRW57863.1
OG0003579	PSC67377.1	PRW33540.1
OG0003580	PSC73183.1	PRW57595.1
OG0003581	PSC73040.1	PRW57901.1
OG0003582	PSC73036.1	PRW57743.1
OG0003583	PSC73026.1	PRW57799.1
OG0003584	PSC73137.1	PRW57573.1
OG0003585	PSC72970.1	PRW57867.1
OG0003586	PSC73022.1	PRW57770.1
OG0003587	PSC76512.1	PRW33944.1
OG0003588	PSC76991.1	PRW34015.1
OG0003589	PSC76282.1	PRW56447.1
OG0003590	PSC76228.1	PRW33848.1
OG0003591	PSC72312.1	PRW57062.1
OG0003592	PSC72250.1	PRW56970.1
OG0003593	PSC76737.1	PRW34077.1
OG0003594	PSC76652.1	PRW34094.1
OG0003596	PSC76066.1	PRW33934.1
OG0003597	PSC73611.1	PRW45571.1
OG0003598	PSC76974.1	PRW33797.1
OG0003599	PSC76074.1	PRW33937.1
OG0003600	PSC77070.1	PRW33821.1
OG0003601	PSC77003.1	PRW33912.1
OG0003602	PSC76609.1	PRW34101.1
OG0003604	PSC76987.1	PRW33874.1
OG0003605	PSC76034.1	PRW33817.1
OG0003606	PSC76876.1	PRW33903.1
OG0003607	PSC73339.1	PRW61507.1
OG0003608	PSC76382.1	PRW34032.1
OG0003610	PSC69784.1	PRW05855.1
OG0003611	PSC76393.1	PRW34044.1
OG0003612	PSC76995.1	PRW33967.1
OG0003613	PSC76391.1	PRW33935.1
OG0003614	PSC73015.1	PRW57886.1
OG0003615	PSC73090.1	PRW57910.1
OG0003616	PSC76095.1	PRW33758.1
OG0003617	PSC76577.1	PRW34086.1
OG0003618	PSC76341.1	PRW33925.1
OG0003619	PSC76917.1	PRW34078.1
OG0003620	PSC76508.1	PRW33772.1
OG0003621	PSC76119.1	PRW33968.1
OG0003622	PSC75868.1	PRW32636.1
OG0003623	PSC76785.1	PRW33781.1
OG0003624	PSC76688.1	PRW34059.1
OG0003625	PSC76636.1	PRW34005.1
OG0003626	PSC76744.1	PRW33969.1
OG0003627	PSC73125.1	PRW58016.1
OG0003628	PSC76800.1	PRW34023.1
OG0003629	PSC72988.1	PRW58029.1
OG0003630	PSC73203.1	PRW57554.1
OG0003631	PSC73140.1	PRW57767.1
OG0003632	PSC73105.1	PRW57852.1
OG0003633	PSC73146.1, PSC73147.1	PRW57835.1
OG0003634	PSC76104.1	PRW57780.1
OG0003635	PSC76410.1	PRW57876.1
OG0003637	PSC73722.1	PRW60445.1
OG0003638	PSC73361.1	PRW57725.1
OG0003639	PSC76070.1	PRW58000.1
OG0003640	PSC73210.1	PRW58007.1
OG0003641	PSC73113.1	PRW57839.1
OG0003642	PSC76730.1	PRW33876.1
OG0003643	PSC76278.1	PRW57945.1
OG0003644	PSC76108.1	PRW57894.1
OG0003645	PSC73152.1	PRW57735.1
OG0003646	PSC73109.1	PRW57689.1
OG0003647	PSC73057.1	PRW57663.1
OG0003648	PSC70821.1	PRW20209.1
OG0003649	PSC73174.1	PRW57825.1
OG0003651	PSC73032.1	PRW57742.1
OG0003652	PSC73008.1	PRW57841.1
OG0003654	PSC73205.1	PRW57772.1
OG0003655	PSC73085.1	PRW58032.1
OG0003656	PSC72946.1	PRW57668.1
OG0003657	PSC73003.1	PRW57544.1
OG0003658	PSC72184.1	PRW57458.1
OG0003659	PSC73051.1	PRW57883.1
OG0003660	PSC73122.1	PRW57895.1
OG0003661	PSC73176.1	PRW57897.1
OG0003662	PSC72993.1	PRW57927.1
OG0003663	PSC69156.1	PRW57549.1
OG0003664	PSC73189.1	PRW57696.1
OG0003665	PSC73042.1	PRW57757.1
OG0003667	PSC73023.1	PRW57624.1
OG0003668	PSC76337.1	PRW34031.1
OG0003669	PSC76543.1	PRW34060.1
OG0003670	PSC76600.1	PRW33918.1
OG0003671	PSC76538.1	PRW34085.1
OG0003672	PSC69388.1	PRW45506.1
OG0003673	PSC74662.1	PRW20698.1
OG0003674	PSC71567.1	PRW56743.1, PRW58123.1
OG0003675	PSC74586.1	PRW57567.1
OG0003676	PSC69150.1	PRW57969.1
OG0003677	PSC69176.1	PRW57692.1
OG0003678	PSC69122.1	PRW57647.1
OG0003679	PSC69173.1	PRW57758.1
OG0003680	PSC69138.1	PRW57699.1
OG0003681	PSC69084.1	PRW57649.1
OG0003682	PSC69154.1	PRW57707.1
OG0003683	PSC69147.1	PRW57603.1
OG0003684	PSC67193.1	PRW59232.1
OG0003685	PSC76946.1	PRW50756.1
OG0003686	PSC69149.1	PRW57912.1
OG0003687	PSC69099.1	PRW58015.1
OG0003688	PSC68799.1	PRW20746.1
OG0003689	PSC68757.1	PRW20621.1
OG0003690	PSC68802.1	PRW20695.1
OG0003691	PSC68559.1	PRW60697.1
OG0003692	PSC68533.1	PRW60855.1
OG0003693	PSC73979.1	PRW60593.1
OG0003694	PSC74141.1	PRW60760.1
OG0003695	PSC68546.1	PRW60741.1
OG0003696	PSC68556.1	PRW60422.1
OG0003697	PSC68542.1	PRW60587.1
OG0003698	PSC74308.1	PRW60630.1
OG0003699	PSC74054.1	PRW60647.1
OG0003700	PSC74147.1	PRW60867.1
OG0003701	PSC68551.1	PRW60529.1
OG0003702	PSC68504.1	PRW60752.1
OG0003703	PSC68534.1	PRW60226.1
OG0003704	PSC74315.1	PRW60577.1
OG0003705	PSC71704.1	PRW21127.1
OG0003706	PSC74076.1	PRW60485.1
OG0003707	PSC74102.1	PRW60575.1
OG0003708	PSC73335.1	PRW60933.1
OG0003709	PSC68505.1	PRW60283.1
OG0003710	PSC73991.1	PRW60814.1
OG0003711	PSC69440.1	PRW60321.1
OG0003712	PSC68528.1	PRW60335.1
OG0003713	PSC68525.1	PRW60662.1
OG0003714	PSC68788.1	PRW60412.1
OG0003715	PSC67577.1	PRW60216.1
OG0003718	PSC69312.1	PRW60414.1
OG0003719	PSC67924.1	PRW60379.1
OG0003720	PSC67936.1	PRW60455.1
OG0003721	PSC67892.1	PRW60615.1
OG0003722	PSC67556.1	PRW60339.1
OG0003723	PSC67554.1	PRW60596.1
OG0003724	PSC67568.1, PSC67559.1	PRW60365.1
OG0003725	PSC68632.1	PRW60277.1
OG0003726	PSC68918.1	PRW60858.1
OG0003727	PSC67574.1	PRW60613.1
OG0003728	PSC74260.1	PRW60798.1
OG0003730	PSC74117.1	PRW60775.1
OG0003731	PSC74256.1	PRW60641.1
OG0003732	PSC69338.1	PRW60728.1
OG0003733	PSC74035.1	PRW60492.1
OG0003734	PSC67557.1	PRW60199.1
OG0003735	PSC68984.1	PRW60440.1
OG0003736	PSC68964.1	PRW60688.1
OG0003737	PSC68923.1	PRW60530.1
OG0003738	PSC74259.1	PRW60195.1
OG0003739	PSC74040.1	PRW60510.1
OG0003740	PSC68967.1	PRW60734.1
OG0003741	PSC74043.1	PRW60458.1
OG0003742	PSC74091.1	PRW60476.1
OG0003743	PSC74190.1	PRW60347.1
OG0003745	PSC74094.1	PRW60344.1
OG0003746	PSC69317.1	PRW60747.1
OG0003747	PSC75163.1	PRW60842.1
OG0003748	PSC69372.1	PRW60794.1
OG0003749	PSC68961.1	PRW60671.1
OG0003750	PSC68951.1	PRW60721.1
OG0003751	PSC74152.1	PRW60507.1
OG0003752	PSC70663.1	PRW56964.1
OG0003753	PSC74627.1	PRW20652.1
OG0003754	PSC74460.1	PRW20627.1
OG0003755	PSC74699.1	PRW20685.1
OG0003756	PSC74433.1	PRW20632.1
OG0003757	PSC74718.1	PRW20597.1
OG0003758	PSC74284.1	PRW61018.1
OG0003759	PSC74376.1	PRW20369.1
OG0003760	PSC68039.1	PRW59600.1
OG0003761	PSC68911.1	PRW58482.1
OG0003762	PSC74467.1	PRW20713.1
OG0003763	PSC70563.1	PRW60961.1
OG0003764	PSC69270.1	PRW33120.1
OG0003765	PSC74395.1	PRW20658.1
OG0003766	PSC73762.1	PRW51045.1
OG0003767	PSC68774.1	PRW20667.1
OG0003768	PSC70594.1	PRW61586.1
OG0003769	PSC76275.1	PRW20634.1
OG0003770	PSC67230.1	PRW20602.1
OG0003771	PSC67204.1	PRW20758.1
OG0003773	PSC74505.1	PRW20744.1
OG0003774	PSC68762.1	PRW20674.1
OG0003775	PSC68742.1	PRW20763.1
OG0003776	PSC76326.1	PRW32663.1
OG0003777	PSC72214.1	PRW57176.1
OG0003778	PSC74443.1	PRW20757.1
OG0003779	PSC71693.1	PRW21111.1
OG0003780	PSC68797.1	PRW20655.1
OG0003781	PSC72956.1	PRW33082.1
OG0003782	PSC74721.1	PRW20637.1
OG0003783	PSC71922.1	PRW58857.1
OG0003785	PSC67415.1	PRW44978.1
OG0003786	PSC68223.1	PRW45561.1
