Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0003537	PSC68148.1	KAI3429396.1
OG0003538	PSC75645.1	KAI3439047.1
OG0003539	PSC74135.1	KAI3429783.1
OG0003540	PSC74194.1	KAI3429756.1
OG0003541	PSC73997.1	KAI3429775.1
OG0003542	PSC74295.1	KAI3429782.1
OG0003543	PSC75479.1	KAI3428728.1
OG0003544	PSC75073.1	KAI3429414.1
OG0003545	PSC74970.1	KAI3429417.1
OG0003546	PSC75074.1	KAI3429412.1
OG0003547	PSC74853.1	KAI3429406.1
OG0003548	PSC74957.1	KAI3429407.1
OG0003549	PSC73283.1	KAI3432383.1
OG0003550	PSC73382.1	KAI3432388.1
OG0003551	PSC75230.1	KAI3424152.1
OG0003552	PSC70491.1	KAI3429518.1
OG0003553	PSC73297.1	KAI3432414.1
OG0003554	PSC70632.1	KAI3432876.1
OG0003556	PSC70649.1	KAI3432872.1
OG0003557	PSC73731.1	KAI3424858.1
OG0003558	PSC70630.1	KAI3424747.1
OG0003559	PSC73254.1	KAI3432411.1
OG0003560	PSC73328.1	KAI3429689.1
OG0003561	PSC74689.1	KAI3432767.1
OG0003562	PSC75219.1	KAI3432773.1
OG0003563	PSC75075.1	KAI3432778.1
OG0003564	PSC73466.1	KAI3432423.1
OG0003565	PSC71747.1	KAI3430757.1
OG0003566	PSC74452.1	KAI3432766.1
OG0003567	PSC67428.1	KAI3434994.1
OG0003568	PSC74302.1	KAI3426004.1
OG0003569	PSC76168.1	KAI3435001.1
OG0003570	PSC67438.1	KAI3435029.1
OG0003571	PSC67420.1	KAI3435026.1
OG0003572	PSC67427.1	KAI3435003.1
OG0003573	PSC67449.1	KAI3435015.1
OG0003574	PSC67421.1	KAI3435024.1
OG0003575	PSC67444.1	KAI3435023.1
OG0003576	PSC76990.1	KAI3434991.1
OG0003577	PSC68605.1	KAI3424883.1
OG0003578	PSC72998.1	KAI3434785.1
OG0003579	PSC67377.1	KAI3425380.1
OG0003580	PSC73183.1	KAI3434778.1
OG0003581	PSC73040.1	KAI3434869.1
OG0003582	PSC73036.1	KAI3434789.1
OG0003583	PSC73026.1	KAI3434788.1
OG0003584	PSC73137.1	KAI3434799.1
OG0003585	PSC72970.1	KAI3434797.1
OG0003586	PSC73022.1	KAI3434794.1
OG0003587	PSC76512.1	KAI3434876.1
OG0003588	PSC76991.1	KAI3434885.1
OG0003589	PSC76282.1	KAI3428034.1
OG0003590	PSC76228.1	KAI3434875.1
OG0003591	PSC72312.1	KAI3438283.1
OG0003592	PSC72250.1	KAI3438281.1
OG0003593	PSC76737.1	KAI3434891.1
OG0003594	PSC76652.1	KAI3434890.1
OG0003596	PSC76066.1	KAI3434883.1
OG0003597	PSC73611.1	KAI3424838.1
OG0003598	PSC76974.1	KAI3434905.1
OG0003599	PSC76074.1	KAI3434904.1
OG0003600	PSC77070.1	KAI3434924.1
OG0003601	PSC77003.1	KAI3434919.1
OG0003602	PSC76609.1	KAI3434921.1
OG0003604	PSC76987.1	KAI3434922.1
OG0003605	PSC76034.1	KAI3434853.1
OG0003606	PSC76876.1	KAI3434916.1
OG0003607	PSC73339.1	KAI3427065.1
OG0003608	PSC76382.1	KAI3434860.1
OG0003610	PSC69784.1	KAI3428829.1
OG0003611	PSC76393.1	KAI3434908.1
OG0003612	PSC76995.1	KAI3434911.1
OG0003613	PSC76391.1	KAI3434858.1
OG0003614	PSC73015.1	KAI3434815.1
OG0003615	PSC73090.1	KAI3434810.1
OG0003616	PSC76095.1	KAI3434926.1
OG0003617	PSC76577.1	KAI3434928.1
OG0003618	PSC76341.1	KAI3434945.1
OG0003619	PSC76917.1	KAI3434943.1
OG0003620	PSC76508.1	KAI3434931.1
OG0003621	PSC76119.1	KAI3434930.1
OG0003622	PSC75868.1	KAI3423870.1
OG0003623	PSC76785.1	KAI3434948.1
OG0003624	PSC76688.1	KAI3434947.1
OG0003625	PSC76636.1	KAI3434950.1
OG0003626	PSC76744.1	KAI3434951.1
OG0003627	PSC73125.1	KAI3434724.1
OG0003628	PSC76800.1	KAI3434954.1
OG0003629	PSC72988.1	KAI3434689.1
OG0003630	PSC73203.1	KAI3434690.1
OG0003631	PSC73140.1	KAI3434686.1
OG0003632	PSC73105.1	KAI3434803.1
OG0003633	PSC73146.1, PSC73147.1	KAI3434817.1
OG0003634	PSC76104.1	KAI3434843.1
OG0003635	PSC76410.1	KAI3434832.1
OG0003636	PSC76384.1	KAI3434842.1, KAI3434841.1
OG0003637	PSC73722.1	KAI3433445.1
OG0003638	PSC73361.1	KAI3434831.1
OG0003639	PSC76070.1	KAI3434833.1
OG0003640	PSC73210.1	KAI3434707.1
OG0003641	PSC73113.1	KAI3434697.1
OG0003642	PSC76730.1	KAI3434959.1
OG0003643	PSC76278.1	KAI3434835.1
OG0003644	PSC76108.1	KAI3434836.1
OG0003645	PSC73152.1	KAI3434720.1
OG0003646	PSC73109.1	KAI3434718.1
OG0003647	PSC73057.1	KAI3434717.1
OG0003648	PSC70821.1	KAI3430988.1
OG0003649	PSC73174.1	KAI3434664.1
OG0003650	PSC73100.1, PSC73101.1	KAI3434693.1
OG0003651	PSC73032.1	KAI3434691.1
OG0003652	PSC73008.1	KAI3434708.1
OG0003653	PSC72987.1	KAI3434673.1
OG0003654	PSC73205.1	KAI3434671.1
OG0003655	PSC73085.1	KAI3434761.1
OG0003656	PSC72946.1	KAI3434679.1
OG0003657	PSC73003.1	KAI3434677.1
OG0003658	PSC72184.1	KAI3438289.1
OG0003659	PSC73051.1	KAI3434721.1
OG0003660	PSC73122.1	KAI3434716.1
OG0003661	PSC73176.1	KAI3434711.1
OG0003662	PSC72993.1	KAI3434674.1
OG0003663	PSC69156.1	KAI3434669.1
OG0003665	PSC73042.1	KAI3434751.1
OG0003666	PSC73106.1	KAI3434752.1, KAI3434753.1
OG0003667	PSC73023.1	KAI3434747.1
OG0003668	PSC76337.1	KAI3434967.1
OG0003669	PSC76543.1	KAI3434970.1
OG0003670	PSC76600.1	KAI3434971.1
OG0003671	PSC76538.1	KAI3434968.1
OG0003672	PSC69388.1	KAI3425076.1
OG0003673	PSC74662.1	KAI3434469.1
OG0003674	PSC71567.1	KAI3428276.1
OG0003675	PSC74586.1	KAI3437946.1
OG0003676	PSC69150.1	KAI3434626.1
OG0003677	PSC69176.1	KAI3434633.1
OG0003678	PSC69122.1	KAI3434632.1
OG0003679	PSC69173.1	KAI3434631.1
OG0003680	PSC69138.1	KAI3434650.1
OG0003681	PSC69084.1	KAI3434652.1
OG0003682	PSC69154.1	KAI3434651.1
OG0003683	PSC69147.1	KAI3434599.1
OG0003684	PSC67193.1	KAI3439136.1
OG0003685	PSC76946.1	KAI3427068.1
OG0003686	PSC69149.1	KAI3434604.1
OG0003687	PSC69099.1	KAI3434608.1
OG0003688	PSC68799.1	KAI3434566.1
OG0003689	PSC68757.1	KAI3434567.1
OG0003690	PSC68802.1	KAI3434506.1
OG0003691	PSC68559.1	KAI3429822.1
OG0003692	PSC68533.1	KAI3429828.1
OG0003693	PSC73979.1	KAI3429788.1
OG0003694	PSC74141.1	KAI3429787.1
OG0003695	PSC68546.1	KAI3429829.1
OG0003696	PSC68556.1	KAI3429870.1
OG0003697	PSC68542.1	KAI3429869.1
OG0003698	PSC74308.1	KAI3429799.1
OG0003699	PSC74054.1	KAI3429800.1
OG0003700	PSC74147.1	KAI3429797.1
OG0003701	PSC68551.1	KAI3429865.1
OG0003702	PSC68504.1	KAI3429843.1
OG0003703	PSC68534.1	KAI3429849.1
OG0003704	PSC74315.1	KAI3429818.1
OG0003705	PSC71704.1	KAI3430865.1
OG0003706	PSC74076.1	KAI3429801.1
OG0003707	PSC74102.1	KAI3429802.1
OG0003708	PSC73335.1	KAI3432226.1
OG0003709	PSC68505.1	KAI3429890.1
OG0003710	PSC73991.1	KAI3429765.1
OG0003711	PSC69440.1	KAI3429824.1
OG0003712	PSC68528.1	KAI3429836.1
OG0003713	PSC68525.1	KAI3429835.1
OG0003714	PSC68788.1	KAI3429630.1
OG0003715	PSC67577.1	KAI3429638.1
OG0003718	PSC69312.1	KAI3429600.1
OG0003719	PSC67924.1	KAI3429619.1
OG0003720	PSC67936.1	KAI3429615.1
OG0003721	PSC67892.1	KAI3429613.1
OG0003722	PSC67556.1	KAI3429657.1
OG0003723	PSC67554.1	KAI3429662.1
OG0003724	PSC67568.1, PSC67559.1	KAI3429668.1
OG0003725	PSC68632.1	KAI3429669.1
OG0003726	PSC68918.1	KAI3429699.1
OG0003727	PSC67574.1	KAI3429658.1
OG0003728	PSC74260.1	KAI3429721.1
OG0003729	PSC74212.1	KAI3429726.1, KAI3429727.1
OG0003730	PSC74117.1	KAI3429724.1
OG0003731	PSC74256.1	KAI3429723.1
OG0003732	PSC69338.1	KAI3429570.1
OG0003733	PSC74035.1	KAI3429713.1
OG0003734	PSC67557.1	KAI3429660.1
OG0003735	PSC68984.1	KAI3429675.1
OG0003736	PSC68964.1	KAI3429705.1
OG0003737	PSC68923.1	KAI3429702.1
OG0003738	PSC74259.1	KAI3429735.1
OG0003739	PSC74040.1	KAI3429736.1
OG0003740	PSC68967.1	KAI3429707.1
OG0003741	PSC74043.1	KAI3429741.1
OG0003742	PSC74091.1	KAI3429740.1
OG0003743	PSC74190.1	KAI3429730.1
OG0003745	PSC74094.1	KAI3429738.1
OG0003746	PSC69317.1	KAI3429565.1
OG0003747	PSC75163.1	KAI3429564.1
OG0003748	PSC69372.1	KAI3429578.1
OG0003749	PSC68961.1	KAI3429683.1
OG0003750	PSC68951.1	KAI3429693.1
OG0003751	PSC74152.1	KAI3429711.1
OG0003752	PSC70663.1	KAI3437875.1
OG0003753	PSC74627.1	KAI3434492.1
OG0003754	PSC74460.1	KAI3434493.1
OG0003755	PSC74699.1	KAI3434466.1
OG0003756	PSC74433.1	KAI3434495.1
OG0003757	PSC74718.1	KAI3434559.1
OG0003758	PSC74284.1	KAI3424057.1
OG0003759	PSC74376.1	KAI3424300.1
OG0003760	PSC68039.1	KAI3436367.1
OG0003761	PSC68911.1	KAI3433635.1
OG0003762	PSC74467.1	KAI3434530.1
OG0003763	PSC70563.1	KAI3438928.1
OG0003764	PSC69270.1	KAI3431799.1
OG0003765	PSC74395.1	KAI3434498.1
OG0003766	PSC73762.1	KAI3427269.1
OG0003767	PSC68774.1	KAI3434486.1
OG0003768	PSC70594.1	KAI3433812.1
OG0003769	PSC76275.1	KAI3424331.1
OG0003770	PSC67230.1	KAI3434377.1
OG0003771	PSC67204.1	KAI3434395.1
OG0003773	PSC74505.1	KAI3434502.1
OG0003774	PSC68762.1	KAI3434454.1
OG0003775	PSC68742.1	KAI3434443.1
OG0003776	PSC76326.1	KAI3423916.1
OG0003777	PSC72214.1	KAI3438078.1
OG0003778	PSC74443.1	KAI3434433.1
OG0003779	PSC71693.1	KAI3430748.1
OG0003780	PSC68797.1	KAI3434432.1
OG0003781	PSC72956.1	KAI3430464.1
OG0003782	PSC74721.1	KAI3434535.1
OG0003783	PSC71922.1	KAI3438470.1
OG0003784	PSC70236.1, PSC70237.1	KAI3430220.1
OG0003785	PSC67415.1	KAI3426201.1
OG0003786	PSC68223.1	KAI3424746.1
OG0003787	PSC70973.1	KAI3426441.1
OG0003788	PSC70854.1	KAI3426440.1
OG0003789	PSC67769.1	KAI3426437.1
OG0003791	PSC75229.1	KAI3428676.1
OG0003792	PSC70896.1	KAI3426454.1
OG0003793	PSC70853.1	KAI3426455.1
OG0003794	PSC73242.1	KAI3426191.1
OG0003795	PSC73507.1	KAI3426192.1
OG0003796	PSC67534.1	KAI3426150.1
OG0003797	PSC73345.1	KAI3426151.1
OG0003800	PSC73475.1	KAI3426157.1
OG0003801	PSC73352.1	KAI3426163.1
OG0003802	PSC70845.1	KAI3426401.1
OG0003803	PSC72076.1	KAI3438165.1
OG0003804	PSC72992.1	KAI3430463.1
OG0003805	PSC75249.1	KAI3428680.1
OG0003807	PSC76595.1	KAI3436202.1
OG0003808	PSC67524.1	KAI3426111.1
OG0003809	PSC70967.1	KAI3426398.1
OG0003810	PSC67512.1	KAI3426123.1
OG0003811	PSC72244.1	KAI3438174.1
OG0003813	PSC67520.1	KAI3426108.1
OG0003814	PSC67525.1	KAI3426138.1
OG0003815	PSC67893.1	KAI3437757.1
OG0003816	PSC70947.1	KAI3428648.1
OG0003817	PSC73295.1	KAI3426155.1
OG0003818	PSC73467.1	KAI3426154.1
OG0003819	PSC70376.1	KAI3426212.1
OG0003820	PSC67411.1	KAI3426205.1
OG0003821	PSC67395.1	KAI3426202.1
OG0003822	PSC72111.1	KAI3438076.1
OG0003823	PSC75310.1	KAI3426196.1
OG0003824	PSC75373.1	KAI3426198.1
OG0003825	PSC73393.1	KAI3426189.1
OG0003826	PSC70977.1	KAI3426461.1
OG0003827	PSC74107.1	KAI3432588.1
OG0003828	PSC70334.1	KAI3426341.1
OG0003829	PSC70381.1	KAI3426339.1
OG0003830	PSC70395.1	KAI3426360.1
OG0003831	PSC70318.1	KAI3426337.1
OG0003832	PSC69774.1	KAI3428842.1
OG0003833	PSC70422.1	KAI3426354.1
OG0003834	PSC70338.1	KAI3426357.1
OG0003835	PSC70468.1	KAI3426356.1
OG0003837	PSC70440.1	KAI3426363.1
OG0003838	PSC70438.1	KAI3426364.1
OG0003839	PSC70385.1	KAI3426343.1
OG0003840	PSC70379.1	KAI3426346.1
OG0003841	PSC70321.1	KAI3426347.1
OG0003842	PSC70397.1	KAI3426366.1
OG0003843	PSC70416.1	KAI3426365.1
OG0003844	PSC73725.1	KAI3426000.1
OG0003845	PSC72410.1	KAI3428099.1
OG0003846	PSC70384.1	KAI3426382.1
OG0003847	PSC70988.1	KAI3426397.1
OG0003848	PSC70335.1	KAI3426385.1
OG0003849	PSC70842.1	KAI3426413.1
OG0003850	PSC70429.1	KAI3426387.1
OG0003851	PSC75671.1	KAI3426996.1
OG0003852	PSC70903.1	KAI3426392.1
OG0003853	PSC70970.1	KAI3426393.1
OG0003854	PSC70876.1	KAI3426394.1
OG0003855	PSC70361.1	KAI3426379.1
OG0003856	PSC70829.1	KAI3426407.1
OG0003858	PSC71004.1	KAI3426451.1
OG0003859	PSC73402.1	KAI3426178.1
OG0003860	PSC73344.1	KAI3426179.1
OG0003861	PSC70882.1	KAI3426446.1
OG0003862	PSC73390.1	KAI3426174.1
OG0003863	PSC73314.1	KAI3426177.1
OG0003864	PSC73349.1	KAI3426176.1
OG0003865	PSC73479.1	KAI3426167.1
OG0003866	PSC67787.1	KAI3426426.1
OG0003867	PSC67794.1	KAI3426424.1
OG0003868	PSC68063.1	KAI3426416.1
OG0003869	PSC67804.1	KAI3426432.1
OG0003870	PSC67800.1	KAI3426433.1
OG0003871	PSC69107.1	KAI3430396.1
OG0003872	PSC71802.1	KAI3430881.1
OG0003873	PSC71705.1	KAI3430880.1
OG0003874	PSC71762.1	KAI3426311.1
OG0003875	PSC70808.1	KAI3430987.1
OG0003876	PSC75630.1	KAI3428700.1
OG0003877	PSC70784.1	KAI3430672.1
OG0003878	PSC71273.1	KAI3430671.1
OG0003879	PSC71378.1	KAI3430668.1
OG0003880	PSC71691.1	KAI3430822.1
OG0003881	PSC71843.1	KAI3430801.1
OG0003882	PSC71781.1	KAI3430837.1
OG0003884	PSC70207.1	KAI3426022.1
OG0003885	PSC73353.1	KAI3439092.1
OG0003886	PSC73433.1, PSC73434.1	KAI3439088.1
OG0003888	PSC75636.1	KAI3439036.1
OG0003889	PSC75869.1	KAI3439048.1
OG0003890	PSC75394.1	KAI3439049.1
OG0003891	PSC75457.1	KAI3439051.1
OG0003892	PSC75609.1	KAI3439054.1
OG0003893	PSC72631.1	KAI3428215.1
OG0003894	PSC75687.1	KAI3439041.1
OG0003895	PSC75550.1	KAI3439055.1
OG0003896	PSC73812.1	KAI3429793.1
OG0003897	PSC67950.1	KAI3438942.1
OG0003898	PSC72396.1	KAI3438948.1
OG0003899	PSC74038.1	KAI3432735.1
OG0003900	PSC67916.1	KAI3439129.1
OG0003901	PSC67934.1	KAI3439127.1
OG0003902	PSC72490.1	KAI3438949.1
OG0003903	PSC67926.1	KAI3439126.1
OG0003904	PSC71730.1, PSC71731.1	KAI3430786.1
OG0003905	PSC71823.1	KAI3430791.1
OG0003906	PSC71759.1	KAI3430792.1
OG0003907	PSC71708.1	KAI3430780.1
OG0003908	PSC73959.1	KAI3424144.1
OG0003909	PSC76525.1	KAI3438604.1
OG0003910	PSC76753.1	KAI3438605.1
OG0003911	PSC73764.1	KAI3438551.1
OG0003912	PSC73852.1	KAI3438552.1
OG0003913	PSC73938.1	KAI3438553.1
OG0003914	PSC67292.1	KAI3432816.1
OG0003915	PSC76493.1	KAI3438444.1
OG0003916	PSC76321.1	KAI3438443.1
OG0003917	PSC71942.1, PSC67158.1	KAI3438452.1
OG0003918	PSC71867.1	KAI3438465.1
OG0003919	PSC76545.1	KAI3438404.1
OG0003920	PSC76233.1	KAI3438403.1
OG0003921	PSC70861.1	KAI3428662.1
OG0003922	PSC75400.1	KAI3438494.1
OG0003923	PSC75849.1	KAI3438474.1
OG0003924	PSC75383.1	KAI3438475.1
OG0003925	PSC75234.1	KAI3438500.1
OG0003926	PSC75944.1	KAI3438503.1
OG0003927	PSC73636.1	KAI3438396.1
OG0003928	PSC77071.1	KAI3438402.1
OG0003929	PSC75531.1	KAI3438496.1
OG0003930	PSC71875.1	KAI3438487.1
OG0003931	PSC71935.1	KAI3438488.1
OG0003932	PSC72042.1	KAI3438492.1
OG0003933	PSC71856.1	KAI3425158.1
OG0003934	PSC71889.1	KAI3438460.1
OG0003935	PSC71880.1	KAI3438458.1
OG0003936	PSC73610.1	KAI3438562.1
OG0003938	PSC73690.1	KAI3438557.1
OG0003939	PSC76421.1	KAI3438561.1
OG0003940	PSC73646.1	KAI3438565.1
OG0003941	PSC76514.1	KAI3438580.1
OG0003943	PSC76605.1	KAI3438427.1
OG0003944	PSC76440.1	KAI3438429.1
OG0003945	PSC76424.1	KAI3438430.1
OG0003946	PSC73673.1	KAI3424821.1
OG0003947	PSC76385.1	KAI3438426.1
OG0003948	PSC76802.1	KAI3438423.1
OG0003949	PSC76676.1	KAI3438416.1
OG0003950	PSC76161.1	KAI3438419.1
OG0003951	PSC76966.1	KAI3438411.1
OG0003952	PSC76450.1	KAI3438410.1
OG0003953	PSC76975.1	KAI3438421.1
OG0003954	PSC76671.1	KAI3438412.1
OG0003955	PSC73910.1	KAI3438567.1
OG0003956	PSC73790.1	KAI3424826.1
OG0003957	PSC69611.1	KAI3435699.1
OG0003958	PSC76672.1	KAI3438571.1
OG0003959	PSC76916.1	KAI3424185.1
OG0003960	PSC70515.1	KAI3432615.1
OG0003961	PSC72922.1	KAI3428179.1
OG0003962	PSC74215.1	KAI3431506.1
OG0003963	PSC76565.1	KAI3438433.1
OG0003964	PSC76047.1	KAI3438434.1
OG0003965	PSC76870.1	KAI3438437.1
OG0003966	PSC68182.1	KAI3438384.1
OG0003967	PSC73553.1	KAI3438555.1
OG0003968	PSC73952.1	KAI3438554.1
OG0003969	PSC68209.1	KAI3438385.1
OG0003970	PSC76305.1	KAI3438541.1
OG0003971	PSC73879.1	KAI3438544.1
OG0003972	PSC74795.1	KAI3424896.1
OG0003973	PSC68192.1	KAI3438389.1
OG0003974	PSC68220.1	KAI3438390.1
OG0003975	PSC75660.1	KAI3438506.1
OG0003976	PSC73948.1	KAI3438519.1
OG0003977	PSC73682.1	KAI3438522.1
OG0003978	PSC75362.1	KAI3438516.1
OG0003979	PSC75727.1	KAI3438508.1
OG0003980	PSC76850.1	KAI3438439.1
OG0003981	PSC70838.1	KAI3424449.1
OG0003982	PSC73850.1, PSC73851.1	KAI3436856.1
OG0003983	PSC76027.1	KAI3438432.1
OG0003984	PSC73549.1	KAI3438525.1
OG0003985	PSC72448.1	KAI3423022.1, KAI3438960.1
OG0003986	PSC72183.1	KAI3438341.1
OG0003987	PSC72189.1	KAI3438340.1
OG0003988	PSC68201.1	KAI3438380.1
OG0003989	PSC69048.1	KAI3436417.1
OG0003990	PSC76664.1	KAI3438531.1
OG0003991	PSC73930.1	KAI3438528.1
OG0003992	PSC68214.1	KAI3438372.1
OG0003993	PSC70037.1	KAI3425200.1
OG0003994	PSC70883.1	KAI3428643.1
OG0003995	PSC70927.1	KAI3428642.1
OG0003996	PSC69333.1	KAI3425100.1
OG0003997	PSC72255.1	KAI3438232.1
OG0003998	PSC75914.1	KAI3438851.1, KAI3428635.1
OG0003999	PSC72230.1	KAI3438263.1
OG0004000	PSC72243.1	KAI3438260.1
OG0004001	PSC72192.1	KAI3438249.1
OG0004002	PSC72263.1	KAI3438259.1
OG0004003	PSC72336.1	KAI3438247.1
OG0004004	PSC72322.1	KAI3438243.1
OG0004005	PSC70869.1	KAI3428621.1
OG0004006	PSC70932.1	KAI3428623.1
OG0004007	PSC70865.1	KAI3428625.1
OG0004008	PSC72088.1	KAI3438238.1
OG0004009	PSC69882.1	KAI3428461.1
OG0004010	PSC69888.1	KAI3428617.1
OG0004011	PSC71788.1	KAI3430745.1
OG0004012	PSC70938.1	KAI3428607.1
OG0004014	PSC70968.1	KAI3428601.1
OG0004015	PSC70971.1	KAI3428593.1
OG0004016	PSC69853.1	KAI3428503.1
OG0004017	PSC69873.1	KAI3428504.1
OG0004018	PSC69940.1	KAI3428509.1
OG0004019	PSC69948.1	KAI3428457.1
OG0004020	PSC69875.1	KAI3428481.1
OG0004021	PSC69868.1	KAI3428498.1
OG0004022	PSC69955.1	KAI3428497.1
OG0004023	PSC69966.1	KAI3428452.1
OG0004024	PSC73250.1	KAI3434741.1
OG0004025	PSC70930.1	KAI3428575.1
OG0004026	PSC71002.1	KAI3428542.1
OG0004027	PSC71500.1	KAI3428236.1
OG0004028	PSC69969.1	KAI3428435.1
OG0004029	PSC69886.1	KAI3428438.1
OG0004030	PSC69945.1	KAI3428443.1
OG0004031	PSC70495.1	KAI3432625.1
OG0004032	PSC69930.1	KAI3428440.1
OG0004033	PSC69908.1, PSC69907.1	KAI3428442.1
OG0004034	PSC69935.1	KAI3428420.1
OG0004035	PSC69941.1	KAI3428425.1
OG0004036	PSC69946.1	KAI3428491.1
OG0004037	PSC69842.1	KAI3428492.1
OG0004038	PSC69965.1	KAI3428477.1
OG0004039	PSC69856.1	KAI3428565.1
OG0004040	PSC69905.1, PSC69904.1	KAI3428587.1
OG0004041	PSC69962.1	KAI3428613.1
OG0004042	PSC74153.1	KAI3438265.1
OG0004043	PSC70895.1	KAI3428619.1
OG0004044	PSC71803.1	KAI3430806.1
OG0004045	PSC73639.1	KAI3424817.1
OG0004046	PSC70956.1	KAI3428581.1
OG0004047	PSC67531.1	KAI3426106.1
OG0004048	PSC69879.1	KAI3428444.1
OG0004049	PSC69880.1	KAI3428445.1
OG0004050	PSC69893.1	KAI3428562.1
OG0004051	PSC75750.1	KAI3426975.1
OG0004052	PSC69834.1	KAI3428822.1
OG0004053	PSC72198.1	KAI3438171.1
OG0004054	PSC70541.1	KAI3431557.1
OG0004055	PSC69860.1	KAI3428556.1
OG0004056	PSC69892.1	KAI3428555.1
OG0004057	PSC70998.1	KAI3428535.1
OG0004058	PSC69885.1	KAI3428540.1
OG0004060	PSC75026.1	KAI3429468.1
OG0004061	PSC69865.1	KAI3428519.1
OG0004062	PSC69939.1	KAI3428518.1
OG0004063	PSC69876.1	KAI3428516.1
OG0004064	PSC69916.1	KAI3428517.1
OG0004065	PSC70908.1	KAI3428594.1
OG0004066	PSC73758.1, PSC73757.1	KAI3424797.1
OG0004067	PSC70937.1	KAI3428658.1
OG0004068	PSC69895.1	KAI3428433.1
OG0004069	PSC67912.1	KAI3439021.1
OG0004070	PSC67907.1	KAI3439022.1
OG0004071	PSC75579.1	KAI3439103.1
OG0004072	PSC73272.1	KAI3439095.1
OG0004073	PSC73429.1	KAI3439086.1
OG0004074	PSC75449.1	KAI3439046.1
OG0004075	PSC71001.1	KAI3436320.1
OG0004076	PSC75934.1	KAI3423891.1
OG0004077	PSC70900.1	KAI3428656.1
OG0004079	PSC68099.1	KAI3428285.1
OG0004080	PSC68230.1	KAI3424722.1
OG0004081	PSC67491.1	KAI3434464.1
OG0004082	PSC67506.1	KAI3434478.1
OG0004083	PSC67497.1	KAI3434463.1
OG0004084	PSC72208.1	KAI3438190.1
OG0004085	PSC67394.1	KAI3426207.1
OG0004086	PSC68767.1	KAI3431517.1
OG0004087	PSC67714.1	KAI3434537.1
OG0004089	PSC75817.1	KAI3436603.1
OG0004090	PSC67593.1	KAI3431625.1
OG0004091	PSC73417.1	KAI3431596.1
OG0004092	PSC73509.1	KAI3431580.1
OG0004093	PSC67605.1	KAI3431620.1
OG0004094	PSC73444.1	KAI3431572.1
OG0004095	PSC73331.1	KAI3431573.1
OG0004096	PSC68568.1	KAI3433940.1
OG0004097	PSC73374.1	KAI3433870.1
OG0004098	PSC68643.1	KAI3433954.1
OG0004099	PSC68647.1	KAI3433938.1
OG0004100	PSC68634.1	KAI3433945.1
OG0004101	PSC68578.1	KAI3433956.1
OG0004102	PSC68581.1	KAI3433949.1
OG0004103	PSC68606.1	KAI3433948.1
OG0004104	PSC72128.1	KAI3438253.1
OG0004105	PSC68598.1	KAI3423709.1
OG0004106	PSC68570.1	KAI3423710.1
OG0004108	PSC75258.1	KAI3433923.1
OG0004109	PSC68646.1	KAI3433962.1
OG0004110	PSC68617.1	KAI3433964.1
OG0004111	PSC68624.1	KAI3433931.1
OG0004112	PSC75435.1	KAI3433828.1
OG0004113	PSC75345.1	KAI3433827.1
OG0004114	PSC75748.1	KAI3433830.1
OG0004115	PSC75481.1	KAI3433836.1
OG0004116	PSC75808.1	KAI3433744.1
OG0004117	PSC75250.1	KAI3433745.1
OG0004118	PSC75867.1	KAI3433772.1
OG0004119	PSC75286.1	KAI3428668.1
OG0004122	PSC75522.1	KAI3433760.1
OG0004123	PSC75242.1	KAI3433758.1
OG0004124	PSC75420.1	KAI3433898.1
OG0004125	PSC75267.1	KAI3433900.1
OG0004126	PSC75744.1	KAI3433813.1
OG0004127	PSC75416.1	KAI3433814.1
OG0004128	PSC75477.1	KAI3433803.1
OG0004129	PSC67234.1	KAI3433798.1
OG0004130	PSC67244.1	KAI3433795.1
OG0004131	PSC67239.1	KAI3433794.1
OG0004132	PSC67238.1	KAI3433792.1
OG0004133	PSC75831.1	KAI3433748.1
OG0004134	PSC75635.1	KAI3433747.1
OG0004135	PSC75281.1	KAI3433902.1
OG0004136	PSC75754.1	KAI3433904.1
OG0004137	PSC75424.1	KAI3433892.1
OG0004138	PSC75782.1	KAI3433891.1
OG0004139	PSC73221.1	KAI3432858.1
OG0004140	PSC75659.1	KAI3428787.1
OG0004142	PSC69642.1	KAI3428194.1
OG0004143	PSC75961.1	KAI3433888.1
OG0004144	PSC75514.1	KAI3433877.1
OG0004145	PSC75256.1	KAI3433878.1
OG0004146	PSC73490.1	KAI3432801.1
OG0004147	PSC75389.1	KAI3433855.1
OG0004148	PSC71664.1	KAI3436712.1
OG0004149	PSC75644.1	KAI3433742.1
OG0004150	PSC75615.1	KAI3433741.1
OG0004151	PSC75850.1	KAI3433740.1
OG0004152	PSC75712.1	KAI3433739.1
OG0004153	PSC67286.1	KAI3432818.1
OG0004154	PSC75915.1	KAI3433736.1
OG0004155	PSC67360.1	KAI3433712.1
OG0004156	PSC75902.1	KAI3433711.1
OG0004157	PSC75729.1	KAI3433726.1
OG0004158	PSC75721.1	KAI3433725.1
OG0004159	PSC67354.1	KAI3433717.1
OG0004160	PSC75626.1	KAI3433723.1
OG0004161	PSC75287.1	KAI3433734.1
OG0004162	PSC68889.1	KAI3433691.1
OG0004163	PSC68888.1	KAI3433690.1
OG0004164	PSC67358.1	KAI3433687.1
OG0004165	PSC68884.1	KAI3433666.1
