Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_A99_genome_proteins
OG0002510	PRW33225.1	scaffold17.g571.t1
OG0002511	PRW33089.1	scaffold17.g572.t1
OG0002512	PRW32499.1	scaffold17.g578.t1
OG0002513	PRW39329.1	scaffold17.g580.t1
OG0002514	PRW33107.1	scaffold17.g582.t1
OG0002515	PRW33298.1	scaffold17.g583.t1
OG0002517	PRW33269.1	scaffold17.g588.t1
OG0002519	PRW33090.1, PRW33091.1	scaffold17.g596.t1
OG0002520	PRW33555.1	scaffold17.g600.t1
OG0002521	PRW58858.1	scaffold5.g605.t1
OG0002522	PRW59359.1, PRW59360.1	scaffold5.g609.t1
OG0002523	PRW59139.1	scaffold5.g611.t1
OG0002524	PRW57739.1	scaffold5.g612.t1
OG0002525	PRW32584.1	scaffold5.g617.t1
OG0002526	PRW59432.1	scaffold5.g620.t1
OG0002527	PRW59308.1	scaffold5.g623.t1
OG0002528	PRW59239.1	scaffold5.g624.t1
OG0002529	PRW59265.1	scaffold5.g634.t1
OG0002530	PRW59109.1	scaffold5.g635.t1
OG0002531	PRW59253.1	scaffold5.g641.t1
OG0002532	PRW58950.1	scaffold5.g645.t1
OG0002533	PRW58911.1	scaffold5.g646.t1
OG0002534	PRW61241.1	scaffold5.g649.t1
OG0002535	PRW45743.1	scaffold5.g650.t1
OG0002536	PRW59281.1	scaffold5.g656.t1
OG0002537	PRW58823.1	scaffold5.g658.t1
OG0002538	PRW58838.1	scaffold5.g660.t1
OG0002539	PRW57113.1	scaffold5.g667.t1
OG0002540	PRW59407.1	scaffold5.g673.t1
OG0002541	PRW59325.1	scaffold5.g674.t1
OG0002542	PRW60969.1	scaffold5.g701.t1, scaffold5.g683.t1
OG0002543	PRW58775.1	scaffold5.g684.t1
OG0002544	PRW59390.1	scaffold5.g693.t1
OG0002545	PRW58834.1	scaffold5.g694.t1
OG0002546	PRW58932.1	scaffold5.g695.t1
OG0002547	PRW59161.1	scaffold5.g696.t1
OG0002548	PRW59260.1	scaffold5.g712.t1
OG0002549	PRW59123.1	scaffold5.g713.t1
OG0002550	PRW59376.1, PRW59377.1	scaffold5.g715.t1
OG0002551	PRW59392.1	scaffold5.g718.t1
OG0002552	PRW59399.1	scaffold5.g721.t1
OG0002553	PRW58978.1	scaffold5.g727.t1
OG0002554	PRW59321.1	scaffold5.g735.t1
OG0002555	PRW59358.1	scaffold5.g738.t1
OG0002556	PRW58798.1	scaffold5.g739.t1
OG0002557	PRW59124.1	scaffold5.g741.t1
OG0002559	PRW59280.1	scaffold5.g745.t1
OG0002560	PRW59344.1	scaffold5.g747.t1
OG0002561	PRW58839.1	scaffold5.g749.t1
OG0002562	PRW20406.1	scaffold5.g750.t1
OG0002563	PRW58971.1	scaffold5.g752.t1
OG0002564	PRW59163.1	scaffold5.g753.t1
OG0002565	PRW61191.1	scaffold6.g2806.t1, scaffold5.g754.t1
OG0002566	PRW59046.1	scaffold5.g756.t1
OG0002567	PRW59387.1	scaffold5.g759.t1
OG0002568	PRW59172.1	scaffold5.g764.t1
OG0002569	PRW59104.1	scaffold5.g766.t1, scaffold5.g765.t1
OG0002570	PRW59420.1	scaffold5.g767.t1
OG0002571	PRW59000.1	scaffold5.g768.t1
OG0002572	PRW58877.1	scaffold5.g769.t1
OG0002573	PRW58887.1	scaffold5.g770.t1
OG0002574	PRW59052.1	scaffold5.g773.t1
OG0002575	PRW58825.1	scaffold5.g776.t1
OG0002576	PRW59403.1	scaffold5.g779.t1
OG0002577	PRW59155.1	scaffold5.g781.t1
OG0002578	PRW59226.1	scaffold5.g784.t1
OG0002579	PRW59304.1	scaffold5.g786.t1
OG0002580	PRW59227.1	scaffold5.g788.t1
OG0002581	PRW59230.1	scaffold5.g789.t1
OG0002582	PRW58797.1	scaffold5.g793.t1
OG0002583	PRW59166.1	scaffold5.g795.t1
OG0002584	PRW58941.1	scaffold5.g796.t1
OG0002585	PRW58774.1	scaffold5.g798.t1
OG0002586	PRW59332.1	scaffold5.g799.t1
OG0002587	PRW59219.1	scaffold5.g802.t1
OG0002588	PRW58824.1	scaffold5.g804.t1
OG0002589	PRW51066.1	scaffold5.g805.t1
OG0002590	PRW59070.1	scaffold5.g807.t1
OG0002591	PRW55940.1	scaffold5.g810.t1
OG0002592	PRW59034.1	scaffold5.g811.t1
OG0002593	PRW58936.1	scaffold5.g812.t1
OG0002594	PRW58735.1	scaffold5.g816.t1
OG0002595	PRW59406.1	scaffold5.g817.t1
OG0002596	PRW59002.1	scaffold5.g819.t1
OG0002597	PRW59236.1	scaffold5.g826.t1
OG0002598	PRW58746.1	scaffold5.g830.t1
OG0002599	PRW59233.1	scaffold5.g831.t1
OG0002600	PRW58925.1	scaffold5.g833.t1
OG0002601	PRW59032.1	scaffold5.g834.t1
OG0002602	PRW58799.1	scaffold5.g835.t1
OG0002603	PRW59264.1	scaffold5.g837.t1
OG0002604	PRW58970.1	scaffold5.g839.t1
OG0002605	PRW59275.1	scaffold5.g840.t1
OG0002606	PRW58743.1	scaffold5.g842.t1
OG0002607	PRW58916.1	scaffold5.g846.t1
OG0002608	PRW59198.1	scaffold5.g848.t1
OG0002609	PRW58864.1	scaffold5.g849.t1
OG0002610	PRW56496.1	scaffold5.g855.t1
OG0002611	PRW59259.1	scaffold5.g861.t1
OG0002612	PRW59011.1	scaffold5.g863.t1
OG0002613	PRW33094.1	scaffold5.g865.t1
OG0002614	PRW57779.1, PRW57299.1	scaffold5.g867.t1
OG0002615	PRW59386.1	scaffold5.g869.t1
OG0002616	PRW58994.1	scaffold5.g872.t1
OG0002617	PRW58983.1	scaffold5.g874.t1
OG0002618	PRW59397.1	scaffold5.g875.t1
OG0002619	PRW58962.1	scaffold5.g880.t1
OG0002620	PRW59375.1	scaffold5.g881.t1
OG0002621	PRW59431.1	scaffold5.g882.t1
OG0002622	PRW59035.1	scaffold5.g883.t1
OG0002623	PRW58749.1	scaffold5.g885.t1
OG0002624	PRW59340.1	scaffold5.g891.t1
OG0002625	PRW59216.1	scaffold5.g897.t1
OG0002627	PRW61056.1	scaffold5.g908.t1
OG0002628	PRW59372.1	scaffold5.g922.t1
OG0002629	PRW59266.1	scaffold5.g923.t1
OG0002630	PRW59194.1	scaffold5.g930.t1
OG0002631	PRW58770.1	scaffold5.g932.t1
OG0002632	PRW59036.1	scaffold5.g937.t1
OG0002634	PRW59293.1	scaffold5.g939.t1
OG0002635	PRW58989.1	scaffold5.g943.t1
OG0002636	PRW58784.1	scaffold5.g944.t1
OG0002637	PRW58806.1, PRW58744.1	scaffold5.g945.t1
OG0002638	PRW59401.1	scaffold5.g948.t1
OG0002639	PRW59300.1	scaffold5.g951.t1
OG0002640	PRW58842.1	scaffold5.g952.t1
OG0002641	PRW58923.1	scaffold5.g953.t1
OG0002642	PRW58933.1	scaffold5.g956.t1
OG0002643	PRW59022.1	scaffold5.g957.t1
OG0002644	PRW59240.1	scaffold5.g959.t1
OG0002645	PRW58940.1	scaffold5.g967.t1
OG0002647	PRW59228.1	scaffold5.g971.t1
OG0002648	PRW58999.1	scaffold5.g975.t1
OG0002649	PRW59339.1	scaffold5.g978.t1
OG0002650	PRW59276.1	scaffold5.g980.t1
OG0002651	PRW59221.1	scaffold5.g983.t1
OG0002652	PRW60563.1	scaffold5.g988.t1
OG0002653	PRW20916.1	scaffold5.g989.t1
OG0002654	PRW58734.1	scaffold5.g991.t1
OG0002655	PRW59184.1	scaffold5.g997.t1
OG0002656	PRW59128.1	scaffold5.g1011.t1
OG0002657	PRW58958.1	scaffold5.g1012.t1
OG0002658	PRW33237.1, PRW33238.1	scaffold5.g1013.t1
OG0002659	PRW59412.1	scaffold5.g1015.t1
OG0002660	PRW51122.1	scaffold14.g1016.t1
OG0002662	PRW50858.1	scaffold14.g1021.t1
OG0002663	PRW51133.1	scaffold14.g1026.t1
OG0002664	PRW33902.1	scaffold14.g1031.t1
OG0002665	PRW51057.1	scaffold14.g1033.t1
OG0002666	PRW51072.1	scaffold14.g1037.t1
OG0002667	PRW50808.1	scaffold14.g1039.t1
OG0002668	PRW51059.1	scaffold14.g1040.t1
OG0002669	PRW50755.1	scaffold14.g1044.t1
OG0002670	PRW51143.1	scaffold14.g1046.t1
OG0002671	PRW57196.1	scaffold14.g1047.t1
OG0002672	PRW50876.1	scaffold14.g1054.t1
OG0002673	PRW50933.1	scaffold14.g1058.t1
OG0002674	PRW51020.1	scaffold14.g1059.t1
OG0002675	PRW50748.1	scaffold14.g1060.t1
OG0002676	PRW51049.1	scaffold14.g1064.t1
OG0002677	PRW50890.1	scaffold14.g1065.t1
OG0002678	PRW51031.1	scaffold14.g1066.t1
OG0002679	PRW51009.1	scaffold14.g1068.t1
OG0002680	PRW50964.1	scaffold14.g1069.t1
OG0002681	PRW51107.1	scaffold14.g1076.t1
OG0002682	PRW51137.1	scaffold14.g1086.t1
OG0002683	PRW50884.1	scaffold14.g1087.t1
OG0002684	PRW51154.1	scaffold14.g1088.t1
OG0002685	PRW50792.1	scaffold14.g1089.t1
OG0002686	PRW51073.1	scaffold14.g1090.t1, scaffold14.g1109.t1
OG0002687	PRW50842.1	scaffold14.g1094.t1
OG0002688	PRW51161.1, PRW51162.1	scaffold14.g1095.t1
OG0002689	PRW50779.1	scaffold14.g1101.t1
OG0002690	PRW50930.1	scaffold14.g1102.t1
OG0002691	PRW50893.1	scaffold14.g1103.t1
OG0002692	PRW50771.1	scaffold14.g1106.t1
OG0002693	PRW51138.1	scaffold14.g1107.t1
OG0002694	PRW21069.1	scaffold14.g1111.t1
OG0002695	PRW50942.1	scaffold14.g1113.t1
OG0002696	PRW57143.1	scaffold14.g1115.t1
OG0002697	PRW50908.1	scaffold14.g1117.t1
OG0002698	PRW57776.1	scaffold14.g1120.t1
OG0002699	PRW51034.1	scaffold14.g1125.t1
OG0002701	PRW50958.1	scaffold14.g1128.t1
OG0002702	PRW51146.1	scaffold14.g1130.t1
OG0002703	PRW50899.1	scaffold14.g1131.t1
OG0002705	PRW61514.1	scaffold14.g1138.t1
OG0002706	PRW44292.1	scaffold14.g1140.t1
OG0002707	PRW44320.1	scaffold14.g1142.t1
OG0002708	PRW50989.1	scaffold14.g1144.t1
OG0002709	PRW50897.1	scaffold14.g1149.t1
OG0002710	PRW50951.1	scaffold14.g1157.t1
OG0002711	PRW51077.1	scaffold14.g1159.t1
OG0002712	PRW51091.1	scaffold14.g1161.t1
OG0002713	PRW51070.1	scaffold14.g1165.t1
OG0002714	PRW51046.1	scaffold14.g1169.t1
OG0002715	PRW50881.1	scaffold14.g1171.t1
OG0002716	PRW51055.1	scaffold14.g1176.t1
OG0002717	PRW50849.1	scaffold14.g1181.t1
OG0002718	PRW50996.1	scaffold14.g1185.t1
OG0002719	PRW51037.1	scaffold14.g1188.t1
OG0002720	PRW50824.1	scaffold14.g1191.t1
OG0002722	PRW51051.1	scaffold14.g1195.t1
OG0002723	PRW50785.1	scaffold14.g1197.t1
OG0002724	PRW50928.1	scaffold14.g1201.t1
OG0002725	PRW50959.1	scaffold14.g1207.t1
OG0002726	PRW56908.1	scaffold14.g1208.t1
OG0002727	PRW51088.1	scaffold14.g1216.t1
OG0002728	PRW51181.1	scaffold14.g1220.t1
OG0002729	PRW57046.1	scaffold14.g1225.t1
OG0002730	PRW51141.1	scaffold14.g1228.t1
OG0002731	PRW57410.1	scaffold14.g1231.t1
OG0002732	PRW50850.1	scaffold14.g1235.t1
OG0002733	PRW45608.1	scaffold14.g1236.t1
OG0002734	PRW50921.1	scaffold14.g1238.t1
OG0002735	PRW51063.1	scaffold14.g1239.t1
OG0002736	PRW51081.1	scaffold14.g1240.t1
OG0002737	PRW51083.1	scaffold14.g1241.t1
OG0002739	PRW51121.1	scaffold14.g1253.t1
OG0002740	PRW44437.1	scaffold14.g1256.t1
OG0002741	PRW44335.1	scaffold14.g1257.t1
OG0002742	PRW51082.1	scaffold14.g1261.t1
OG0002743	PRW45712.1	scaffold14.g1262.t1
OG0002744	PRW57282.1	scaffold14.g1264.t1
OG0002745	PRW51116.1	scaffold14.g1265.t1
OG0002746	PRW59992.1	scaffold14.g1267.t1
OG0002746	PRW32893.1	scaffold12.g8152.t1
OG0002747	PRW50813.1	scaffold14.g1276.t1
OG0002748	PRW51007.1	scaffold14.g1280.t1
OG0002749	PRW50946.1	scaffold14.g1281.t1
OG0002750	PRW51064.1	scaffold14.g1290.t1
OG0002751	PRW60399.1	scaffold14.g1297.t1
OG0002752	PRW45444.1	scaffold14.g1307.t1
OG0002753	PRW56258.1	scaffold8.g1441.t1, scaffold14.g1308.t1
OG0002754	PRW20680.1	scaffold14.g1313.t1
OG0002755	PRW50947.1	scaffold14.g1319.t1
OG0002756	PRW50772.1	scaffold14.g1321.t1
OG0002757	PRW05950.1	scaffold14.g1324.t1
OG0002758	PRW50848.1	scaffold14.g1326.t1
OG0002759	PRW50757.1	scaffold14.g1333.t1
OG0002760	PRW57423.1	scaffold14.g1338.t1
OG0002761	PRW50883.1	scaffold14.g1340.t1
OG0002762	PRW51024.1, PRW51023.1	scaffold14.g1343.t1
OG0002763	PRW51028.1	scaffold14.g1350.t1
OG0002765	PRW56265.1	scaffold8.g1355.t1
OG0002766	PRW56055.1	scaffold8.g1358.t1
OG0002767	PRW55967.1	scaffold8.g1360.t1
OG0002768	PRW56017.1	scaffold8.g1361.t1
OG0002769	PRW55933.1	scaffold8.g1363.t1
OG0002770	PRW56144.1, PRW56143.1	scaffold8.g1367.t1
OG0002771	PRW56161.1	scaffold8.g1368.t1
OG0002772	PRW56296.1	scaffold8.g1372.t1
OG0002773	PRW56166.1	scaffold8.g1373.t1
OG0002774	PRW56329.1	scaffold8.g1374.t1
OG0002775	PRW56090.1	scaffold8.g1376.t1
OG0002776	PRW56214.1	scaffold8.g1379.t1
OG0002777	PRW56229.1	scaffold8.g1381.t1
OG0002778	PRW56141.1	scaffold8.g1382.t1
OG0002780	PRW56492.1	scaffold1.g5874.t1, scaffold10.g2403.t1, scaffold8.g1384.t1
OG0002781	PRW55889.1	scaffold8.g1385.t1
OG0002782	PRW56014.1	scaffold8.g1386.t1
OG0002783	PRW56316.1	scaffold8.g1387.t1
OG0002784	PRW56065.1	scaffold8.g1389.t1
OG0002785	PRW56195.1	scaffold8.g1390.t1
OG0002787	PRW55985.1	scaffold8.g1395.t1
OG0002788	PRW61582.1	scaffold8.g1396.t1
OG0002789	PRW56106.1	scaffold8.g1399.t1
OG0002790	PRW56007.1	scaffold8.g1402.t1
OG0002791	PRW56228.1	scaffold8.g1405.t1
OG0002792	PRW56180.1	scaffold8.g1407.t1
OG0002793	PRW56108.1	scaffold8.g1412.t1
OG0002794	PRW56303.1	scaffold8.g1413.t1
OG0002795	PRW56230.1	scaffold8.g1415.t1
OG0002796	PRW55973.1	scaffold8.g1420.t1
OG0002797	PRW55892.1	scaffold8.g1421.t1
OG0002798	PRW56035.1	scaffold8.g1423.t1
OG0002799	PRW56239.1	scaffold8.g1425.t1
OG0002800	PRW56043.1	scaffold8.g1430.t1
OG0002801	PRW55907.1	scaffold8.g1431.t1
OG0002802	PRW56234.1	scaffold8.g1432.t1
OG0002803	PRW56294.1	scaffold8.g1435.t1
OG0002804	PRW56187.1	scaffold8.g1438.t1
OG0002805	PRW55936.1	scaffold8.g1442.t1
OG0002806	PRW56147.1	scaffold8.g1446.t1
OG0002807	PRW56077.1	scaffold8.g1451.t1
OG0002808	PRW56221.1	scaffold8.g1454.t1
OG0002809	PRW55977.1	scaffold8.g1456.t1
OG0002810	PRW55910.1	scaffold8.g1457.t1
OG0002811	PRW56326.1	scaffold8.g1460.t1
OG0002812	PRW55901.1	scaffold8.g1461.t1
OG0002813	PRW56154.1	scaffold8.g1462.t1
OG0002814	PRW56038.1	scaffold8.g1465.t1
OG0002815	PRW56138.1	scaffold8.g1466.t1
OG0002816	PRW56270.1	scaffold8.g1468.t1
OG0002817	PRW56208.1	scaffold8.g1469.t1
OG0002818	PRW55991.1	scaffold8.g1470.t1
OG0002819	PRW55886.1	scaffold8.g1471.t1
OG0002820	PRW56324.1	scaffold8.g1472.t1
OG0002821	PRW18296.1	scaffold8.g1474.t1
OG0002822	PRW18349.1	scaffold8.g1477.t1
OG0002823	PRW18398.1	scaffold8.g1479.t1
OG0002824	PRW18365.1	scaffold8.g1480.t1
OG0002825	PRW18405.1, PRW18404.1	scaffold8.g1484.t1
OG0002826	PRW18289.1	scaffold8.g1485.t1
OG0002827	PRW18319.1	scaffold8.g1486.t1
OG0002828	PRW18323.1	scaffold8.g1489.t1
OG0002829	PRW18347.1	scaffold8.g1492.t1
OG0002830	PRW18406.1	scaffold8.g1493.t1
OG0002831	PRW18397.1	scaffold8.g1494.t1
OG0002832	PRW18291.1	scaffold8.g1497.t1
OG0002833	PRW18401.1	scaffold8.g1498.t1
OG0002834	PRW18336.1	scaffold8.g1499.t1
OG0002835	PRW18314.1	scaffold8.g1500.t1
OG0002836	PRW18386.1	scaffold8.g1501.t1
OG0002837	PRW18354.1	scaffold8.g1502.t1
OG0002838	PRW18373.1	scaffold8.g1503.t1
OG0002839	PRW18292.1	scaffold8.g1504.t1
OG0002840	PRW18300.1	scaffold8.g1506.t1
OG0002841	PRW18313.1	scaffold8.g1509.t1
OG0002842	PRW18317.1	scaffold8.g1513.t1
OG0002843	PRW18391.1	scaffold8.g1514.t1
OG0002844	PRW18389.1	scaffold8.g1515.t1
OG0002845	PRW18298.1	scaffold8.g1517.t1
OG0002846	PRW18335.1	scaffold8.g1519.t1
OG0002847	PRW18402.1	scaffold8.g1522.t1
OG0002848	PRW18318.1	scaffold8.g1523.t1
OG0002849	PRW18324.1	scaffold8.g1524.t1
OG0002850	PRW18416.1	scaffold8.g1525.t1
OG0002851	PRW18388.1	scaffold8.g1531.t1
OG0002852	PRW18356.1	scaffold8.g1533.t1
OG0002853	PRW18331.1	scaffold8.g1534.t1
OG0002854	PRW18351.1	scaffold8.g1535.t1
OG0002855	PRW18340.1	scaffold8.g1536.t1
OG0002856	PRW18371.1	scaffold8.g1537.t1
OG0002857	PRW18334.1	scaffold8.g1538.t1
OG0002858	PRW18322.1	scaffold8.g1539.t1
OG0002859	PRW18383.1	scaffold8.g1542.t1
OG0002860	PRW18390.1	scaffold8.g1543.t1
OG0002861	PRW18302.1	scaffold8.g1544.t1
OG0002862	PRW18341.1	scaffold8.g1546.t1
OG0002863	PRW18343.1	scaffold8.g1547.t1
OG0002864	PRW18311.1	scaffold8.g1548.t1
OG0002865	PRW18399.1	scaffold8.g1550.t1
OG0002866	PRW18417.1	scaffold8.g1552.t1
OG0002867	PRW18361.1	scaffold8.g1554.t1
OG0002868	PRW18368.1	scaffold8.g1555.t1
OG0002869	PRW18293.1	scaffold8.g1557.t1
OG0002870	PRW18360.1	scaffold8.g1558.t1
OG0002871	PRW59759.1	scaffold8.g1559.t1
OG0002872	PRW51014.1	scaffold8.g1560.t1
OG0002873	PRW59684.1	scaffold8.g1562.t1
OG0002874	PRW18326.1	scaffold8.g1564.t1
OG0002875	PRW18342.1	scaffold8.g1567.t1
OG0002876	PRW45742.1	scaffold8.g1573.t1
OG0002877	PRW59257.1	scaffold8.g1576.t1
OG0002878	PRW20678.1	scaffold8.g1578.t1
OG0002879	PRW32967.1	scaffold8.g1579.t1
OG0002880	PRW44334.1	scaffold8.g1585.t1
OG0002881	PRW59094.1	scaffold8.g1586.t1
OG0002882	PRW32501.1	scaffold8.g1587.t1
OG0002883	PRW20682.1	scaffold8.g1591.t1
OG0002884	PRW60977.1	scaffold8.g1595.t1
OG0002885	PRW33323.1	scaffold8.g1598.t1
OG0002886	PRW20752.1	scaffold8.g1599.t1
OG0002887	PRW20740.1	scaffold8.g1601.t1
OG0002888	PRW57963.1	scaffold8.g1602.t1
OG0002889	PRW21091.1	scaffold8.g1610.t1
OG0002890	PRW20730.1	scaffold8.g1612.t1
OG0002891	PRW59434.1	scaffold8.g1614.t1
OG0002892	PRW20607.1	scaffold8.g1616.t1
OG0002893	PRW45519.1	scaffold8.g1625.t1
OG0002894	PRW59753.1	scaffold8.g1631.t1
OG0002895	PRW60590.1	scaffold8.g1640.t1
OG0002896	PRW45542.1	scaffold8.g1643.t1
OG0002897	PRW20672.1	scaffold8.g1650.t1
OG0002898	PRW20629.1	scaffold8.g1652.t1
OG0002899	PRW20646.1	scaffold8.g1663.t1
OG0002900	PRW20700.1	scaffold8.g1665.t1
OG0002901	PRW20665.1	scaffold8.g1666.t1
OG0002902	PRW44576.1	scaffold8.g1669.t1
OG0002903	PRW57946.1	scaffold8.g1673.t1
OG0002904	PRW20696.1	scaffold8.g1682.t1
OG0002905	PRW58631.1	scaffold8.g1688.t1
OG0002907	PRW58232.1	scaffold8.g1708.t1
OG0002908	PRW44259.1	scaffold8.g1712.t1
OG0002909	PRW20749.1	scaffold8.g1718.t1
OG0002910	PRW20694.1	scaffold8.g1722.t1
OG0002911	PRW20638.1	scaffold8.g1735.t1
OG0002912	PRW20892.1	scaffold19.g1741.t1
OG0002913	PRW20900.1	scaffold19.g1742.t1
OG0002914	PRW61193.1	scaffold19.g1745.t1
OG0002915	PRW57116.1	scaffold19.g1749.t1
OG0002916	PRW57026.1	scaffold19.g1751.t1
OG0002917	PRW20798.1	scaffold19.g1758.t1
OG0002918	PRW59528.1	scaffold19.g1759.t1
OG0002919	PRW20793.1	scaffold19.g1761.t1
OG0002920	PRW45738.1	scaffold19.g1766.t1
OG0002921	PRW20803.1	scaffold19.g1767.t1
OG0002922	PRW20958.1	scaffold19.g1768.t1
OG0002923	PRW20821.1	scaffold19.g1769.t1
OG0002924	PRW57448.1	scaffold19.g1773.t1
OG0002925	PRW57173.1	scaffold19.g1774.t1
OG0002926	PRW56982.1	scaffold19.g1775.t1
OG0002927	PRW57506.1	scaffold19.g1778.t1
OG0002928	PRW45607.1	scaffold19.g1780.t1
OG0002929	PRW20820.1	scaffold19.g1781.t1
OG0002930	PRW45613.1	scaffold19.g1782.t1
OG0002931	PRW20809.1	scaffold19.g1785.t1
OG0002932	PRW57438.1	scaffold19.g1789.t1
OG0002933	PRW56938.1	scaffold19.g1791.t1
OG0002934	PRW61008.1	scaffold19.g1793.t1
OG0002935	PRW57291.1	scaffold19.g1797.t1
OG0002936	PRW56963.1	scaffold19.g1798.t1
OG0002937	PRW20842.1	scaffold19.g1799.t1
OG0002938	PRW20829.1	scaffold19.g1800.t1
OG0002939	PRW56921.1	scaffold19.g1802.t1
OG0002940	PRW57528.1	scaffold19.g1803.t1
OG0002941	PRW20857.1	scaffold19.g1807.t1
OG0002942	PRW20877.1	scaffold19.g1809.t1
OG0002943	PRW20910.1	scaffold19.g1810.t1
OG0002944	PRW20902.1	scaffold19.g1811.t1
OG0002945	PRW20889.1	scaffold19.g1812.t1
OG0002946	PRW20883.1	scaffold19.g1819.t1
OG0002947	PRW20786.1	scaffold19.g1820.t1
OG0002948	PRW20841.1, PRW20840.1	scaffold19.g1821.t1
OG0002949	PRW20848.1	scaffold19.g1822.t1
OG0002950	PRW20884.1	scaffold19.g1825.t1
OG0002951	PRW20959.1	scaffold19.g1827.t1
OG0002952	PRW20888.1	scaffold19.g1832.t1
OG0002953	PRW20824.1	scaffold19.g1833.t1
OG0002954	PRW20843.1	scaffold19.g1834.t1
OG0002955	PRW20849.1	scaffold19.g1835.t1
OG0002956	PRW20907.1	scaffold19.g1840.t1
OG0002957	PRW20933.1	scaffold19.g1847.t1
OG0002958	PRW57047.1	scaffold19.g1850.t1
OG0002959	PRW57032.1	scaffold19.g1851.t1
OG0002960	PRW57279.1	scaffold19.g1852.t1
OG0002961	PRW57469.1	scaffold19.g1853.t1
OG0002962	PRW57092.1	scaffold19.g1856.t1
OG0002963	PRW20819.1	scaffold19.g1860.t1
OG0002964	PRW20815.1	scaffold19.g1861.t1
OG0002965	PRW20804.1	scaffold19.g1863.t1
OG0002966	PRW20780.1	scaffold19.g1864.t1
OG0002967	PRW20874.1	scaffold19.g1865.t1
OG0002968	PRW20450.1	scaffold19.g1869.t1
OG0002969	PRW20878.1	scaffold19.g1872.t1
OG0002970	PRW57078.1	scaffold19.g1878.t1
OG0002971	PRW57302.1	scaffold19.g1879.t1
OG0002972	PRW57411.1	scaffold19.g1880.t1
OG0002973	PRW56609.1	scaffold18.g1886.t1
OG0002974	PRW56691.1	scaffold18.g1887.t1
OG0002975	PRW56666.1	scaffold18.g1888.t1
OG0002976	PRW56412.1	scaffold18.g1889.t1
OG0002977	PRW56826.1	scaffold18.g1890.t1
OG0002979	PRW56699.1	scaffold18.g1892.t1
OG0002980	PRW56720.1	scaffold18.g1893.t1
OG0002981	PRW56557.1	scaffold18.g1894.t1
OG0002982	PRW56648.1	scaffold18.g1896.t1
OG0002983	PRW56834.1	scaffold18.g1898.t1
OG0002984	PRW56604.1	scaffold18.g1899.t1
OG0002985	PRW56855.1	scaffold18.g1900.t1
OG0002986	PRW56426.1	scaffold18.g1901.t1
OG0002987	PRW59378.1	scaffold18.g1903.t1
OG0002989	PRW05866.1	scaffold18.g1905.t1
OG0002990	PRW05833.1	scaffold18.g1906.t1
OG0002991	PRW05818.1	scaffold18.g1909.t1
OG0002992	PRW05811.1	scaffold18.g1910.t1
OG0002993	PRW05827.1	scaffold18.g1911.t1
OG0002994	PRW05857.1	scaffold18.g1912.t1
OG0002995	PRW05839.1	scaffold18.g1916.t1
OG0002996	PRW05844.1	scaffold18.g1917.t1
OG0002997	PRW45424.1, PRW33608.1	scaffold18.g1918.t1
OG0002998	PRW05865.1	scaffold18.g1920.t1
OG0002999	PRW05875.1	scaffold18.g1921.t1
OG0003000	PRW05813.1	scaffold18.g1922.t1
OG0003001	PRW05841.1	scaffold18.g1923.t1
OG0003002	PRW05842.1	scaffold18.g1925.t1
OG0003003	PRW05816.1	scaffold18.g1926.t1
OG0003004	PRW05863.1	scaffold18.g1927.t1
OG0003005	PRW56800.1	scaffold18.g1928.t1
OG0003006	PRW56721.1	scaffold18.g1931.t1
OG0003007	PRW45694.1	scaffold18.g1933.t1
OG0003008	PRW45346.1	scaffold18.g1935.t1
OG0003009	PRW61385.1	scaffold18.g1937.t1
OG0003010	PRW56633.1	scaffold18.g1940.t1
OG0003011	PRW56430.1	scaffold18.g1943.t1
OG0003012	PRW56686.1	scaffold18.g1957.t1
OG0003013	PRW56838.1	scaffold18.g1958.t1
OG0003014	PRW56529.1	scaffold18.g1959.t1
OG0003015	PRW56755.1	scaffold18.g1961.t1
OG0003016	PRW56534.1	scaffold18.g1962.t1
OG0003017	PRW56435.1	scaffold18.g1963.t1
OG0003018	PRW56523.1	scaffold18.g1967.t1
OG0003019	PRW45387.1	scaffold18.g1970.t1
OG0003020	PRW56475.1	scaffold18.g1971.t1
OG0003021	PRW56663.1	scaffold18.g1974.t1
OG0003022	PRW05854.1	scaffold18.g1977.t1
OG0003023	PRW56547.1	scaffold18.g1981.t1
OG0003024	PRW05873.1	scaffold18.g1983.t1
OG0003025	PRW05817.1	scaffold18.g1984.t1
OG0003026	PRW05834.1	scaffold18.g1987.t1
OG0003027	PRW56407.1	scaffold18.g1988.t1
OG0003028	PRW56601.1	scaffold18.g1992.t1
OG0003029	PRW56687.1	scaffold18.g1993.t1
OG0003030	PRW56626.1	scaffold18.g1994.t1
OG0003031	PRW56536.1	scaffold18.g2009.t1
OG0003032	PRW56629.1	scaffold18.g2010.t1
OG0003033	PRW56570.1	scaffold18.g2011.t1
OG0003034	PRW56727.1	scaffold18.g2012.t1
OG0003035	PRW56502.1	scaffold18.g2013.t1
OG0003036	PRW56886.1	scaffold18.g2014.t1
OG0003037	PRW56619.1	scaffold18.g2015.t1
OG0003038	PRW56841.1	scaffold18.g2016.t1
OG0003039	PRW56404.1	scaffold18.g2020.t1
OG0003040	PRW56833.1	scaffold18.g2023.t1
