Orthogroup	oneline_A99_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0003306	scaffold6.g2649.t1	KAI3436679.1
OG0003307	scaffold6.g2650.t1	KAI3436585.1
OG0003308	scaffold6.g2657.t1	KAI3436656.1
OG0003309	scaffold6.g2659.t1, scaffold3.g6509.t1	KAI3436658.1
OG0003310	scaffold6.g2660.t1	KAI3436657.1
OG0003311	scaffold6.g2662.t1	KAI3436670.1
OG0003312	scaffold6.g2664.t1	KAI3436672.1
OG0003313	scaffold6.g2665.t1	KAI3436675.1
OG0003314	scaffold6.g2670.t1	KAI3428650.1
OG0003315	scaffold6.g2672.t1	KAI3436568.1
OG0003316	scaffold6.g2675.t1	KAI3436553.1
OG0003317	scaffold6.g2676.t1	KAI3436554.1
OG0003318	scaffold6.g2678.t1	KAI3436556.1
OG0003319	scaffold6.g2680.t1	KAI3436551.1
OG0003320	scaffold6.g2684.t1	KAI3436570.1
OG0003321	scaffold6.g2685.t1	KAI3436548.1
OG0003322	scaffold6.g2688.t1	KAI3436421.1
OG0003323	scaffold6.g2689.t1	KAI3436422.1
OG0003324	scaffold6.g2690.t1	KAI3436547.1
OG0003325	scaffold6.g2693.t1	KAI3438311.1
OG0003326	scaffold2.g7003.t1, scaffold6.g2694.t1	KAI3424770.1
OG0003327	scaffold6.g2695.t1	KAI3436545.1
OG0003328	scaffold6.g2696.t1	KAI3436546.1
OG0003329	scaffold6.g2697.t1	KAI3436543.1
OG0003330	scaffold6.g2704.t1	KAI3436528.1
OG0003331	scaffold6.g2707.t1	KAI3436523.1
OG0003332	scaffold6.g2709.t1	KAI3436522.1
OG0003333	scaffold6.g2710.t1	KAI3436521.1
OG0003334	scaffold6.g2712.t1	KAI3436535.1
OG0003335	scaffold6.g2715.t1	KAI3436458.1
OG0003336	scaffold6.g2722.t1	KAI3436436.1
OG0003337	scaffold6.g2723.t1	KAI3436435.1
OG0003338	scaffold6.g2724.t1	KAI3436532.1
OG0003340	scaffold6.g2729.t1	KAI3436459.1
OG0003341	scaffold6.g2730.t1	KAI3436638.1
OG0003342	scaffold6.g2732.t1	KAI3436641.1, KAI3436642.1
OG0003343	scaffold6.g2733.t1	KAI3436640.1
OG0003344	scaffold6.g2738.t1	KAI3436636.1
OG0003345	scaffold6.g2739.t1	KAI3436637.1
OG0003346	scaffold6.g2744.t1	KAI3436628.1
OG0003347	scaffold6.g2745.t1	KAI3436627.1
OG0003348	scaffold6.g2747.t1	KAI3436629.1
OG0003349	scaffold6.g2748.t1	KAI3436630.1
OG0003350	scaffold6.g2751.t1	KAI3436624.1
OG0003351	scaffold6.g2757.t1	KAI3436618.1
OG0003352	scaffold6.g2759.t1	KAI3436617.1
OG0003353	scaffold6.g2760.t1	KAI3436616.1
OG0003355	scaffold6.g2765.t1	KAI3436611.1
OG0003356	scaffold6.g2768.t1	KAI3429778.1
OG0003357	scaffold6.g2774.t1	KAI3424864.1
OG0003358	scaffold6.g2775.t1	KAI3429305.1
OG0003359	scaffold6.g2776.t1	KAI3436494.1
OG0003360	scaffold6.g2779.t1	KAI3430218.1
OG0003361	scaffold6.g2780.t1	KAI3436485.1
OG0003362	scaffold6.g2785.t1	KAI3436597.1
OG0003363	scaffold6.g2786.t1	KAI3436598.1
OG0003364	scaffold6.g2789.t1	KAI3432867.1
OG0003365	scaffold6.g2792.t1	KAI3436484.1
OG0003366	scaffold6.g2794.t1	KAI3426860.1
OG0003367	scaffold6.g2797.t1	KAI3436469.1
OG0003368	scaffold6.g2800.t1	KAI3436471.1
OG0003369	scaffold6.g2801.t1	KAI3436470.1
OG0003370	scaffold6.g2802.t1	KAI3436480.1
OG0003371	scaffold6.g2803.t1	KAI3436481.1
OG0003372	scaffold6.g2804.t1	KAI3436483.1
OG0003373	scaffold6.g2805.t1	KAI3436482.1
OG0003374	scaffold6.g2813.t1	KAI3436649.1
OG0003375	scaffold6.g2814.t1	KAI3436650.1
OG0003376	scaffold6.g2816.t1	KAI3439135.1
OG0003377	scaffold6.g2822.t1	KAI3436577.1
OG0003378	scaffold6.g2824.t1	KAI3436575.1
OG0003379	scaffold6.g2828.t1	KAI3428783.1, KAI3428782.1
OG0003380	scaffold6.g2830.t1	KAI3436564.1
OG0003381	scaffold6.g2831.t1, scaffold4.g4771.t1	KAI3436560.1
OG0003382	scaffold6.g2835.t1	KAI3436590.1
OG0003383	scaffold6.g2840.t1	KAI3436562.1
OG0003384	scaffold6.g2842.t1	KAI3428696.1
OG0003385	scaffold6.g2845.t1	KAI3432640.1
OG0003386	scaffold6.g2846.t1	KAI3429687.1
OG0003387	scaffold6.g2848.t1	KAI3424780.1
OG0003388	scaffold6.g2853.t1	KAI3432550.1
OG0003389	scaffold6.g2855.t1	KAI3428720.1
OG0003390	scaffold6.g2857.t1	KAI3436727.1
OG0003391	scaffold6.g2858.t1	KAI3436728.1
OG0003392	scaffold6.g2859.t1	KAI3436729.1
OG0003393	scaffold6.g2862.t1	KAI3436725.1
OG0003394	scaffold6.g2863.t1	KAI3436723.1
OG0003395	scaffold6.g2868.t1	KAI3436500.1
OG0003396	scaffold6.g2875.t1	KAI3436710.1
OG0003397	scaffold6.g2877.t1	KAI3436718.1
OG0003398	scaffold6.g2879.t1	KAI3436714.1
OG0003399	scaffold6.g2882.t1	KAI3437555.1
OG0003401	scaffold6.g2887.t1	KAI3436510.1
OG0003402	scaffold6.g2888.t1	KAI3436509.1
OG0003403	scaffold6.g2889.t1	KAI3436499.1
OG0003404	scaffold6.g2890.t1	KAI3436441.1
OG0003405	scaffold6.g2899.t1	KAI3436425.1
OG0003406	scaffold6.g2900.t1	KAI3436426.1
OG0003407	scaffold6.g2906.t1	KAI3436413.1
OG0003408	scaffold6.g2907.t1	KAI3436392.1
OG0003409	scaffold6.g2910.t1	KAI3436390.1
OG0003410	scaffold6.g2912.t1	KAI3430737.1
OG0003411	scaffold6.g2914.t1	KAI3436403.1
OG0003412	scaffold6.g2915.t1	KAI3433936.1
OG0003413	scaffold6.g2917.t1	KAI3436387.1
OG0003414	scaffold24.g2925.t1	KAI3436370.1
OG0003415	scaffold24.g2930.t1	KAI3425297.1
OG0003416	scaffold24.g2933.t1	KAI3425356.1
OG0003417	scaffold24.g2936.t1	KAI3425340.1
OG0003418	scaffold24.g2938.t1	KAI3425255.1
OG0003419	scaffold24.g2939.t1	KAI3428595.1
OG0003420	scaffold24.g2940.t1	KAI3425256.1
OG0003421	scaffold24.g2941.t1	KAI3425257.1
OG0003422	scaffold24.g2942.t1	KAI3425263.1
OG0003423	scaffold24.g2943.t1	KAI3425264.1
OG0003424	scaffold24.g2948.t1	KAI3425287.1
OG0003425	scaffold24.g2951.t1	KAI3425228.1
OG0003426	scaffold24.g2952.t1	KAI3425352.1
OG0003427	scaffold24.g2956.t1	KAI3425224.1
OG0003428	scaffold24.g2958.t1	KAI3425219.1
OG0003429	scaffold24.g2961.t1	KAI3425229.1
OG0003430	scaffold24.g2964.t1	KAI3425213.1
OG0003431	scaffold24.g2965.t1	KAI3425206.1
OG0003432	scaffold24.g2970.t1	KAI3425204.1
OG0003433	scaffold24.g2971.t1	KAI3425205.1
OG0003434	scaffold24.g2972.t1	KAI3425215.1
OG0003435	scaffold24.g2982.t1	KAI3425236.1
OG0003436	scaffold24.g2987.t1	KAI3425248.1
OG0003437	scaffold24.g2989.t1	KAI3425258.1
OG0003438	scaffold24.g2992.t1	KAI3425245.1
OG0003439	scaffold9.g2997.t1	KAI3429282.1
OG0003440	scaffold9.g2998.t1	KAI3429281.1
OG0003441	scaffold9.g2999.t1	KAI3429280.1
OG0003442	scaffold9.g3000.t1	KAI3429279.1
OG0003443	scaffold9.g3002.t1	KAI3429285.1
OG0003444	scaffold9.g3003.t1	KAI3429284.1
OG0003445	scaffold9.g3008.t1	KAI3429297.1
OG0003446	scaffold9.g3013.t1	KAI3429313.1
OG0003447	scaffold9.g3014.t1	KAI3429314.1
OG0003448	scaffold9.g3018.t1	KAI3429242.1
OG0003449	scaffold9.g3019.t1	KAI3429241.1
OG0003450	scaffold9.g3020.t1	KAI3435707.1
OG0003451	scaffold9.g3022.t1, scaffold2.g7118.t1	KAI3438080.1
OG0003452	scaffold9.g3028.t1	KAI3429420.1
OG0003453	scaffold9.g3032.t1	KAI3429319.1
OG0003454	scaffold9.g3036.t1	KAI3429321.1
OG0003455	scaffold9.g3037.t1	KAI3429249.1
OG0003456	scaffold9.g3038.t1	KAI3429248.1
OG0003457	scaffold9.g3042.t1	KAI3429247.1
OG0003458	scaffold9.g3044.t1	KAI3429275.1
OG0003459	scaffold9.g3045.t1	KAI3429274.1
OG0003460	scaffold9.g3046.t1	KAI3429266.1
OG0003461	scaffold9.g3047.t1	KAI3429267.1
OG0003462	scaffold9.g3048.t1	KAI3429397.1
OG0003463	scaffold9.g3049.t1	KAI3429398.1
OG0003464	scaffold9.g3051.t1	KAI3429438.1
OG0003465	scaffold9.g3057.t1	KAI3427427.1
OG0003466	scaffold9.g3063.t1	KAI3431838.1
OG0003467	scaffold9.g3064.t1	KAI3429449.1
OG0003468	scaffold9.g3065.t1	KAI3429447.1, KAI3429446.1
OG0003469	scaffold9.g3070.t1	KAI3429442.1
OG0003470	scaffold9.g3072.t1	KAI3429480.1
OG0003471	scaffold9.g3074.t1	KAI3429478.1
OG0003472	scaffold9.g3076.t1	KAI3429459.1
OG0003473	scaffold9.g3081.t1	KAI3429460.1
OG0003474	scaffold9.g3086.t1	KAI3423919.1
OG0003475	scaffold9.g3087.t1	KAI3429566.1
OG0003476	scaffold9.g3089.t1	KAI3429464.1
OG0003477	scaffold9.g3091.t1	KAI3429462.1
OG0003478	scaffold9.g3095.t1	KAI3429484.1
OG0003479	scaffold9.g3101.t1	KAI3429501.1
OG0003480	scaffold9.g3103.t1	KAI3429496.1
OG0003481	scaffold9.g3104.t1	KAI3429495.1
OG0003482	scaffold9.g3107.t1	KAI3429497.1
OG0003483	scaffold9.g3112.t1	KAI3429508.1
OG0003484	scaffold9.g3113.t1	KAI3429509.1
OG0003485	scaffold9.g3119.t1	KAI3429375.1
OG0003486	scaffold9.g3120.t1	KAI3429377.1
OG0003487	scaffold9.g3122.t1	KAI3429373.1
OG0003488	scaffold9.g3133.t1	KAI3428118.1
OG0003489	scaffold9.g3135.t1	KAI3438075.1
OG0003490	scaffold9.g3137.t1	KAI3429512.1
OG0003491	scaffold9.g3140.t1	KAI3429555.1
OG0003492	scaffold9.g3147.t1	KAI3429543.1
OG0003493	scaffold9.g3148.t1	KAI3429552.1
OG0003494	scaffold9.g3151.t1	KAI3429530.1
OG0003495	scaffold9.g3153.t1	KAI3429550.1
OG0003496	scaffold9.g3166.t1	KAI3429521.1
OG0003497	scaffold9.g3169.t1	KAI3429519.1
OG0003498	scaffold9.g3170.t1	KAI3431254.1
OG0003499	scaffold9.g3172.t1	KAI3438277.1
OG0003500	scaffold9.g3174.t1	KAI3429361.1
OG0003501	scaffold9.g3175.t1	KAI3428704.1
OG0003502	scaffold9.g3184.t1	KAI3429358.1
OG0003503	scaffold9.g3190.t1	KAI3429346.1
OG0003504	scaffold9.g3193.t1	KAI3429347.1
OG0003505	scaffold9.g3196.t1	KAI3429337.1
OG0003506	scaffold9.g3198.t1	KAI3429342.1
OG0003507	scaffold9.g3199.t1	KAI3429341.1
OG0003508	scaffold9.g3200.t1	KAI3428840.1
OG0003509	scaffold9.g3208.t1	KAI3428448.1
OG0003510	scaffold9.g3209.t1	KAI3429336.1
OG0003511	scaffold9.g3216.t1	KAI3429230.1
OG0003512	scaffold9.g3217.t1	KAI3429308.1
OG0003513	scaffold9.g3218.t1	KAI3429307.1
OG0003514	scaffold9.g3219.t1	KAI3429227.1
OG0003515	scaffold9.g3221.t1	KAI3429225.1
OG0003516	scaffold9.g3225.t1	KAI3428726.1
OG0003517	scaffold9.g3229.t1, scaffold34.g4507.t1	KAI3431818.1
OG0003518	scaffold9.g3238.t1	KAI3429268.1
OG0003519	scaffold9.g3239.t1	KAI3429259.1
OG0003520	scaffold9.g3240.t1	KAI3429258.1
OG0003521	scaffold9.g3245.t1	KAI3429435.1
OG0003522	scaffold9.g3246.t1	KAI3429409.1
OG0003523	scaffold9.g3248.t1	KAI3429574.1
OG0003524	scaffold9.g3250.t1	KAI3429583.1
OG0003525	scaffold9.g3251.t1	KAI3429404.1
OG0003526	scaffold9.g3252.t1	KAI3429391.1
OG0003527	scaffold9.g3254.t1	KAI3429388.1
OG0003528	scaffold9.g3255.t1	KAI3429386.1
OG0003529	scaffold9.g3260.t1	KAI3429431.1
OG0003530	scaffold9.g3262.t1	KAI3435887.1
OG0003532	scaffold9.g3266.t1	KAI3429427.1
OG0003533	scaffold9.g3267.t1	KAI3435708.1
OG0003534	scaffold9.g3268.t1	KAI3429426.1
OG0003535	scaffold9.g3269.t1	KAI3429586.1
OG0003536	scaffold9.g3272.t1	KAI3438978.1
OG0003537	scaffold9.g3275.t1	KAI3429396.1
OG0003538	scaffold9.g3277.t1	KAI3439047.1
OG0003539	scaffold9.g3281.t1	KAI3429783.1
OG0003540	scaffold9.g3285.t1	KAI3429756.1
OG0003541	scaffold9.g3287.t1	KAI3429775.1
OG0003542	scaffold9.g3289.t1	KAI3429782.1
OG0003543	scaffold9.g3302.t1	KAI3428728.1
OG0003544	scaffold9.g3305.t1	KAI3429414.1
OG0003545	scaffold9.g3307.t1	KAI3429417.1
OG0003546	scaffold9.g3308.t1	KAI3429412.1
OG0003547	scaffold9.g3311.t1	KAI3429406.1
OG0003548	scaffold9.g3313.t1	KAI3429407.1
OG0003549	scaffold26.g3315.t1	KAI3432383.1
OG0003550	scaffold26.g3319.t1	KAI3432388.1
OG0003551	scaffold26.g3321.t1	KAI3424152.1
OG0003552	scaffold26.g3322.t1	KAI3429518.1
OG0003553	scaffold26.g3324.t1	KAI3432414.1
OG0003554	scaffold26.g3325.t1	KAI3432876.1
OG0003556	scaffold26.g3328.t1	KAI3432872.1
OG0003557	scaffold26.g3330.t1	KAI3424858.1
OG0003558	scaffold26.g3335.t1	KAI3424747.1
OG0003559	scaffold26.g3338.t1	KAI3432411.1
OG0003560	scaffold26.g3339.t1	KAI3429689.1
OG0003561	scaffold26.g3349.t1	KAI3432767.1
OG0003562	scaffold26.g3352.t1	KAI3432773.1
OG0003563	scaffold26.g3354.t1	KAI3432778.1
OG0003564	scaffold26.g3357.t1	KAI3432423.1
OG0003565	scaffold26.g3364.t1	KAI3430757.1
OG0003566	scaffold26.g3365.t1	KAI3432766.1
OG0003567	scaffold7.g3372.t1	KAI3434994.1
OG0003568	scaffold7.g3377.t1	KAI3426004.1
OG0003569	scaffold7.g3380.t1	KAI3435001.1
OG0003570	scaffold7.g3387.t1	KAI3435029.1
OG0003571	scaffold7.g3390.t1	KAI3435026.1
OG0003572	scaffold7.g3392.t1	KAI3435003.1
OG0003573	scaffold7.g3395.t1	KAI3435015.1
OG0003574	scaffold7.g3397.t1	KAI3435024.1
OG0003575	scaffold7.g3398.t1	KAI3435023.1
OG0003576	scaffold7.g3405.t1	KAI3434991.1
OG0003577	scaffold7.g3407.t1	KAI3424883.1
OG0003578	scaffold7.g3408.t1	KAI3434785.1
OG0003579	scaffold7.g3411.t1	KAI3425380.1
OG0003580	scaffold7.g3412.t1	KAI3434778.1
OG0003581	scaffold7.g3415.t1	KAI3434869.1
OG0003582	scaffold7.g3419.t1	KAI3434789.1
OG0003583	scaffold7.g3420.t1	KAI3434788.1
OG0003584	scaffold7.g3423.t1	KAI3434799.1
OG0003585	scaffold7.g3425.t1	KAI3434797.1
OG0003586	scaffold7.g3428.t1	KAI3434794.1
OG0003587	scaffold7.g3434.t1	KAI3434876.1
OG0003588	scaffold7.g3436.t1	KAI3434885.1
OG0003589	scaffold7.g3440.t1	KAI3428034.1
OG0003590	scaffold7.g3444.t1	KAI3434875.1
OG0003591	scaffold7.g3446.t1	KAI3438283.1
OG0003592	scaffold7.g3447.t1	KAI3438281.1
OG0003593	scaffold7.g3451.t1	KAI3434891.1
OG0003594	scaffold7.g3452.t1	KAI3434890.1
OG0003595	scaffold7.g3455.t1, scaffold2.g7442.t1	KAI3426478.1
OG0003596	scaffold7.g3457.t1	KAI3434883.1
OG0003597	scaffold7.g3462.t1	KAI3424838.1
OG0003598	scaffold7.g3466.t1	KAI3434905.1
OG0003599	scaffold7.g3467.t1	KAI3434904.1
OG0003600	scaffold7.g3468.t1	KAI3434924.1
OG0003601	scaffold7.g3472.t1	KAI3434919.1
OG0003602	scaffold7.g3474.t1	KAI3434921.1
OG0003603	scaffold7.g3476.t1	KAI3434923.1
OG0003604	scaffold7.g3477.t1	KAI3434922.1
OG0003605	scaffold7.g3479.t1	KAI3434853.1
OG0003606	scaffold7.g3483.t1	KAI3434916.1
OG0003607	scaffold7.g3485.t1	KAI3427065.1
OG0003608	scaffold7.g3487.t1	KAI3434860.1
OG0003609	scaffold7.g3490.t1, scaffold7.g3598.t1	KAI3434828.1
OG0003610	scaffold7.g3494.t1	KAI3428829.1
OG0003611	scaffold7.g3503.t1	KAI3434908.1
OG0003612	scaffold7.g3508.t1	KAI3434911.1
OG0003613	scaffold7.g3516.t1	KAI3434858.1
OG0003614	scaffold7.g3517.t1	KAI3434815.1
OG0003615	scaffold7.g3521.t1	KAI3434810.1
OG0003616	scaffold7.g3523.t1	KAI3434926.1
OG0003617	scaffold7.g3527.t1	KAI3434928.1
OG0003618	scaffold7.g3530.t1	KAI3434945.1
OG0003619	scaffold7.g3532.t1	KAI3434943.1
OG0003620	scaffold7.g3536.t1	KAI3434931.1
OG0003621	scaffold7.g3537.t1	KAI3434930.1
OG0003622	scaffold7.g3538.t1	KAI3423870.1
OG0003623	scaffold7.g3540.t1	KAI3434948.1
OG0003624	scaffold7.g3541.t1	KAI3434947.1
OG0003625	scaffold7.g3543.t1	KAI3434950.1
OG0003626	scaffold7.g3545.t1	KAI3434951.1
OG0003627	scaffold7.g3549.t1	KAI3434724.1
OG0003628	scaffold7.g3551.t1	KAI3434954.1
OG0003629	scaffold7.g3555.t1	KAI3434689.1
OG0003630	scaffold7.g3556.t1	KAI3434690.1
OG0003631	scaffold7.g3557.t1	KAI3434686.1
OG0003632	scaffold7.g3560.t1	KAI3434803.1
OG0003633	scaffold7.g3567.t1	KAI3434817.1
OG0003634	scaffold7.g3577.t1	KAI3434843.1
OG0003635	scaffold7.g3578.t1	KAI3434832.1
OG0003636	scaffold7.g3580.t1	KAI3434842.1, KAI3434841.1
OG0003637	scaffold7.g3581.t1	KAI3433445.1
OG0003638	scaffold7.g3587.t1	KAI3434831.1
OG0003639	scaffold7.g3590.t1	KAI3434833.1
OG0003640	scaffold7.g3596.t1	KAI3434707.1
OG0003641	scaffold7.g3604.t1	KAI3434697.1
OG0003642	scaffold7.g3605.t1	KAI3434959.1
OG0003643	scaffold7.g3612.t1	KAI3434835.1
OG0003644	scaffold7.g3613.t1	KAI3434836.1
OG0003645	scaffold7.g3616.t1	KAI3434720.1
OG0003646	scaffold7.g3617.t1	KAI3434718.1
OG0003647	scaffold7.g3618.t1	KAI3434717.1
OG0003648	scaffold7.g3620.t1	KAI3430988.1
OG0003649	scaffold7.g3626.t1	KAI3434664.1
OG0003650	scaffold7.g3633.t1	KAI3434693.1
OG0003651	scaffold7.g3634.t1	KAI3434691.1
OG0003652	scaffold7.g3638.t1	KAI3434708.1
OG0003653	scaffold7.g3639.t1	KAI3434673.1
OG0003654	scaffold7.g3641.t1	KAI3434671.1
OG0003655	scaffold7.g3643.t1	KAI3434761.1
OG0003656	scaffold7.g3648.t1	KAI3434679.1
OG0003657	scaffold7.g3650.t1	KAI3434677.1
OG0003658	scaffold7.g3652.t1	KAI3438289.1
OG0003659	scaffold7.g3653.t1	KAI3434721.1
OG0003660	scaffold7.g3654.t1	KAI3434716.1
OG0003661	scaffold7.g3656.t1	KAI3434711.1
OG0003662	scaffold7.g3658.t1	KAI3434674.1
OG0003663	scaffold7.g3659.t1	KAI3434669.1
OG0003665	scaffold7.g3681.t1	KAI3434751.1
OG0003666	scaffold7.g3682.t1	KAI3434752.1, KAI3434753.1
OG0003667	scaffold7.g3686.t1	KAI3434747.1
OG0003668	scaffold7.g3690.t1	KAI3434967.1
OG0003669	scaffold7.g3691.t1	KAI3434970.1
OG0003670	scaffold7.g3693.t1	KAI3434971.1
OG0003671	scaffold7.g3694.t1	KAI3434968.1
OG0003672	scaffold7.g3698.t1	KAI3425076.1
OG0003673	scaffold7.g3705.t1	KAI3434469.1
OG0003674	scaffold7.g3711.t1	KAI3428276.1
OG0003675	scaffold7.g3722.t1	KAI3437946.1
OG0003676	scaffold7.g3725.t1	KAI3434626.1
OG0003677	scaffold7.g3726.t1	KAI3434633.1
OG0003678	scaffold7.g3727.t1	KAI3434632.1
OG0003679	scaffold7.g3728.t1	KAI3434631.1
OG0003680	scaffold7.g3732.t1	KAI3434650.1
OG0003681	scaffold7.g3735.t1	KAI3434652.1
OG0003682	scaffold7.g3736.t1	KAI3434651.1
OG0003683	scaffold7.g3741.t1	KAI3434599.1
OG0003684	scaffold7.g3745.t1	KAI3439136.1
OG0003685	scaffold7.g3746.t1	KAI3427068.1
OG0003686	scaffold7.g3747.t1	KAI3434604.1
OG0003687	scaffold7.g3749.t1	KAI3434608.1
OG0003688	scaffold7.g3754.t1	KAI3434566.1
OG0003689	scaffold7.g3758.t1	KAI3434567.1
OG0003690	scaffold7.g3759.t1	KAI3434506.1
OG0003691	scaffold11.g3831.t1	KAI3429822.1
OG0003692	scaffold11.g3832.t1	KAI3429828.1
OG0003693	scaffold11.g3835.t1	KAI3429788.1
OG0003694	scaffold11.g3836.t1	KAI3429787.1
OG0003695	scaffold11.g3840.t1	KAI3429829.1
OG0003696	scaffold11.g3846.t1	KAI3429870.1
OG0003697	scaffold11.g3849.t1	KAI3429869.1
OG0003698	scaffold11.g3859.t1	KAI3429799.1
OG0003699	scaffold11.g3861.t1	KAI3429800.1
OG0003700	scaffold11.g3864.t1	KAI3429797.1
OG0003701	scaffold11.g3868.t1	KAI3429865.1
OG0003702	scaffold11.g3869.t1	KAI3429843.1
OG0003703	scaffold11.g3877.t1	KAI3429849.1
OG0003704	scaffold11.g3881.t1	KAI3429818.1
OG0003705	scaffold11.g3885.t1	KAI3430865.1
OG0003706	scaffold11.g3897.t1	KAI3429801.1
OG0003707	scaffold11.g3898.t1	KAI3429802.1
OG0003708	scaffold11.g3900.t1	KAI3432226.1
OG0003709	scaffold11.g3906.t1	KAI3429890.1
OG0003710	scaffold11.g3907.t1	KAI3429765.1
OG0003711	scaffold11.g3908.t1	KAI3429824.1
OG0003712	scaffold11.g3910.t1	KAI3429836.1
OG0003713	scaffold11.g3911.t1	KAI3429835.1
OG0003714	scaffold11.g3913.t1	KAI3429630.1
OG0003715	scaffold11.g3916.t1	KAI3429638.1
OG0003716	scaffold11.g3917.t1, scaffold2.g6775.t1	KAI3429680.1
OG0003717	scaffold11.g3922.t1	KAI3429606.1, KAI3429605.1
OG0003718	scaffold11.g3923.t1	KAI3429600.1
OG0003719	scaffold11.g3932.t1	KAI3429619.1
OG0003720	scaffold11.g3933.t1	KAI3429615.1
OG0003721	scaffold11.g3935.t1	KAI3429613.1
OG0003722	scaffold11.g3941.t1	KAI3429657.1
OG0003723	scaffold11.g3948.t1	KAI3429662.1
OG0003724	scaffold11.g3949.t1	KAI3429668.1
OG0003725	scaffold11.g3950.t1	KAI3429669.1
OG0003726	scaffold11.g3952.t1	KAI3429699.1
OG0003727	scaffold11.g3954.t1	KAI3429658.1
OG0003728	scaffold11.g3958.t1	KAI3429721.1
OG0003729	scaffold11.g3959.t1	KAI3429726.1, KAI3429727.1
OG0003730	scaffold11.g3961.t1	KAI3429724.1
OG0003731	scaffold11.g3962.t1	KAI3429723.1
OG0003732	scaffold11.g3963.t1	KAI3429570.1
OG0003733	scaffold11.g3968.t1	KAI3429713.1
OG0003734	scaffold11.g3969.t1	KAI3429660.1
OG0003735	scaffold11.g3971.t1	KAI3429675.1
OG0003736	scaffold11.g3973.t1	KAI3429705.1
OG0003737	scaffold11.g3975.t1	KAI3429702.1
OG0003738	scaffold11.g3979.t1	KAI3429735.1
OG0003739	scaffold11.g3980.t1	KAI3429736.1
OG0003740	scaffold11.g3983.t1	KAI3429707.1
OG0003741	scaffold11.g3985.t1	KAI3429741.1
OG0003742	scaffold11.g3986.t1	KAI3429740.1
OG0003743	scaffold11.g3988.t1	KAI3429730.1
OG0003744	scaffold11.g3989.t1	KAI3432690.1
OG0003745	scaffold11.g3990.t1	KAI3429738.1
OG0003746	scaffold11.g3993.t1	KAI3429565.1
OG0003747	scaffold11.g3994.t1	KAI3429564.1
OG0003748	scaffold11.g3997.t1	KAI3429578.1
OG0003749	scaffold11.g3999.t1	KAI3429683.1
OG0003750	scaffold11.g4006.t1	KAI3429693.1
OG0003751	scaffold11.g4011.t1	KAI3429711.1
OG0003752	scaffold11.g4014.t1	KAI3437875.1
OG0003753	scaffold11.g4020.t1	KAI3434492.1
OG0003754	scaffold11.g4021.t1	KAI3434493.1
OG0003755	scaffold11.g4022.t1	KAI3434466.1
OG0003756	scaffold11.g4025.t1	KAI3434495.1
OG0003757	scaffold11.g4027.t1	KAI3434559.1
OG0003758	scaffold11.g4031.t1	KAI3424057.1
OG0003759	scaffold11.g4040.t1	KAI3424300.1
OG0003760	scaffold11.g4046.t1	KAI3436367.1
OG0003761	scaffold11.g4048.t1	KAI3433635.1
OG0003762	scaffold11.g4049.t1	KAI3434530.1
OG0003763	scaffold11.g4057.t1	KAI3438928.1
OG0003764	scaffold11.g4062.t1	KAI3431799.1
OG0003765	scaffold11.g4074.t1	KAI3434498.1
OG0003766	scaffold11.g4076.t1	KAI3427269.1
OG0003767	scaffold11.g4077.t1	KAI3434486.1
OG0003768	scaffold11.g4078.t1	KAI3433812.1
OG0003769	scaffold11.g4079.t1	KAI3424331.1
OG0003770	scaffold23.g4080.t1	KAI3434377.1
OG0003771	scaffold23.g4081.t1	KAI3434395.1
OG0003772	scaffold23.g4085.t1	KAI3431759.1
OG0003773	scaffold23.g4095.t1	KAI3434502.1
OG0003774	scaffold23.g4097.t1	KAI3434454.1
OG0003775	scaffold23.g4099.t1	KAI3434443.1
OG0003776	scaffold23.g4100.t1	KAI3423916.1
OG0003777	scaffold23.g4101.t1	KAI3438078.1
OG0003778	scaffold23.g4102.t1	KAI3434433.1
OG0003779	scaffold23.g4103.t1	KAI3430748.1
OG0003780	scaffold23.g4106.t1	KAI3434432.1
OG0003781	scaffold23.g4107.t1	KAI3430464.1
OG0003782	scaffold23.g4116.t1	KAI3434535.1
OG0003783	scaffold23.g4119.t1, scaffold4.g4604.t1	KAI3438470.1
OG0003784	scaffold23.g4120.t1	KAI3430220.1
OG0003785	scaffold23.g4127.t1	KAI3426201.1
OG0003786	scaffold23.g4128.t1	KAI3424746.1
OG0003787	scaffold23.g4129.t1	KAI3426441.1
OG0003788	scaffold23.g4130.t1	KAI3426440.1
OG0003789	scaffold23.g4131.t1	KAI3426437.1
OG0003790	scaffold23.g4132.t1	KAI3426436.1
OG0003791	scaffold23.g4133.t1	KAI3428676.1
OG0003792	scaffold23.g4137.t1	KAI3426454.1
OG0003793	scaffold23.g4138.t1	KAI3426455.1
OG0003794	scaffold23.g4139.t1	KAI3426191.1
OG0003795	scaffold23.g4140.t1	KAI3426192.1
OG0003796	scaffold23.g4145.t1	KAI3426150.1
OG0003797	scaffold23.g4146.t1	KAI3426151.1
OG0003799	scaffold15.g4332.t1, scaffold23.g4149.t1	KAI3426438.1
OG0003800	scaffold23.g4152.t1	KAI3426157.1
OG0003801	scaffold23.g4153.t1, scaffold3.g6557.t1	KAI3426163.1
OG0003802	scaffold23.g4154.t1	KAI3426401.1
OG0003803	scaffold23.g4160.t1	KAI3438165.1
